speakerGroups,speaker,theText,pageNumbers,title
0,"Monday, 17 October 1994 Ashton Calvert In Japan And Mack Williams In South Korea Are Obviously Highly Regarded For The Work That They Do, And They Are Sup","took the chair at 12.30 p.m., and read prayers. affairs officers and trade officials. The success of the delegation was due in no small measure Delegation to Japan and the Republic of such as Don Dobinson in Japan, and Elizabeth Korea Toohey and Adrian Morrison in South Korea. The good natured cooperation of all the Visit to Taiwan delegation members and their intelligent Australian parliamentary delegation to Japan also contributed to what I think we all regardand the Republic of Korea, July 1994, entitled ed as a highly successful delegation. I thank A time of change, a time of opportunity. Senator Brownhill, the deputy delegation er, I present the report of a visit to Taiwan by the members for Reid( Mr Ferguson), Wanmembers of the Australian parliament, July non ( Mr Hawker), Paterson( Mr Home) and relations. Finally, I thank the delegation's secretary, Ian presented is of a bilateral parliamentary ism and assistance to the entire group and to delegation to Japan and the Republic of Korea my adviser, Claire Cooney, for her continuing in July of this year. Japan and South Korea support to Ian and the delegation during the are our two largest trading partners in Asia, visit. and we already have extensive ties and I will now make a few brief remarks about excellent relations with both countries. But, in the matters that arose during the delegation's light of significant changes that are taking visit to both countries. Tomiichi Murayama place, we cannot afford to be complacent or was appointed Prime Minister of Japan just a to take the relationships for granted. few days before the delegation left Australia Whilst, on the whole, the changes will for Tokyo. In fact, I think we were the first present positive opportunities rather than foreigners to see the new Prime Minister after difficulties for Australia, it is vital that we he succeeded to that post. The National make an effort to understand what is going on Assembly of the Republic of Korea had also so that we can respond in the most productive just elected a new speaker. Both events way. I want to use some of the time available created some uncertainty about the delegation for the consideration of this report to outline program and were indicative of the interesting the significance of some of these changes, but political dynamics in both countries. The before doing so, I place on record the death of Kim II Sung, the President of the delegation's sincere appreciation of the Democratic People's Republic of Korea-that hospitality of our hosts and the assistance is, North Korea-just three days before we provided by the parliamentarians, officials and were to arrive in Seoul also contributed to a the other people we met. sense of uncertainty and change. The visits were made in response to generThere is currently under way in Japan a ous and much appreciated invitations from the process of significant political reform. After presiding officers of the parliaments of Japan considerable delay and debate, the Diet has and Korea, and on behalf of the Australian passed electoral reform legislation and new parliament I thank them for their courtesy. I electoral boundaries are being drawn up. It also record our appreciation of the highly might have been thought that the Liberal professional work of the Australian ambassaDemocratic Party, which was returned to dors and their staff in Tokyo and Seoul. Both government as a coalition partner with the",11,Setup
1,Mr Speaker (Hon. Stephen Martin) Ported By An Excellent Complement Of Foreign,,11,Delegation Reports To The Efforts Of The Ambassadors And Officers
2,Mr Speaker,I present the report of the contributions to our meetings and discussions,11,Delegation Reports To The Efforts Of The Ambassadors And Officers
3,Mr Mcgauran (Gippsland),"Mr Speakleader, and our colleagues Senator West and",11,Delegation Reports To The Efforts Of The Ambassadors And Officers
4,"1994, Entitled Australia",Taiwan bilateral Gippsland ( Mr McGauran) for their support.,11,Delegation Reports To The Efforts Of The Ambassadors And Officers
5,Mr Speaker,"The report I have just Dundas, for his dedication, total professionalSocialist Party, might have pushed for an given to the delegation in relation to trade early election based on the old boundaries, liberalisation in Japan were very heartening. but I think it was quite clear that all the The political situation in South Korea has parties now support the electoral reform not recently been as volatile as that in Japan, process and are not prepared to go to the despite, perhaps, some of what we saw on people without first bringing in the new television last week. Hwang Nak Joo has system. recently been elected Speaker and there have The changes that are being introduced may been some changes in the senior ranks of the make it harder for minor parties but will also government as South Korea grapples with the make it more important for the major parties problem of implementing trade reforms in the to concentrate on presenting clearly differentiface of opposition from a conservative rural ated policies. The outcome is likely to be a lobby. On the whole, the impression is one of return to political stability and the emergence a consolidating but relatively new democracy of something more like a two-party system. that is still developing the role of its parliament. There was much speculation that Prime There is some potentially destabilising Minister Murayama's government would not domestic opposition to trade liberalisation in last long before it went to the polls. With the South Korea. This is not surprising, given that electoral reforms now nearing finalisation and it has been estimated that the Uruguay Round with the coalition's success in securing will result in an increase in exports from passage of a budget it would appear that an South Korea worth $US25 billion over 10 election at any time is a real possibility. years but that the agricultural sector could Prime Minister Murayama has indicated that decline by $US 10 billion. These figures mean it is not his intention to call an early election that the government of South Korea will but it remains to be seen whether the current continue to face some domestic opposition coalition can be held together. The clear view but, on balance, it will need to commit itself we formed, however, was that there was to trade reform. This is an area where Australpolitical will on all sides for this alliance to ia may need to retain some vigilance and continue. continue to encourage South Korea along the The implications for Australia of these reform path. political reforms are difficult to identify. It The delegation took the opportunity to may be that a period of political stability with stress the importance of the Asia-Pacific less suggestion of corruption will provide region and to emphasise the common interests future governments with the chance to turn that Japan, South Korea and Australia share their attention to the dominance of the Japain the region. It is true that we are taking the nese civil service. This could result in a civil same approach on many issues. There is an service that is more responsive to the policies opportunity for Japan and South Korea to be of government of the day, and there may then the northern pillars, and for Australia to be be implications for Australia in the way trade the southern pillar, of a joint effort to bring is administered. further peace and prosperity to the region. It In this context it is important to note that was in this respect that the delegation also Prime Minister Murayama and Foreign stressed the importance of a continuing Minister Kono were both anxious to explain commitment to trade reform, particularly the to the delegation that the new coalition was implementation of the Uruguay Round of committed to trade reform and the implemenGATT. tation of the Uruguay Round of GATT. While in Japan, and then later while in Foreign Minister Kono's Liberal Democratic South Korea, I also took the opportunity to Party may reassert its political dominance raise issues concerned with inter-parliamenand, if so, its rural conservative roots may tary relations, particularly the Asia-Pacific make it more difficult for it to honour these Parliamentary Forum. This is a matter of commitments, but on the whole the signals considerable importance for parliamentarians our region and I hope to see a positive relations. The delegation was ably led by sponse to the formation of an Australian Senator Sue West, assisted by her deputy oup in the near future. In my view, the leader, Senator David Brownhill, who was on sia-Pacific Parliamentary Forum may, in his second visit to Taiwan-the earlier one me, assume the same role and importance as having been in 1984. Members of the delege Inter-Parliamentary Union-which, of ation included the member for Wannon( Mr urse, is a global organisation-and the Hawker) and the member for Paterson( Mr ommonwealth Parliamentary Association, to Horne). The secretary to the delegation, Mr hich we also belong. Ian Dundas, an officer of the Australian Finally, I would like to make a brief comparliament, proved to be extremely competent and a man of considerable stamina, in that he ent about the role played by parliamentary legations when visiting other countries and was the first to rise in the morning and the hen bringing reports into this parliament. last to retire at night. Mr Dundas is also responsible for the drafting of a very excellent ome criticism has been levelled at parliaentarians about their involvement in parliareport of the delegation. I can do no more in my brief address to the parliament than to entary delegations. During the 10 or so days at we were away-in fact it was a little quote from the report: nger-we visited two countries. The pace at The Australian Government does not recognise the hich we were expected to operate-bearing authorities in Taiwan as having the status of a national government so the delegation's visit was mind the number of discussions that we unofficial. Nevertheless, the visit was hosted by the ld and the seniority of the people whom we government of Taiwan and the Taiwanese Legislaet, from the Prime Minister of Japan tive Yuan, and the group was able to meet senior rough to the President of Korea, trade government representatives and parliamentarians. ministers, Speakers, Presidents and so on-in This provided an opportunity to discuss matters of my view indicates the importance with which bilateral interest as well as fostering goodwill and these delegations are received and also the enhancing mutual understanding. way in which the knowledge which the While in Taiwan the delegation met senior delegates obtain as part of those delegations ministers, government officials and business can play an active role in the development of leaders. Most importantly the delegation also held extensive discussions with members of the Legislabetter relations between Australia and other tive Yuan. It also travelled to the east and west countries. coasts of Taiwan and visited regional centres. The fact that delegations such as these are While. . . on the east coast the delegation met with members of the aboriginal community and shared led by the Speaker of the House of Represenin a cultural demonstration. tatives, the President of the Senate, parliamentary secretaries or other people of some This was ... the first visitsignificance in Australia opens up an enorto the best of our knowledgemous vista and an enormous opportunity for by a group of Australian parliamentarians to this parliamentarians, particularly when we conpart of Taiwan and the first time that such contact sider the level of foreign dignitaries with was made with the aboriginal community. whom we get to meet. These are aspects of The delegation gratefully acknowledges the parliamentary delegations which should not be generous hospitality of the Taiwanese government lost on those who ultimately make the deciand the Legislative Yuan and places on record its sion as to how many visits are taken during appreciation of their efforts in ensuring the success a year and how many parliamentarians make of the visit. those visits. I commend the report to the House. The direct involvement of the Legislative Yuan -It is my singular privilege to have been developing and organising the delegation's program able to present the report of a visit to Taiwan contributed greatly to the success of the visit. by members of the Australian parliament in We would wish to particularly single out Dr July 1994 entitled Australia-Taiwan bilateral Lee from the Legislative Yuan who accompa-",11,Delegation Reports To The Efforts Of The Ambassadors And Officers
6,Mr Mcgauran (Gippsland) (12.43 P.m.) Along With The Ministry Of Foreign Affairs In,"nied us every waking moment of the trip and of its non-recognised status, but a number of proved to be a very informative and courtebilateral agreements have been concluded ous, not to mention entertaining, officer. We with Australia. These include the establishenjoyed his company enormously. Dr Lee has ment of direct air links, a non-government lived in Australia and was able to give us a scientific and technical exchange agreement, perspective of Taiwan which we greatly and memoranda of understanding relating to valued. the promotion of investment and technology We also wish to thank officials from the transfer and to the protection of industrial Department of Foreign Affairs and Trade. Mr property, patents and trade marks. These David Wang was the most senior officer and agreements and the market liberalisation will he accompanied the delegation at different present opportunities for Australian exporters; points. We also thank his colleagues who but, more than this, there are also opportuniassisted the delegation at different times. ties to expand bilateral relations generally. Officials from the Board of Foreign Trade We also wish to thank Mr Steve Waters, the indicated to us an interest in expanding economics officer from the Australian Comtechnological transfers, cultural exchanges and merce and Industry Office. Mr Waters was tourism. very generous with his time and he accompaI must say that there is a great deal more nied us for almost the entire duration of the that Australia could be doing to enhance its visit. He has a particularly expert and knowrelationship with Taiwan, restricted as it may ledgeable understanding of Taiwan. He be by our parallel relationship with the greatly assisted us at all times. People's Republic of China. Despite the lack Trade is the focus of Australian-Taiwan of formal recognition, Australia enjoys a relations and it runs at a similar level to our strong and beneficial relationship with Taitrade with the People's Republic of China. In wan. In recent years several agreements on 1993 Australia's trade with Taiwan amounted commercial transactions have been negotiated, to $5.1 billion, only slightly less than our trade barriers have been reduced, and there trade with mainland China at $5.2 billion. In has been considerable Australian-Taiwanese 1992 Taiwan was Australia's fourth most cooperation on bodies such as APEC. important Asian trading partner and our However, the relationship remains dominatseventh most important overall. ed by Australia's recognition of the People's The balance of trade is well in Australia's Republic of China. The joint communique favour, and in 1993 amounted to a surplus of issued by the government of Australia and the $480 million. The main products exported to government of the People's Republic of China Taiwan are raw materials and unprocessed following formal recognition in 1972 states food. Australia is also exporting increasing that the Australian government recognises the amounts of elaborately transformed manufacPeople's Republic of China as the sole legal tures which now account for 10 per cent of government of China. It also acknowledges our exports to Taiwan. the position of the Chinese government: that Our most important imports from Taiwan Taiwan is a province of the People's Republic are office machines and computers, metal of China. manufactures, textiles and fabrics, electrical Mr Speaker, as you know only too well, machinery and appliances, sporting goods, Taiwan's provincial status is not accepted by toys and games. Taiwan's trade is slanted the Taiwanese people themselves. Australia heavily towards the United States and Japan, has been able to maintain an extensive unoffibut Australia was its fifth most important cial but valuable relationship with Taiwan source of imports behind only Japan, the without threatening its equally valuable United States, Germany and the Republic of relationship with the People's Republic of Korea. China. Taiwan is generally excluded from internaHowever, the push for Taiwanese participational multilateral treaty arrangements because tion in the United Nations and the emergence of Taiwanese nationalism may force a reis only one China and that Taiwan is still part examination of the issues involved. Unless the of it. She favours the view that Taiwan is People's Republic of China and Taiwan first already a separate entity that ought to vigocome to some accommodation, Australia's rously pursue normal international relations, relationship with the People's Republic of including full United Nations membership. In China will preclude it from supporting that, she is not alone. We in Australia will Taiwan's bid for full UN membership. have to deal with this growing push in TaiIn discussions with the delegation, Dr Fang, wan for a much more separate, even indeVice Minister for Foreign Affairs, members pendent, identity than was previously projectof the Legislative Yuan, and Mr Yeh, Deputy ed. But in the meantime we are maintaining Director-General of the Government Informamutually beneficial relationships. (Time tion Office, all put a strong case for Taiwan's expired) suggested that the government of the People's Speaker, could I initially associate myself Republic of China was using weakness in with your claims as to the professionalism of international law to deny the legal existence the parliamentary delegation's advisers, its of Taiwan. However, the Taiwanese recognise secretary and also those who helped us within the difficulties they face in establishing an Japan and Korea. Also, I think the equal international standing and are, to their delegation's strength was very much cemented credit, adopting a cautious pragmatic apby its large number of rural based members. proach. They also ask for Australian support Ironically, for the most urbanised country in to the extent that this is possible-and we the world, we had a significant number of should give that support. people who had a base in the beef, coal and Public opinion in Taiwan appears to be steel industries. That was, I think, of very divided on the question of how strongly and central use to the delegation when we were in what way Taiwan should express its interoverseas. For my own part, being a represennational identity. The delegation held discustative of an inner western Sydney seat, it was sions with members of the Foreign Affairs very informative in so far as some of the Committee of the Legislative Yuan, who issues with which we were confronted are not expressed, openly and frankly, different views issues we deal with or give consideration to on the future direction Taiwan should take. every day of the week. In talking to the Japan One member suggested that Taiwan should Wool Spinners Association or to people who proceed cautiously and that neither immediate were helping Australia's push for beef sales reunification nor the establishment of an in Korea, I think Australia's delegation was independent identity was desirable. In this very much strengthened by people who had context, the bid for United Nations memberknowledge in these areas. ship was supported only as a move to ensure I also note very briefly, although I did not that Taiwan was on an equal footing with the go to Taiwan, that in actual fact previous People's Republic of China. It was acknowAustralian delegations had had access to ledged, however, that a growing proportion of aboriginal people there. In the case of the the popUlation-roughly 40 per cent consisdelegation I was with a few years ago, that tently in the polls-now favour an independwas a particularly important point. ent identity. This delegation, in going to Japan and Ms Annette Lu, a prominent opposition Korea, went to two nations that are central to member and co-chair of the Foreign Affairs Australia's trade future-Japan accounting for Committee, suggested that Taiwan had been approximately 22 per cent of our total trade, too cautious but recognised that the aim of an and Korea, at 4112 per cent, also of increasing independent and separate United Nations importance. As you noted, Mr Speaker, we representation was a long-term objective. She did go to both countries during periods of argued that the question of seeking independfairly dramatic change and, I should say, a ence was based on the false premise that there degree of tension. In the case of Japan, there",13,Delegation Reports To The Efforts Of The Ambassadors And Officers
7,Membership Of The United Nations And It Was Mr Ferguson (Reid) (12.53 P.m.),"Mrwas a very important change of government: for his son to basically continue down that an alliance of the Liberal Democrats and the road whereas, if there had not been those first Social Democrats. This was very difficult moves, his repudiation of North Korea's particularly because of their differences in former isolationist policy would have been far foreign policy, the socialists traditionally more difficult. It was quite interesting to find being neutralist and very opposed to nuclear that the South Korean leadership was more-I rearmament and also very doubtful about the do not want to put too fine a word on ituse of US self-defence forces overseas. blase about the future than the rest of the However, they do have some degree of world. Events, at this stage at least, seem to similarity in that they were both very much have borne them out. There has been further creatures of the former electoral system and progress in negotiations since Carter made both had a degree of support from small that initial breakthrough. electorates. One of the challenges, as has been Whilst both countries might talk about noted earlier, is the fact that Japan is becomreunification, South Korea is mindful of the ing increasingly urbanised. The government reality that in 1990 and 1991 the North of Japan has been unrepresentative to some Korean economy retracted by 3112 per cent and degree because it has not kept up with that by over five per cent respectively. South change of population. As I said, there is a Koreans have six times the per capita income degree of sense to this coalition in that whilst of the North Koreans and a gross national both parties commit themselves to opening up product about 11 to 12 times greater. Behind the economy, if anything, they would be the scenes, despite the emphasis on possible amongst the more doubtful partners. To that rapprochement and reunification, South Korea degree there is some kind of rationality to the is very mindful of the burden that South coalition, despite the other problems. Korean taxpayers might have to bear in that situation. Therefore, in recent years, it has put We went to Korea at a time of momentous forward a 'commonwealth' stage of developinternational tension-the reality of North ment and it is a lot steadier in that process. Korea's non-adherence to the international atomic energy commitments that it has underThe situation there is that the chaebols taken and the fact that it can now, with continue to have very strong dominance in the Rodong missiles, send nuclear arms into economy. The 30 largest of these conglomerJapan, parts of China and the Soviet Union. ates still generate 50 per cent of the gross When you consider that we arrived at a time national product and 60 per cent of the when, internationally, the regime was regardcountry's exports. The political importance of ed as a rogue regime, that it had minimal that was shown in the last presidential eleccontact with other countries, that it had a tions, when a fallout with one of the leading degree of Chinese influence-but not all that chaebols led to a minority candidature and sustained-that it refused to really come clean moves by the government to break their on plutonium use and its ability to attack authority. A very important comment about Japan and, on top of that, had the reality of a South Korea's future was made by John change of regime with the death of Kim II Chung Hwa Oh in the Korean Observer of Sung, you realise that it was a period of great spring 1994. He said: interest. There is no doubt that the high concentration of wealth and power in the hands of about three dozen One thing that surprised me, when I reflectchaebol families will likely be a major hindrance ed on what we are hearing in Australia and in the development of a well developed and internationally, was the degree of confidence balanced economy in Korea. even then that President Kim Young Sam and So South Korea essentially had a large degree foreign minister Han Sung Joo had about the of government intervention and control over future. We had reason to be concerned about credit and promotion of these chaebols during the change of leadership, but they, to my its development phase. It has now reached mind, were fairly confident that the initiatives that and it is questioning the degree of domiby Carter and Kim II Sung opened the way nance in the economy of those particular small groups. In recent months, those corporaKorea to get preferential access to its markets tions have committed themselves to fostering in front of us. small and medium size business for the first I commend the report. Once again, I wish time. to associate myself very strongly with the Speaker's comments about the value of the South Korea and Australia have a great degree of similarity in attitudes towards delegation. was very interested in South Korea's advance Speaker, I too would like to join in supporting towards democracy. Whilst a total two-party your remarks in relation to the delegation, system has not evolved, there is no doubt that which was so very ably led by you. I also the strength of the parliamentary system is support the comments made by my colleague al note, is the country's continued rules about our visit to Taiwan. That too was a against independent trade unions. Essentially, very valuable visit. Some of the comments of South Korea still says that there is one govthe member for Reid( Mr Ferguson) reernment influenced or government connected inforced the value of this visit. We cannot trade union movement. That was made evioverstate the value of these visits-to Australdent while we were there by a very long ia, to this parliament and to the members who lockout at Hyundai, which was solved only have the opportunity to make these visits-in after we returned to Australia. achieving a lot in Australia's interests. Our presence in these countries and the fact that I tum to a matter of a localised nature. In we were given opportunities to meet with recent years people have been complaining people at very high levels, such as the Prime that Australia is putting too much emphasis Minister of Japan and the President of South on Asian languages. The Speaker alluded to Korea, indicate not only that these delegations he contributions made by our staff in Japan are very valuable but also that Australia has nd Korea. It was noticeable that the staff in a very good standing in these areas. okyo were a lot more on top of local poliI too would like to thank the secretary to ics, local events and local information be the delegation, Ian Dundas, and also Claire ause they were a lot stronger in the Japanese Cooney, for the work that they did to ensure anguage. Although the changeover in staff in that the visit ran smoothly. I support your eoul may have had an impact, the staff there remarks, Mr Speaker, on the tremendous ere a lot more dependent on government support we had from Australia's representaased information and connections with the tives in all three countries. We should be very overnment than on independent newspapers proud of the work they do, which is often not nd other information. That is something that well understood in this country. We are very eally does drive home that this region is well served by some very able people in those here it is at for Australia and that the thrust countries. n this area must be towards making sure that, ot only in relation to the diplomatic corps In the short time. I have in which to speak, ut also in general, we improve our uptake of I would like to concentrate on a few trade sian languages. issues. I was fortunate enough to listen to the President of the National Farmers Federation The delegation was useful. For instance, it speak in my electorate about 10 days ago. He ave us some indication of the Australian made two very powerful points. He said that eat and Live-stock Corporation's very our $5 billion worth of food exports to Asia trong penetration of the Japanese beef market could be increased to a staggering $70 billion hrough advertising campaigns and underwithin two decades if we were to work a bit tanding the supermarket system. In contrast, harder. That gives us some idea of the pern South Korea we were given some indicaspective that we are talking about when we ions of what we are up against in regard to look at these trade issues, particularly as they he United States' bilateral pressure on South relate to agriculture.",15,Delegation Reports To The Efforts Of The Ambassadors And Officers
8,Apec And The Future Trade In The Region. I Mr Hawker (Wannon) (1.02 P.m.),Mr,17,Delegation Reports To The Efforts Of The Ambassadors And Officers
9,"Growing. One Matter Of Concern, On A Person","the member for Gippsland ( Mr McGauran)The other point that he made was that our exports of beef to Japan from 136,000 probably for the first time in our history we tonnes in 1988 to 280,000 tonnes by 1993-a are in the right part of the world. I do not doubling in five years. But what is also very think we want to underestimate the signifiimpressive about these figures is that the cance of that either because we really do have share of Japanese imports of beef has also some great opportunities. I believe that risen. In other words, not only have we seen through delegations like this we are making a dramatic increase in the quantity but we a very real contribution to getting hold of have maintained more than half the market, some of those opportunities. going from 51.7 per cent of the market share of imports in 1988 to 54.2 per cent. That Just to reinforce the trade issues, let me say that the fact that the new Prime Minister of speaks volumes for the work that is being office for less than a week-and the foreign those stories of which we ought to be proud. minister were prepared to meet showed that It ought to get more recognition because too they were serious about talking to us. I took often we allow ourselves to get bogged down great heart from that meeting because the with the bad news and not look at some of Prime Minister willingly agreed that his the good news. So, as pointed out, the work that has been done here has been very good. government, the new government of Japan, would honour the undertakings that Japan had given to GAIT. As we all know, in some I would also endorse the comments of the areas, particularly in some of the agricultural honourable member for Reid about the imareas, Japan has had some very high levels of portance of Australians learning Asian lanprotection. So to see that agreement honoured, guages. I am very heartened to see what is despite the change of government, shows that happening in the schools throughout Australia there is a real commitment on all sides of the where this is happening more and more and parliament of Japan. even exchanges are occurring. A number of schools in my electorate are now arranging The other thing that I noticed about Japan, for exchanges not only with the three countand which could have some significance in ries we are mentioning today but with other the way it trades in the next few years, is the countries throughout South-East Asia and, to dramatic rise in the value of the yen against be quite honest, we cannot do enough of it. other currencies, particularly the US dollar One can already see the value when one sees and, similarly, the Australian dollar. The full people dealing with countries whether it be on impact of that probably has not been felt yet, a political level, a trade level or business because coupling that with the fact that Japan level. The value of being able to speak the has been in recession and has had zero growth local language is just amazing. for at least a year means that Japan will have to go through a certain amount of restructurI come back now to some of the trade ing before it gets back onto the sorts of levels questions. As was mentioned, we also spoke of growth to which we have been accustomed. with the Japanese Wool Spinners Association But notwithstanding that, one of the points and the Japanese Wool Importers Association that did come through very strongly was that in Osaka and I was very heartened to hear the the very high level of domestic savings in confidence with which those associations Japan has meant that the Japanese have been spoke about the wool trade. While we saw able to weather this recession far easier than our wool exports to Japan fall to $448 million they might have otherwise. in 1993-well down from what it used to The point that was made about the growth be-quite a lot of optimism was expressed in some of our agricultural products is quite that they would rise and that we would see dramatic. In particular, the work that the probably a 15 per cent increase in the volume Australian Meat and Live stock Corporation of wool being imported by Japan. Given that has done in Japan is quite impressive. As the the price of wool has been rising in the last report alludes to, we have seen an increase in 12 months, obviously the value of those",17,Delegation Reports To The Efforts Of The Ambassadors And Officers
