speakerGroups,speaker,theText,pageNumbers,title
0,"A™ Anacttoamendthc As Zjs£%J£* ^ Endinothe Thirtieth Day Of June, One Thousand Nine Hundred And Forty","eight, and to appropriatethe Supplies granted by the Parliament for that year. An l e t to grant and apply out of the Consolidated Revenue Fund a sum for the service of the year e n d t r t H h i r t i V d a y of June, One thousand nine hundred and forty-eight, for the purposes of Additions, New Works, Buildings, & c , and to appropriate that sum. \ n Aot to amend the Australian National Airlines Act 1940. ^ National University Act 1947. A r Commonwealth Public Service Act 1.947 and by the Australum Soldiers' Repatriation Act 194/. An Aet relating to Banking and for other purposes. ^ S l m e n d ' r J e e ^ ^ l ^ s An Act to amend the Law regulating the Public Service. An Act to amond the Commonwealth Public Works Committet. Act 1913-1936. An Act to amend the Customs Act 1901-1936. An Act to amend the Dairy Produce Export Control Act 1924-1942. An Act to amend the Defend-. (Transitional Provisions) An 1946, and for other purposes. An Aot to amend the Distillation Act 1901-1934. EGO EXPORT CHARGES ACT 1947 (No. 77 OF 1947)An Act to impose Charges upon the Export of Eggs. EGO An Act relating to the Export of Eggs. An Act to amend the Excise Act 190.1-1.942. GOLD TAX SUSPENSION ACT 1947 (No. 58 OF 1947)An Act to Suspend the Tax imposed by the GoU Tax Act .1.939. ' ^ Assessment Act 1947, and for other purposes. ^ ITACT ^ ^ Z L V An Act to amend the Ministers of State Act 1935-1946. NEW An Act to amend the New Zealand Re-exports Act 1924. ^ Allowances Act 1947. jUgoita. 4ef 1920-1936, a. amended by the Air Natation Act m.^ *™» » » F nd for *Tr se of t h e *Y „ f f h o „ „ a ^ ^ e n ^ X S ^ ^ ffi^l94l,^nded by the A u s t r a l ^ = ^ = » J ^ > ^ m » by the amended by the Beer Excise Act UM7. osos I)uro f S ^ J ^ S ^ A ^ LS iZ n l ^ , as amended by the Income Tax£ ^ a t ^W J ^ ' LT b o * Organization. ^ "" l o ^ l & of M o n e ST e advanced to the Statesfortho purposes of Housin, 6 Act ^ e n ^ X = ^ ^ O ^ ^ m e n d o d by the Parliamentary An Aot to amend the Quarantine Act 1908-1924, as amended by the Quarantine Act 1947. An Act to assent to an Alteration in the Royal Style and Titles of His Majesty the King. An Act to increase the Salaries payable to the Holders of certain Statutory Offices, and for'other purposes. An Act to amend the Sales Tax {Exemptions and Classifications) Act 1935-1946. An Act to amend the Spirits Act 1906-1935. An Act to grant and apply out of the Consolidated Revenue Eund sums for the purposes of Einancial Assistance to the States of South Australia, Western Australia and Tasmania. An Act to amend the Slates Orants (Tax Reimbursement) Act 1946. An Act to approve an Agreement amending the Agreement approved by the Sugar Agreement A ct 1946. An Act to amend the Tractor Bounty Act 1939-1944. An Act to amend the Tradesmen's Rights Regulation Act 1946. An Act to amend the Trading with the Enemy Act 1939-1940, and for other purposes. An Act to approve the Treaty of Peace with Bulgaria, and for other purposes. An Act to approve the Treaty of Peace with Finland, and for other purposes. An Act to approve the Treaty of Peace with Hungary, and for other purposes. An Act to approve the Treaty of Peace with Italy, and for other purposes. An Act to approve the Treaty of Peace with Roumania, and for other purposes. WAR An Act to amend the War Service Somes Act 1918-1946. as amended by the Commonwealth Public Service Act 1947 and the War Service Homes Act 1947. WAR-TIME (COMPANY) TAX ASSESSMENT ACT 1947 (No. 59 OF 1947)An Act to amend the War-time (Company) Tax Assessment Act 1940-1946. WAR-TIME (COMPANY) TAX AOT 1947 (No. 60 OF 1947)An Act to amend the War-time (Company) Tax Act 1940-1941. An Aot to approve of Australia's becoming a Member of the World Health Organization, and for other purposes. [The only Bill remaining ou the Notice-paper was the Acts Interpretation Bill 1946, wbich was initiated in the House of Representatives and reached the second reading stage.] [The Constitution Alteration (Rents and Prices) Bill 1947 was passed by both Houses and is awaiting u Referendum of the people.] F.1097 2 Privileges Committee..........................................................................................................................................3212 Dollar Deficits.....................................................................................................................................................3212 Question Question Mr D. Mulcahy, M.p ..........................................................................................................................................3215 Question WOOL .........................................................................................................................................................3216 Question Question Question SHOT-GUN CARTRIDGES .......................................................................................................................3217 Question Question Foodstuffs Government Subsidies..................................................................................................................................3217 Question Sugar Agreement Bill 1947.................................................................................................................................3220 Australian Soldiers&#39; Repatriation Bill (No. 2) 1947 ...................................................................................3220 Question Air Navigation Bill (No. 2) 1947 Second Reading............................................................................................................................................3220 Australian National Airlines Bill 1947 Second Reading............................................................................................................................................3258 International Labour Organization Bill 1947 Second Reading............................................................................................................................................3258 Constitution Alteration (Rents And Prices) Bill 1947 .........................................................................................3258 Quarantine Bill (No. 2) 1947...............................................................................................................................3258 World Health Organization Bill 1947 Second Reading............................................................................................................................................3261 Fuel Injection Equipment Tariff Board Report......................................................................................................................................3264 Fuel Injection Equipment .............................................................................................................................3264 Question Question Bills Returned From The Senate .........................................................................................................................3276 Special Adjournment...........................................................................................................................................3276 Leave Of Absence To All Members....................................................................................................................3276 Adjournment Valedictory...................................................................................................................................................3277 Papers..................................................................................................................................................................3279 Answers To Questions Public Service: Oath of Allegiance ..............................................................................................................3279 Eniwetok Island............................................................................................................................................3279 Wheat: Sales to New Zealand; Stock Feed; 1947-48 Crop...........................................................................3280 Oats..............................................................................................................................................................3281 Potatoes........................................................................................................................................................3281 Postal Department: Food Parcels..................................................................................................................3282 House of Representatives. Thursday, 4 December, 1947. took the chair at 10.30 a.m., and read opinion, this position can be corrected prayers. agreed todance on the Committee of Privileges, and value which make up the international that in his place Mr Abbott be appointed as a funds. For example, the Government member of the committee. Minister and Treasurer) T have been gold holdings of Australia. asked on a number of occasions to prepare for the House a statement on the dollar position. I have done so, but I do not honourable member for New England is propose to ask for the leave of the House engaging in a debate which infringes to read the statement, which is a fairly upon the 35 minutes / provided for the long one. I have made arrangements broadcasting of questions without notice. for copies to be circulated among memThe Opposition has always objected to bers of the House of Representatives and Ministers making lengthy statements in of the Senate, and I lay on the table the this period. If honourable members confollowing paperDollar Situation-Statement by Prime Minisof ter, together with appendices. has laid on the table a statement relating to the dollar situation. I desire to ask the right honourable gentleman whether he proposes to take any steps to enable this matter to be debated hy the House before the end of this sessional period. I suggest that if he moves that the paper be printed, the matter can be debated; but it is quite idle for a debate on this subject to be postponed for months. I know that a few honoraible members desire to speak on the dollar situation. tant to move that a paper be printed, because the item is placed on the notice paper, and honourable members then are not permitted in other discussions to refer to the subject. If the Leader of the Opposition desires that, in the limited time available before the sitting ends, an opportunity be provided for a debate on this subject, I move That the paper be printed. [10.37] I desire to refer to the effect of the dollar shortage not only upon Australia bnt also upon the British Commonwealth of Nations as a whole. In my in a much more effective manner than by the action which the Government is taking at present. Honourable members experience extreme difficulty in obtaining from the Government any information rehas always failed, except when it was forced about a year ago under pressure of a barrage of questions from the tinue this debate, it will absorb the whole the period allotted to questions without notice, and that would be unfair.",8,Setup
1,Mr Speakeb (Hon. J. S. Rosevear),,11,Dollae Deficits
2,Motion (By Mr Ohiixey),by leave,11,Dollae Deficits
3,That Mr Mcewen Be Discharged From Attenlating To The Different Categories Of,,11,Dollae Deficits
4,Mr Chifley (Macquarie,"Prime Opposition, to disclose the international",11,Dollae Deficits
5,Mr Mehzms,The Prime Minister,11,Dollae Deficits
6,Mr Chifley,I am always reluc,11,Dollae Deficits
7,Mr Abbott (New England),,11,Dollae Deficits
8,Mr James,"I rise to order. ' The110 point of order involved. Prime Minister has moved that the paper be printed. Dpbate on the motion can proceed immediately, or the adjournment of the debate can be obtained, and the item placed on the notice-paper. The honourable member for New England is quite in order in debating the motion that the paper be printed. The House is master of its own business. obliged to occupy some of the period which is allotted to questions without notice, but the dollar situation is of such vital importance to Australia and our people, that, regardless of whether the debate will curtail the period allowed for questions without notice, I consider that the discussion should proceed. ciple, the honourable member is not justified in occupying the period of 35 minutes which is allotted to the broadcasting of questions without notice. I suggest that at a later hour, an opportunity might be afforded to enable him to make his statement. be afforded? has suggested that I should not take arp fhe time of the House during the period normally allotted to questions. I am willing to accede to the suggestion if the right honourable gentleman will allow the motion now before the House to .be discussed during to-day's sittings at a time when it is possible to have the debate broadcast so that the people may hear it. Government members interjecting, on the Government side of the House are not going to be fair orable member is concerned with broadcasting, I inform him that proceedings in this House will not be 'broadcast at any time to-day. then. Air. SPEAKER I want to make this very clear. I ean only state the decisions of the Parliamentary Proceedings Broadcasting Committee up to the present, but the arrangement is that proThe ceedings in the Senate shall be broadcast until lunch-time to-day. No proceedings in this House, apart from questions without notice and answers, will he re-broadcast. Therefore, there can be no guarantee that the debate will be broadcast unless the committee decides otherwise. about broadcasting, sir. As everybody knows, I rarely speak in this House and my speeches are short. However, if the Prime Minister is willing to permit this debate to take place this afternoon, I am willing to ask for leave to continue my remarks at a later hour. Is the Prime Minister prepared to do that? the other business with which it must deal, we shall bring on the debate at some time during the day. taking is scarcely worth anything. That is not good enough. I was saying orable member's use of this time to debate the motion before the House is an infringement of the rights of honourable members, and therefore I moveTliat the honourable member for New England( Mr Abbott) be not further heard. Question put. The House divided. ( MB . SPEAKEH-HON . J. S. ROSEVEAB.) Ayes .. .. 36 Noes 20 Majority 16 AYES. Langtry, J. I . Barnard, H. C. Beazley, K. E. Lawson, George Blackburn, Mrs. D. A. Lazzarini, H. P. Brennan, F. Lemmon, N. Burke, T. P. McLeod, D. Calwell, A. A. Mulcahy, D. Chambers, C. O'Connor, W. P. Chifley, J. B. Pollard, B. T. Clark, J. J. Riordan, W. J. F. Conelan, W. P. Russell, E. H. D. Daly, F. M. Scully, W. J. Drakeford, A. S. Sheehy, T. N. Duthie, G. W. A. Thompson, A. V. Edmonds, F. W. Ward, E. J. Falstein, S. M. Williams, T. F. Haylen, ] , . C. Holloway, E. J. Tellers: James, R. Fuller, A. N. Johnson, H. V. Sheehan, T.",11,Dollae Deficits
9,Mr Speaker,Order! There is,12,Dollae Deficits
