speakerGroups,speaker,theText,pageNumbers,title
0,"An Act To Provide For The Deportation Of Certain Aliens. An Act To Grant And Apply An Additional Sum Out Of The Consoudated Bevenue Fund For The Service Of The Year Ending The Thirtieth Day Of June, One Thousand Nine Hundred And Forty","six, and to appropriate that sum. An Act to make provision, in the interests of the Defence of the Commonwealth, for the Control of Materials which are or' may be used in producing Atomic Energy, and for other purposes. An Act to amend the Australian Broadcasting Act 1942, and for other purposes. An Act to estabUsh and incorporate a University in the Australian Capital Territory. An Act to amend sections eighty-nine and ninety of the Australian Soldiers' Repatriation Aet 19201945. An Act to amend the Bankruptcy Act 1924-1945. COAL INDUSTRY ACT 1946 (No. 40 OF 1946)An Act to provide means for Securing and Maintaining adequate Supplies of Coal throughout AustraUa and for providing for the Regulation and Improvement of the Coal Industry in the State of New South Wales, and for other purposes. An Act to make provision for the performance by the next senior Judge of the duties of the Chief Judge of the Commonwealth Court of Conciliation and Arbitration in the event of his absence from office or his inability to perform the duties of his office, and for other purposes. An Act to amend the Commonwealth Conciliation and Arbitration Act 1904-1934, as amended by the Commonwealth Conciliation and Arbitration Act 1946. An Act to amend the Commonueallh Electoral Act 1918-1910, and for other purposes. An Act to amend the Commonwealth Inscribed Stock Act 1911-1945. An Act to provide for the appointment to or employment in the Commonwealth Service of certain State Employees, and for other purposes. An Act to provide for the VaUdation of Collections of Duties of Customs under Customs Tariff Proposals. An Act to repeal section six of the Entertainments Tax Act 1942-1944. An Act to repeal section twenty-nine of the Entertainments Tax Assessment Act 1942-1944. An Act to provide for the Validation of Collections of Duties of Excise Tariff Proposals. An Act to amend the Forestry Bureau Act 1930-1944. An Act to make provision for and in connection with the Guardianship of certain Children from outside Australia. An Act to impose a Tax upon Incomes. An Act to amend the Income Tax (War-time Arrangements) Act 1942-1944. An Act to amend the Income Tax Assessment Act 1936-1945. An Act to amend the Invalid and Old-age Pensions Aet 1908-1945. An Act to restore the number of Justices of the High Court to the number of seven. MEAT EXPORT CONTROL ACT 1946 (No. 36 OP 1946)An Act to amend the Meat Export Control Act 1935-1938, and for other purposes. MEAT INDUSTRY CONTROL ACT 1946 (No. 37 OP 194.6)An Act to provide for the transfer of the powers, authorities and functions conferred upon and exercised by the Controller of Meat Supplies and the Meat Canning Committee appointed under the National Security (Meat Industry Control) Regulations and the National Security (Meat Industry) Regulations respectively to the Australian Meat Board during the continuance of the National Security Act 1939-1946 and the Regulations thereunder. An Act to provide for the Retention or Acquisition of British Nationality by Women married to Aliens. An Act relating to the Naturalization of Persons who reside or have resided in the Territory of New Guinea. An Aot to provide for the termination of the National Security Act 1939-1943. An Act to provide for the Establishment and Operation of Overseas Telegraphic, Telephonic and other like Services by the Commonwealth, and for other purposes. An Act to amend the Parliamentary Papers Act 1908-1935. An Act to provide for the Broadcasting of the Proceedings of the Houses of the Parliament, and for other purposes. An Act to amend the Patents Act 1903-1935, and for other purposes. An Act to authorize the Execution by or on behalf of the Commonwealth of an Agreement between the Commonwealth and the States of New South Wales, Victoria and South Australia in relation to the Standardization of certain Railways, to approve of the Raising of Loans for Defence purposes (namely, the Standardization of those Railways), and for other purposes. RAW COTTON BOUNTY ACT 1946 (No. 51 OF 1946)An Act to amend section nine of the Raw Cotton Bounty Act 1940-1941. An Act to amend the Sales Tax (Exemptions and Classifications) Act 1935-1945. An Act to amend the Saks Tax Assessment Act (No. 9) 1930-1936. An Act to amend the Social Services Contribution Act 1945. An Act to amend the Social Services Contribution Assessment Act 1945. An Act to make provision for the grant of Einancial Assistance to States, and for other purposes. An Act to approve an Agreement made between His Majesty's Government of the Commonwealth of Australia and His Majesty's Government of the State of Queensland, and for other purposes. An Act to amend the Superannuation Act 1922-1945. An Act to appropriate a further sum out of the Consolidated Revenue Fund for the service of the year ended the thirtieth day of June, One thousand nine hundred and forty-five. An Act to appropriate a further sum out of the Consolidated Revenue Fund for the service of the year ended the thirtieth day of June, One thousand nine hundred and forty-five, for the purposes of Additions, New Works, Buildings, &c. An Act to grant and apply a sum out of the Consolidated Revenue Fund for the service of the year ending the thirtieth day of June, One thousand nine hundred and forty-seven. An Act to grant and apply a sum out of the Consolidated Revenue Fund for the service of the year ending the thirtieth day of June, One thousand nine hundred and forty-seven. An Act to make provision in relation to the Regulation of Tradesmen's Rights of Employment in certain Trades, and Employment of Members of the Forces in those Trades, and for other purposes. An Act to amend the Tuberculosis Act 1945. WAR PENSIONS APPROPRIATION ACT 1946 (No. 19 OF 1946)An Act to grant and apply out of the Consolidated Revenue Fund a sum for War Pensions. WAR SERVICE HMS AC T 1946 (No. 8 OF 1946)An Act to amend the War Service Homes Act 1918-1941. WAR-TIME (COMPANY) TAX ASSESSMENT ACT 1946 (No. 7 OF 1946)An Act to amend the War-time (Company) Tax Assessment Act 1940-1944. An Act to impose a Charge upon the Export of Wheat and Wheat Products. An Act relating to the Stabilization of the Wheat Industry. An Act to amend the Widows' Pensions Act 1942-1945. WOOL INDUSTRY FUN D ACT 1946 (No. 52 OF 1946)An Act to provide for the application of certain Funds vested in the Australian Wool Realization Commission. awaiting a referendum of the people. both Houses and awaiting a referendum of the people. referendum of the people. sentatives. F.601 2 Initiated in the House of RepreQuestion THE PRIME MINISTER .............................................................................................................................1096 Question Question Question Question FAT STOCK SALES IN MELBOURNE ....................................................................................................1096 Question FOOD SHIPS FOR INDONESIA................................................................................................................1097 Question Question Question Question THE PARLIAMENT ...................................................................................................................................1098 Question ARMY INTENTIONS DIRECTORATE .....................................................................................................1099 Question Immigration Immigration ...............................................................................................................................................1101 Commonwealth Immigration Advisory Committee -Report.........................................................................1101 Question Question WAR PENSIONS ........................................................................................................................................1102 Question Wheat Industry Manufacture of Dog Biscuits........................................................................................................................1102 Reply To Critic On Dog Food Less Wheatmeal ...........................................................................................................................................1104 National Security Bill 1946.................................................................................................................................1104 Constitution Alteration (Social Services) Bill 1946 Second Reading............................................................................................................................................1104 Revision Contemplated .......................................................................................................................................1116 Question Bills Returned From The Senate .........................................................................................................................1128 Adjournment .......................................................................................................................................................1128 Papers..................................................................................................................................................................1131 Answers To Questions Armed Forces : Education Service ...............................................................................................................1131 Flax : Government Mills ..............................................................................................................................1132 House of Representatives. Friday, 5 AprU, 1946. took the chair at 10.30 a.m., and read taining in employment as many men as prayers. TKE PRIME MINISTER. appear to have been any official statement us to the intention of thc Prime Minister to leave Australia for overseas, will the right honourable gentleman either confirm or deny the several press statements that he proposes to leave Australia about the Minister representing the Minister forfourteenth of this month ? press statement. I shall later make a the ginger industry for tariff protection?' short statement on my proposed tour. If so, has the report been considered by Air lay on the table of the House tbe products generally. If it has, I shall seeSlater reports on the organization of the whether the honourable member's request, Royal Australian Air Porce? Docs the .mny be complied with. honourable gentleman expect to be able to make the statement that he has promised on the retirement of senior Air Eorce officers and re-organization generally? mittee was a war establishment commitstatement, which .the honourable memberand the Government. Its reports have have made at the United Country been very helpful, but I do not intend party conference in Melbourne, that to lay them on the tahle of the House. the settlement which had been 'reached I propose to make, early next week, a in statement respecting thc retirement of a complete victory for the proAir Force officers. COAL-MINING INDUSTRY. WALT.AHAH COLLIERY. vised by the secretary of the Wallarah Minors Lodge that a serious position is marks attributed to the honourable memdeveloping at the Wallarah colliery on ber for Indi. Those who know thencconnt of the displacement of miners by honourable member will not be surprised ex-servicemen. I.t is suggested that addint any misstatement that he might make. tional miners could be employed on work There has. heen no deviation from thein pillars, sn -l an investigation by the original policy of the Government in. authorities is requested. In view of thenecessity to produce more coal, will the Minister representing the Minister for Supply and Shipping ask the Coal Commissioner to send the production manager to this pit, with a view to having the possible? league the Minister for Supply and Shipping, to see whether effect can be given, Trade and Customs received the report of Cabinet? Will it bo acted upon, and be included in a tariff schedule during the life of this Parliament? FAT STOCK SALES I N Ihe meat dispute represented ducers, and an abject surrender by the Government? Has the Government' deviated in any way from the policy which it originally adopted in this-",7,Aliens Deportation Act No 29 Of 1946
1,Mr Speakeb (Hon. J. S. Rosevear) Position Thoroughly Investigated And Re,,11,Melbourne
2,Mr Harrison,As there does not to the honourable member's request.,11,Melbourne
3,Mr Chifley,I can confirm the the Tariff Board on an application by,11,Melbourne
4,Mr White,Will (he Minister for the Tarifl Board has inquired into ginger,11,Melbourne
5,Mr Drakeford,The Slater comfor Commerce and Agriculture seen a,11,Melbourne
6,"Tee, Which Was Appointed To Report To Mo For Indi ( Mr Mcewen) Is Reported To",,11,Melbourne
7,Mr Williams,I have been addispute?,11,Melbourne
8,Mr Dedman,I shall ask my col,11,Melbourne
9,Mr Bernard Corser,Has the,11,Melbourne
10,Mr Dedman,I am not aware that,11,Melbourne
11,Mr Pollard,Has the Minister,11,Melbourne
12,Mr Scully,"I have read the reregard to this dispute, and it is a distortion of the truth to say that the Government has abjectly surrendered. Now that -common sense has prevailed, we hope that 3. permanent settlement will be possible. It is the action of such persons as the bonorable member for Indi which has kept the dispute going so long. FOOD SHIPS FOR INDONESIA. -say in what States the waterfront unions and I do not think that they could be -are supporting the Sydney unions which moved before repairs are made. The have refused to load ships for the remainder, I believe, could be moved Netherlands East Indies? What is the without undergoing further repairs. Tbe value of the cargoes which are held up, dispute has been the subject of negotiaand of the estimated annual trade with tions on thehighest possible plane. I the Netherlands East Indies whicb is can only say that, up to the present, they now in danger.as a result of the hold-up? bave not been successful. Considering Foi how long are the waterfront unions all aspects of the case, it is neither posto be permitted to control the Governsible, nor desirable, for me to comment ment's foreign policy? When will the upon it. Prime Minister be able to answer my former questions on this subject? Dutch ships arose in the ports of 'Sydney, Brisbane ancl Melbourne, and was due in the first instance to the fact in Great Britain is under government that Dutch nationals walked off the ships, control, will the Treasurer, during his .and refused to work them. The watervisit to the United Kingdom, consult with -side workers decided to support the the British Government with a view to Indonesians. As to the value of cargoes having the exchange rate on Australian -on tbe Dutch ships, some extravagant currency brought back to par? .statements have been made, and it has even been said thai thb value was between £30,000,000 and £40,000,000, a ridiculous -over estimate. The total value could not change, or move to make a change, of the be more than £3,000,000, and it may be exchange rate could have very serious revery much less. There are sound reasons percussions, particularly upon the prifor believing that it could not be more. mary producers of Australia. I am sure find out what is the value ? learn the precise details because conflictthat were generally accepted in the past, ing statements are made. I have based when the evenness of the flow of trade my statements on tbe most reliable inforbetween two countries governed the exmation from the Dutch side, and from change rate between those countries. those wbo know what goods the Dutch The present rate of exchange with Great hold. Tbere is nosubstance in the Britain has existed for a long time, and -charge that the waterside workers conone would have to trace monetary fluctuatrol the Government's foreign policy. tions back to the time when the rate was ""There are some things which people can last changed in order to explain fhe posiphysically prevent one from doing. I tion. I say frankly that I have no shall not go into the pros and cons of intention of discussing the matter at this the situation now. At all times I have time. tried to treat it with a great deal of reserve, because it is an extraordinarily difficult situation in wbich the British, the Dutch, and the Indonesians have been in constant conflict. I have taken the opportunity to have personal talks with people very closely associated with the negotiations. I am sorry that it has not been possible to reach a satisfactory settlement by which the goods, or atleast the ships, could be released. Of course, with a fairly difficult subject. Any. that they would not desire any alteration time to come. Exchange rates are not",11,Melbourne
