speakerGroups,speaker,theText,pageNumbers,title
0,"$Ouse Of Ftfuveseutattbes Tuesday, Ig November, Igi2. And Read Prayers. O'connor. Ister And","Treasurer) [3.1] I move, by leaveThat this House places upon' record its appreciation of the great public services of the late Justice of the High Court of Australia, the Honourable R. E. O'Connor, and tenders its sincere sympathy to the bereaved wife and family of an eminent citizen, whose decease is a great loss to the Commonwealth. Since we last met, Australia has lost one of its most distinguished citizens. death has caused the first vacancy in the highest judicial tribunal in the land, and as he was a distinguished member of the first Parliament, and of the first Ministry, it is only fitting that some reference should be made to it. Some of us made his acquaintance for the first time after we came to this Parliament, but all who knew bim remember him, not only for his great ability, but also for his kindness of heart, and for his urbanity in all his dealings with public men. duties of public life, and for the judicial work imposed on him, much of which was more than usually onerous, because not such as ordinarily falls to the lot of a high judicial functionary. He was President of the Court of Conciliation and Arbitration, and his work in that Court has stood the test of time. Australia is the poorer by the death of a citizen who did much for its public life. I am sure that I speak for every honourable member present, and for many others, when I say that our hearts go out to the wife and family in sympathy with their loss, which, great as our own is, completely outmeasures it. 1 late Mr Justice O'Connor accomplished much for Australia. He was a champion of the Federal movement from the outset, a representative of his State in the Convention which shaped the Constitution, arid a member of the Committee that framed it. His work always bore traces, for those who knew him, of his many high qualities. The most lovable of comrades, he was also the fairest of opponents, and staunchest in the discharge of his obligations. Reference has been made to the distinguished position which he occupied in this Parliament, but only those who had the privilege of being members of the same Cabinet know the steadfastness with which he at all times pursued high Federal aims, irrespective of party or personal relations, andi how invaluable his counsel and assistance were in dealing with the many great difficulties surrounding the launching of the Constitution. But this is not the time when any recapitulation of his principal public achievements can be adequate or satisfactory to those who knew him. He held a high judicial appointment for which no one could have been better qualified, because in the extremest heat of party feeling he never lost the judicial temper. His leadership of the Senate in the first days of the Commonwealth was.a As his testimony to his conspicuous qualifications for positions of high trust arid responsibility. For all his gifts, and above all else, he was among the most modest and retiring, most lovable, and loyal of men. ney-General) [3.6] -7-By the death of Mr Justice O'Connor we have .lost a very great mana man whose public career was both distinguished and honourable. His public ' services, especially those connected with the establishment of Federation, will be He was singularly fitted for the long remembered. He brought to his every task a. devotion and wholeheartedness as rare as commendable. It was the fortune of many of us to be opposed to him in politics, but though he always ' fought valiantly and well, all of us regarded him with the warm feelings of personal friendship. He never exhibited any trace of personal enmity, nor gave cause for it in others. It was impossible to regard him as an enemy. As a lawyer his judgment",14,Setup
1,"Mr Speaker Took The Chair At 3 P.m.,",,14,Death Of Mr Justice
2,Mr Fisher (Wide Bay,Prime Min,14,Death Of Mr Justice
3,Mr Deakin (Ballarat) [3.4},The,14,Death Of Mr Justice
4,Mr Hughes (West Sydney,"Attorwas sound and his knowledge of law profoundHis devotion to duty shortened his career. But it may be some consolation to his wife and family to know that he leaves a reputation which will not easily die, and memories in which there is not one drop of bitterness, his political opponents mourning his loss as sincerely as do bis friends and colleagues. Question resolved in the affirmative, honourable members standing in their places. seen the Age of to-day, in which the honourable member for Flinders, speaking of the conduct of the business of the House, is reported to have saidThe reason for tbe recent sixty hours' sitting had arrived at a certain stage with regard of the House of Representatives was not merely the desire on the part of the Opposition to beat the other side. The Government, which had a large majority at its back, had told the Opposiat about half-past II o'clock. . But some tion that it was going to pass the whole of the Estimates, .'involving the expenditure ^30,000,000, in one sitting. Is the Prime Minister aware that that is a fact? Mr Speaker, is "" No."" Bill was under discussion in Committee, 1 questioned the accuracy of a statement in a circular issued by the Masters and Engineers' Association of Australia. made inquiries to ascertain whether any member of the association was in the employ of the Port Jackson Company, and had been informed that not one was in that employment. Subsequently, the organization informed me that tbe statement made in the circular was quite correct. I therefore communicated with the authorities in Sydney, and found upon fuller -investigation that the statement was correct,' and that out of fourteen engineers in the employ of the Port Jackson Company four were members of the association. Therefore, I think it is only right and just that I should tender my apology to the association, and express my regret that my criticism, though honest, did not accord with the facts of the case. Mr W. H . IRVINE i desire to make a personal explanation. A question was asked of the Prime Minister a few minutes ago as to whether he was aware that I had made a statement on Wednesday night last that the Government had threatened to take the whole of the Estimates-o r rather the remaining portion of them-throug h Committee at one sitting. The only answer made by the Prime Minister to that question was an emphatic "" No."" Whether that was an answer to the question as to whether he was aware that I had made the statement, or whether it was intended as expressing dissent with respect to the correctness of what I said, I do not know. said, "" No, no!"" Mr W. H . IRVINE -A t all events, I desire to reiterate the statement which I made, and to explain exactly what took place. An arrangement had been made whereby the House was to rise when we to the Estimates of the Department of External Affairs. That stage was reached debate on another matter introduced by o! the honourable member for Richmond took placeThe honourable member was followed by certain speakers on the other side. That brought us near to iz o'clock. the honourable member himself. Mr W. H. IRVINE I am now deal-, ing with the correctness of what I said. member was going to state exactly what took place? Mr W. H . IRVINE I am going to state exactly what took place. The honA day or two previously I had orable member for Bourke spoke. After he had concluded what he had to say, tbe Deputy-Leader of the Opposition, at the table, asked the Prime Minister how far he intended to proceed with the Estimates. minutes to 12. Mr W. H. IRVINE;-If. it was at eleven minutes to i it does not matter for the purpose of-my .explanation. .The Prime Minister, in the reply' to that question, said, ""We propose to proceed with the business of the House."" Now, I say that that statement of mine-that the Prime Minister on behalf of tbe Government, said that they were determined to proceed with tbe whole of the Estimates in one sitting-wa s correct. Honourable members opposite are trying to cover up what they know to be true by an outburst of guffaws. ber is now entering into an argument. That is'not a personal explanation.",14,Death Of Mr Justice
5,Mr West,-Has the Prime Minister,15,Personal Explanations
6,Mr Fisher,"The answer to that,",15,Personal Explanations
7,Mr Howe,When the Navigation,15,Personal Explanations
8,Mr Fisher,Perhaps I should have,15,Personal Explanations
9,Mr Bennett,He was also followed by,15,Personal Explanations
