text,pageNumbers
"Wednesday, 18 February 1987 bill which came to my notice for the first time",8
yesterday I also received a current account from,8
one of the airlines which included a bill for,8
Madam SPEAKER (Hon. Joan Child) took travel to Western Australia for a person unreMONICA,8
"the chair at 10 a.m., and read prayers. lated and unknown to me. This has come on to",8
PERSONAL EXPLANATION my personal account. It is a computer error.,8
"That happens. Frankly, if it were returned to",8
Mr SINCLAIR (New England-Leader of the,8
"the airline, presumably it would be sent to the",8
"National Party of Australia)-Madam Speaker,",8
I seek leave to make a personal explanation. right account.,8
Madam SPEAKER-Does the right honour- Mr Keogh-Who was it for-Joh?,8
able member claim to have been misrepresented?,8
"Mr SINCLAIR-Yes, Madam Speaker. Mr SINCLAIR-No, it is for a firm of engiMONICA",8
neers which happens to have the same name as,8
"Madam SPEAKER-Please proceed. I do. In the fairly normal course the computers,",8
"Mr SINCLAIR-In today's Sydney Morning in the way that they seem to do, have managed",8
"Herald, under the byline of Peter Bowers, there to get it wrong.",8
is an article relating to travel claimed against,8
the entitlement of my family member. There has My second concern relates to the Department,8
"been a computer error, in a typical manner, in of the Special Minister of State. I am most",8
"the way in which the charges have been made. concerned that apparently the Department, or",8
"On 4 March 1986 a letter was written on my somebody within it, gave the information to the",8
behalf to the Department of the Special Minister media before it came to my notice. I knew,8
"of State stating, among other things: nothing of it until it was brought to my notice",8
It is my understanding that Mr and Mrs Sinclair's tickets by this journalist. The account is one which I,8
should be charged to the Department of the Special am questioning. It goes back over two years. I,8
Minister of StateMONICA,8
"have paid it, but I am not as yet certain whether",8
It went on to state that the ticket for my family the amounts that have been allegedly charged to,8
member should be charged to my personal ac- me are in fact correct.,8
"count, 'which was a T AA charge account'. The",8
"present practice of most members of this place, I regard it as very regrettable that, in circumMONICA",8
at the request of the previous Special Minister stances in which neither I nor anybody on my,8
"of State, is that they make their wives' bookings behalf has had any involvement in requesting",8
on the credit cards which have been issued to that the Government meet the fare of this family,8
"each of us with respect to travel on both Ausmember, it is made to appear that I have done",8
tralian Airlines and Ansett Airlines of Australia.,8
"As a result, within the airlines' computer procso. I therefore suggest to the Government that,",8
"esses, a system has developed whereby a special if it is inquiring into all accounts lodged by",8
"section is nominated within each airline to take honourable members, as is apparently the case,",8
bookings made by those of us who use Flight it should try at least to keep secure its discusMONICA,8
Deck or Golden Wing accounts. Our details thus sions with parliamentary members so that things,8
come up on a computer. I have consistently are not made public in such a way that it apMONICA,8
"found that, although bookings are made over the . pears as though somebody has been guilty in",8
"phone and never in person, fares have been some way of manipulating accounts when in",8
"charged to that account instead of charged, as I fact, as in my case, there has been a genuine",8
"have requested, to my personal account. On no mistake, I presume by the airline, within its",8
occasion have I or any member of my staff computer booking processing system.,8
requested that the fares be charged to the DeMONICA,8
partment of the Special Minister of State. On Mr YOUNG (Port Adelaide-Minister for,8
"the contrary, it has been requested that when Immigration and Ethnic Affairs)-I wish to reMONICA",8
they emerge they be transferred to my personal fer to the matter raised by the right honourable,8
"account, as witnessed by the letter of 4 March member for New England ( Mr Sinclair). AI.'",8
1986. though I was Special Minister of State at the,8
"The circumstances concern me in two retime, I am totally unaware of the circumstances",8
"spects. The first is that, obviously, there can be which have arisen. I will see that the matter he",8
and are computer errors that can affect all of has raised is brought to the attention of the new,8
"us. Indeed, at the same time as I received this Special Minister of State, Senator Tate.",8
COMPANIES REGULATIONS Chartered Accountants and the Australian AcMONICA,9
(AMENDMENT) counting Research Foundation. The new SchedMONICA,9
Suspension of Standing and Sessional Orders ule is a massive document. That in itself should,9
have sounded warning bells. The old Schedule,9
Motion (by Mr Young)-by leave-agreed to: ran to nine pages and 13 clauses. The new,9
That so much of the Standing and Sessional Orders Schedule runs to 26 pages and 40 clauses.,9
be suspended as would prevent notice of motion No.,9
"79, General Business, being called on forthwith. Schedule 7 to the Companies Act is of major",9
importance to companies and to the Australian,9
Motion for Disallowance business community. It applies to all of the,9
"Mr SPENDER (North Sydney) (10.06)-1 600,000 or more companies in this countryMONICA",9
"move: from listed companies to small, privately owned",9
That regulation 4 of the Companies Regulations,9
companies and from single companies to groups,9
"(Amendment), contained in Statutory Rules 1986 No. which comprise hundreds of subsidiaries. The",9
"247, made under the Companies Act 1981, be disallowed. purposes of Schedule 7 are to lay down the rules",9
for the preparation of the profit and loss acMONICA,9
Madam SPEAKER-Is the motion seconded? counts and balance sheets for all Australian,9
