speakerGroups,speaker,theText,pageNumbers,title
0,"Use Of Mrprcscntatirjes . Friday, And Read Prayers. Wish To Make A Personal Explanation. I N To","day's Argus the leader of the Opposition is reported to have said last nightMr Willis, in his speech, said that the Labour Party was-so well organized that there should be no dissolution at the present time. aware that the feeling of the country was against the Ministry, and therefore did not desire a dissolution. I have consulted Hansard, which, as honourable members know, is a verbatim report, and I find that the words which I used were theseHonorable members opposite nave derived some satisfaction from a reckless statement of the honourable member for Wilmot, that were a dissolution to take place at the present time, the polls would be swept by the Labour Party. The honourable member might be able to let'himself down softly in that way, but he could not deceive me, nor could he deceive Mr Tom Mann, who has said that honourable members opposite would go further than they now profess to be prepared to go, and that if they were candid and honest, and said what they really believed in,'.they would g» the full length of. Socialism, according to the Fabian Essays, and of the socialistic movement of England, and the Continent.; but he adds that they are not supported by the people. There is a great difference between the two statements. I think that my views as reported in Hansard are very clearly and definitely set out. the Prime Ministeri f he has received a communication from the Premier of Queensland regarding'the continuance of the Sugar Bounty Act, and dealing with the whole subject. If he has, will he be good enough to lay it upon the table ? has yet reached me, but if such a letter is received, there will be no objection to. laying it on the table. MENT BILL . to the defeat of the Watson Government, a promise was made to the honourable member 14 October, igoft He was",12,Setup
1,"Mr Speaker Took The Chair At 10.30 A.m.,",,12,Manufactures Encourage
2,Mr Henrywillis (Robertson),I,12,Manufactures Encourage
3,Mr Fisher,I wish to know from,12,Manufactures Encourage
4,Mr Reid,No such communication,12,Manufactures Encourage
5,Mr Webster,"I s it a fact that, priorfor Eden-Monaro, conditionally or unconditionally, that he would be given master-General, ufon noticecharge of the Manufactures Encouragement B ill if the then Government was put the out of office, and the present Government tenderers by giving the former an advantage of came into power? ' Sir"" WILLIAM LYNE -Can the Minislative authority for such differential treatment of ter of Trade and Customs give the House Commonwealth citizens, on the ground of nationany information regarding a claim made by ality ? . Mr Sandford for a refund of duty on steel rails paid some time ago? The matter was out to the honourable and learned member afterwards taken into court. I wish that this question has already been answered to know if the Government have with by the reply given by the Prime Minister drawn their defence, and if they are to the question just asked by the honourable now prepared to pay. the claim. will the Minister lay tbe papers upon the table? I do not ask the question in any hostile spirit; but if the Government have going to answer questions, or are Ministers done what I think they have done, I wish to be allowed to do so? the papers to be made public, so that my action, and that of some of my colleagues, answer the questions which are asked. in reference to the matter may be disclosed. shall put another set on the notice-paper. my notice a little time ago, as one which had been partly dealt with by my predecessors. Minister does not bull-doze the House in On making inquiries, I found that the that way. ford, and I therefore sent instructions to impossible for me to carry out my duties as. Svdney not' to enter a defence. Sir WILLIAM LYNE * W ill the Ministerlay on the table the papers connected with the matter? MT . McLEAN -There is no objection-to doing so. the Prime Minister, ufon notice(1) 'Whether he proposes to cany out the policy wealth that in all Government contracts preference shall will Commonwealth be given to local manufactures and products? (2) Whether he will cause to be inserted in all Government contracts a condition that goods which orable member's questions are asf o l l o w : con be reasonably manufactured in Australia .should have preference over similar articles Second Commonwealth Contingent have yet remanufactured outside? replies to the honourable lmember's quesnow, therefore, soon be expected. tions : 1. No general rule has been adopted. Each of medals to be issued, and the necessaTy checking case will be judged on its merits, with the desire of the Rolls. to make use of Australian articles where conditions justify. 3. The present system will be adhered to. (1) Whether he has yet submitted to the Cabinet auestion of continuing the practice of distinguishing between Australian and European 1$ per cent, over the latter in their dealings with his Department? (2) If be has so submitted the question, have his colleagues approved of the continuance of the practice? (3) Can he point to any constitutional or legisI f so, member for Yarra. I Speaker unless 1 am supported by honourable members. Defence, upon notice, (1) Why have the members of. the First Commonwealth Contingent, which returned from South Africa about two years ago, not yet received their medals, although the members of the Second Commonwealth Contingent nave, it is (2) . Are the members of lhe First CommonContingent to receive extra medals from the Government? If so, when these be presented? 1. Neither the members, of the First nor tbe ceived their medals ; but advice was recently received from, the Home Government that they The following are the would shortly be ready for issue, and they may The delay, that has taken place in the matter has been occasioned, it is understood, by the large number 2. It is not intended by the Government to award any extra medals to members of the First Commonwealth Contingent.",12,Manufactures Encourage
6,Mr Reid ;,It is not a fact.,13,First Commonwealth Contingent
7,Mr Mclean,The matter came under,13,First Commonwealth Contingent
8,"Equities, Of The Case Were With Mr Sand",,13,First Commonwealth Contingent
9,"Mr Tudor (For Mr Crouch) Asked Said, Received Theirs?",,13,First Commonwealth Contingent
10,Mr Reid,,13,First Commonwealth Contingent
11,Mr Brucesmith Asked The Post,,13,First Commonwealth Contingent
12,Mr Sydneysmith,I would point,13,First Commonwealth Contingent
13,Mr Mahon,No.,13,First Commonwealth Contingent
14,Mr Reid,I s the honourable member,13,First Commonwealth Contingent
15,Mr Mahon,I shall see that Ministers,13,First Commonwealth Contingent
16,. Mr Reid,That is a very terrible.threat.,13,First Commonwealth Contingent
17,Mr Mahon,I shall see that.the Prime,13,First Commonwealth Contingent
18,Mr Speaker,Order. It wil l be,13,First Commonwealth Contingent
