speakerGroups,speaker,theText,pageNumbers,title
0,"Tuesday, 11 May 2010 … The Proposed Tax Has Introduced Great Uncer","----tainty about the potential impact on the economics of developing resources into viable operations took the chair at 2 pm and read prayers. Will the Prime Minister guarantee that there Mr William Yates and jobs in the mining and resources sector Mrs Andrea Gail West as a result of his great big new mining tax? member for his question, because it goes to The Speaker (2.01 pm)-I inform the the government’s proposal to introduce a House of the deaths of William Yates and resource super profits tax. The reason the Andrea Gail West, former members of this government is proposing to do that is that we House, and Bernard Francis Kilgariff AM, a need to do three things: (1) provide proper former senator. William Yates died on 18 super for working families across Australia April 2010. He represented the division of (2) provide tax cuts for all businesses in AusHolt from 1975 to 1980. Andrea West died tralia and (3) properly fund the future infraon 20 April 2010. She represented the divistructure needs of Australia. These are the sion of Bowman from 1996 to 1998. Bernie three reasons we are proposing this tax and Kilgariff died on Tuesday, 13 April 2010. He doing so consistent with the advice provided represented the Northern Territory from 1975 by the Secretary of the Treasury in his reto 1987. As a mark of respect to the memory view. of the deceased I invite honourable members to rise in their places. I say to the Leader of the Opposition that as he goes through project by project it Honourable members having stood in would be useful for him to reflect on what their placesothers have said in the commentary in recent Opposition) (2.02 pm)-by leave-I table a ments the other day by the former chief exrevised shadow ministry list arising from the ecutive of the Minerals Council of Australia, retirement of Senator Minchin. David Buckingham, who described the current fear campaign as ‘utterly baseless’. I also draw his attention to those comments Budget today in the Financial Review from the Depthe Prime Minister. I refer the Prime Minister lia. to the announcement yesterday by Xstrata It follows logically that, if you are going that it was suspending its $30 million North to impose a new tax to fund these three priQueensland regional exploration program orities of nation building for the future, you because of the Prime Minister’s great big are going to have opposition from some of new mining tax. In particular, I refer him to the mining companies concerned. We have Xstrata’s statement, which read: outlined our tax proposal and we have out-",19,Setup
1,The Speaker ( Mr Harry Jenkins) In Australia.,,19,Questions Without Notice
2,Mr Bernard Francis Kilgariff Am Mr Rudd,I thank the honourable,19,Questions Without Notice
3,The Speaker,I thank the House. days about a fear campaign being run by,19,Questions Without Notice
4,Mr Abbott (Warringah,"Leader of the draw his attention, for example, to the com",19,Questions Without Notice
5,Mr Abbott (2.02 Pm),"My question is uty Governor of the Reserve Bank of Austraindustry which will go to detail, which will ister will resume his seat. Amongst the 20 or go to implementation and which will go to 30 occasions that the Manager of Opposition transition. We are embarked on that process Business has defied standing order 65(b), he and will continue it into the period ahead. has made remarks that are considered unparCouncil of Australian Governments liamentary and I would ask that on this occasion he withdraw. Ms SAFFIN (2.05 pm)-My question is COAG meeting? when it comes down to the nuts and bolts, is hospitals it seems that those opposite only tal beds, we are going to have 2,500 addihave one response, which is to guffaw. But, tional aged-care places, we are going to have bearing in mind that we face a Leader of the 6,000 additional doctors, we are going to Opposition who gouged $1 billion from the progressively introduce a four-hour waiting public hospital system, we do understand time target at A&E and we are going to bring what they have to guffaw about. in a target for elective surgery to be delivered on time for 95 per cent of patients. FurtherI ask the Leader of the Opposition to susmore, if a patient cannot receive their elecpend his cynicism for just one moment and tive surgery within the clinically recomreflect on the historical significance of the mended time, we have undertaken that they health and hospitals deal which was arrived would receive free treatment at a public or at among the states and territories in Canprivate hospital to get that surgery done. Beberra on 20 April. This was a historic reform. yond that, for those suffering from mental This is the largest change to the health and health complaints, an additional 20,000 hospital system since the introduction of young people will get access to mental health Medicare. We know where those opposite services. This is the bread and butter of what stand in their commitment to Medicare, bewe are putting forward to the Australian peocause in years past they tried in election after ple. election after election to get rid of Medicare. This government introduced it and this govAt the level of structural reform, this is of ernment sustained it, despite their successive fundamental importance. First of all, we attempts to get rid of it. have brought about a nationally funded system for the first time. The primary healthcare The questions which are often asked are: system of Australia will be funded exclu‘What is this reform about? Why are we dosively by the Australian government, the ing it?’ Point number one is that this system Australia government will be the dominant of ours is at a tipping point, partly because funder of the acute hospital system, and the our predecessors, when the Leader of the aged-care network will be funded excluOpposition was health minister, ripped $1 sively by the Australian government. Having billion out of the system. The system was a system funded nationally is one thing; havunderfunded and under stress. But I go to the ing it run locally is in fact equally critical. core elementUnder these reforms local hospital networks Mr Pyne interjectingwill take on the primary role for local decisions on the delivery of these improved",19,Questions Without Notice
6,Lined A Consultation Process With The Mining The Speaker,Order! The Prime Min,20,Questions Without Notice
7,To The Prime Minister. Will The Prime Minis,Mr Pyne-I withdraw.,20,Questions Without Notice
8,Ter Please Update The House On The Latest Mr Rudd,"The core of this reform,",20,Questions Without Notice
9,Mr Rudd,"When it comes to health and this: we are going to have 1,300 more hospihealthcare services for working Australians. tal, Rockhampton, Gosford and TamworthThis is an important national reformall across the country. Also, there are the furfunded nationally, run locally. For the first ther investments that we are making in the time the Australian government will be the expansion of services in hospitals in Darwin, dominant funder of the Australian hospital Hobart and Launceston. These are not just system. structural reforms; they are bread and butter On top of that, there will be new national reforms. They are bread and butter reforms standards. These standards will mean shorter to make a difference for working families on waiting times in our hospitals. We have out the ground right across Australia-for penlined with the states and the territories new sioners and carers who have not been able to arrangements for national access targets and get decent access to the system so far. This is elective surgery targets, and there will be a fundamental reform. The Leader of the additional investments to make these things Opposition stood up four or five years ago as happen on the ground. These are reforms health minister and said it was time for the which mean things to working families Commonwealth to bring about a fundamental across the country. Of course, when we bereform to the system. For five years he failed gan this debate in this parliament some years to act; in two years this government has ago, it was about ending the blame game acted. between the states and the Commonwealth. Budget Those opposite scoffed at the possibility of Ms JULIE BISHOP (2.12 pm)-My any such agreement ever being reached. This question is to the Prime Minister. I refer the government has delivered that agreement. It Prime Minister to his statement on Perth ragoes to the heart of cost shift, blame shift dio last Wednesday that a mining superprofit between the two levels of government. With is any return on investment over six per cent. the Australian government now being the Will the Prime Minister rule out a superprofit exclusive funder of the primary system, the tax on other sectors making a return on indominant funder of the acute system and the vestment greater than six per cent? exclusive funder of the aged-care system, the financial incentives which have existed for Opposition would be aware, the resources decades and decades to shift patients from regime in this country deals with nonone system to another are removed. That is renewable resources which are taxed sepawhy this is a historic reform. rately, and it has been done so for more than However, the rubber hits the road when 100 years, either through (a) the royalties we talk about what happens for the individregimes of states (b) the petroleum resource ual communities around Australia-for the rent tax or (c) proposed with this resource 764 local public hospitals of Australia-and rent tax for onshore resources as well. That is what it means, for example, for the people of why it is taxed separately, and I would have Blacktown, who already in their local hospithought the Leader of the Opposition and the tal have had 19 additional subacute beds deputy would have known that. added since the announcement of the govEconomy ernment’s decision the other day. There is the and emergency departments, the needs of question is to the Prime Minister. Will the Cairns Base Hospital and the new cancer Prime Minister update the House on develtreatment services at Townsville Base Hospiopments in the global economy and the need",20,Questions Without Notice
10,Mr Rudd,As the Deputy Leader of the,21,Questions Without Notice
11,Addition Of Further Investments For Accident Mr Craig Thomson (2.13 Pm),"Myfor reform to Australia’s economy to convert (1) the challenge to secure our recovery our current strength into long-term prosperthrough the full implementation of stimulus ity? (2) the challenge to keep our public finances member for his question. I would draw the the challenge to reform our economy for the House’s attention to developments in the future by continuing a program of productivinternational economy and specifically in ity based reform for the future. global financial markets over the last several When it comes to securing the recovery, I weeks, particularly as they have related to notice that those opposite call for an immeGreece and, most recently and more broadly, diate abolition of all stimulus. This is comacross Europe. These have been grave and pletely contrary to the advice of any and concerning developments for all those conevery international financial institution. cerned with the stability of our financial Their argument is that the global recovery is markets. Developments in Europe have been too insecure as of yet to pull the rug from of great concern to the International Moneunderneath it. Treasury’s advice is that the tary Fund, they have been of concern to the government stimulus package has protected World Bank and they have been of concern more than 200,000 jobs. Secondly, our chalto the whole raft of financial institutions, not lenge for the future is to keep our public fileast of which are the European Central Bank nances strong, and this, of course, is someand the European Union. The reason for that thing of which turmoil in Europe has reis always the risk of contagion from one fiminded us. The stimulus strategy that we nancial market to another in times of great have implemented peaked at the end of the financial instability. That is why we have second quarter last year. In the budget last been watching developments in Europe paryear we articulated tough fiscal rules to ticularly closely, including over the course of guide and return this budget to surplus. the last weekend. Those rules have been adhered to meticuThe statement by European finance minislously since that time, and will be into the ters under the chairmanship of the current future. This budget will not be a pre-election chair of the European community was a Liberal Party style spend-a-thon; this budget critical statement containing a package of will be a no-frills, fiscally responsible budget stabilisation measures which are of direct to demonstrate responsible economic leaderrelevance to credit markets and financial ship. markets in this country. It underlines the abAlso the challenge for the future is to consolute importance, therefore, of maintaining tinue the process of reform, and questions Australia’s position as one of the strongest have already come in this place about the economies in the advanced world. We have nature of taxation reform. I draw the attenthe strongest growth compared with all of the tion of those opposite to the fundamental major advanced economies. We have the need to ensure that we have for Australia an second-lowest unemployment, the lowest adequate pool of retirement savings for the debt and the lowest deficit and we are the long-term future. One of the great enduring only country to have avoided recession-and reforms of the previous Labor government all the time while maintaining this country’s was to introduce the superannuation guaranAAA credit rating. To build on this strength tee. It rose, against the opposition of those for the future, what we need to do is also opposite, from three per cent to six per cent deal with three core challenges for the future: to nine per cent, and for 12 years they did",21,Questions Without Notice
