speakerGroups,speaker,theText,pageNumbers,title
0,"#}Ouse Of Isfpresmtattues Wednesday, 17 May, 1916. And Read Prayers. The Anti","Vaccination Council of Victoria praying the House to take into consideracarry coal, we shall not get any boats to tion the urgent necessity for abolishing carry our wheat. the practice of vaccinating and innoculating soldiers. Petition received and read. a petition was presented, I pointed out Defence lay on the table of the Library' that it wonld he as well for honourable all papers relating to' the case of Staff members to allow me first to peruse petitions they desired to present. I have no wish to prevent any petition being read, because members should know what is in the minds of certain people, but this petition is on the borderline as to whether it is in order or not. presented a petition promoted by the Australian Natives Association and tbe Compulsory Service League, and signed by 70,721 electors of Victoria, praying tbe House to provide for compulsory military service during the war. Petition received and read. of Trade and Customs whether it is a fact, as reported in the press, that three or four ships are about to leave Australia in ballast, because the owners have been unable to obtain from his Department permits to load coal t If it is a fact, will the Minister give further consideration to the matter in order to preserve the coal industry ? portunity of verifying the accuracy of the statement in tha press. Our difficulty lies iu the fact that if we compel Britisb or allied vessels to carry wheat, and allow neutral vessels to carry coal, which is a much more profitable cargo, we are penalizing our own people. If we allow shipowners to carry coal it will be good-bye to our export of wheat. vessel to carry wheat. tral vessel to take any cargo except what its owners choose to carry. The owners of neutral vessels probably find greater profit in leaving Australia in ballast, and port, or timber at Puget Sound, than in carrying wheat from Australia.",4,Setup
1,"Mr Speaker Took The Chair At 3 P.m., Picking Up Nitrates At A South American",,4,Liverpool Camp Riot
2,Mr West Presented A Petition From Ter Preventing Them From Carrying Coal?,,4,Liverpool Camp Riot
3,Mr Speaker,"The other day, when the Minister representing the Minister of",4,Liverpool Camp Riot
4,"Mr Watt, On Behalf Of Mr Wise,",,4,Liverpool Camp Riot
5,Mr Charlton,I ask tha Minister,4,Liverpool Camp Riot
6,Mr Ttjdor,I have not had the op,4,Liverpool Camp Riot
7,Mr Chahlton,We cannot force any,4,Liverpool Camp Riot
8,Mr Ttjdor,We cannot force a neu,4,Liverpool Camp Riot
9,Mr Bubchell,But is not the Minis,4,Liverpool Camp Riot
10,Mr Tudor,If we allow them to,4,Liverpool Camp Riot
11,Mr W. Elliot Johnson,"Wil lSergeant-Major Tanner, who is undergoing sentence as a result of a oourt martial in connection with the Liverpool Camp riot? complying with the request. of Trade and Customs say whether any circumstances have arisen since last week Acting Leader of the House say whether in connection with the butter trade which the Government have taken into con/will allow him to l if t the embargo on the sideration the suggestion made by oue of export of butter? circumstances altered. I may add (hat people? If the Governmenb have not on the day that the Queensland merdone so, is it not possible for them to chants applied to be allowed to send butter away tlie price was raised l d . per Ih. in that State. sonal explanation. In the Age of Saturput to the expense of a referendum at day appeared the following report, all, we might as well submit the other headed"" A SEPARATE PEACE."" "" A HDJJSB SUGGESTION."" In the Senate yesterday Senator Long (T.) asked the Anting Prime Minister whether he had noted that when a question was asked in the Government to exempt pastoralists tbe Houao of Bepresentatives on Wednesday as well as agriculturists from the tax on as to whether Germany had ever approached excess war profits which the Government Australia for a separate peace, Mr Fowler had asked, ""Did Australia consult Germany?"" have foreshadowed ? ,: Is it competent for the Government,"" said Senator Long, "" to take action against an individual making such a hellish suggestion t "" (Hear, hear.) The ACTING Paras MINISTER -The effect of the statement on the public is to be gauged by of the House state whether any informathe source from whiot it emanated. hear, and laughter.) 1 do not think that such tion or memorial has reached him from a statement is likely to cause perturbation in the employees of the Small Arms Factory the public mind. Senator NEKUHAM (WA.) -Troat it with the house accommodation there ? The prosupreme contempt it deserves. ' (Hear, hear.) It is almost unnecessary for me to retions under which the workmen live in mind the House that my interjection, totolerable. gether with the question I asked earlier, had reference to a cable message which munication from the source referred to. made it appear that the statement regardI f the question is placed on the paper, ing peace with Germany had emanated I will bring it under the notice of the first from the Prime Minister of AusActing Prime Minister. tralia, and secondly from Mr Ryan, Premier of Queensland. obvious, therefore, that the observations made in the Senate cannot apply to me, of Home Affairs, upon noticebut they do apply, apparently, to the leader of those senators, and to another with Labour leader in Queensland. It is just completed; if not, what is the area actually repossible that the intellectual Btrain ahle member is now going beyond a personal explanation. I have no objection to matter to the House. Honourable members will be able ' to form their own opinions as to the remarks applied to me. W ill the Minister REFERENDUM ON CONSCRIPTION. their supporters that the question of conconsider this matter before the return of the Prime Minister? with regard to the referendum was made, I remarked that we might submit to the people the other referenda questions at I rise to make a perthe same time. If the country is to be outstanding questions. WAR PROFITS TAXATION . : (Hear, at Lithgow in regard to the inadequate blem is said to he acute, and the condiI t is quite HENDERSONNAVAL BASE. Whether the land resumptions in connection tbe Henderson Naval Base have yet been sumed and the amount paid in settlement of",4,Liverpool Camp Riot
12,Mr Jensen,,5,Lithgowsmall Arms Factory
13,Mr Finlayson,,5,Lithgowsmall Arms Factory
14,Mr Tudor,In no respect have the scription should be referred to the,5,Lithgowsmall Arms Factory
15,Mr Fowler,,5,Lithgowsmall Arms Factory
16,Mr Speaker,Orde r I The honor,5,Lithgowsmall Arms Factory
17,Mr Fowler,I will leave the,5,Lithgowsmall Arms Factory
18,Mr Bruce Smith,W ill the,5,Lithgowsmall Arms Factory
19,Mr Tudor,When the suggestion,5,Lithgowsmall Arms Factory
20,Mr Pigott,I s it the intention of,5,Lithgowsmall Arms Factory
21,Mr Higgs,No.,5,Lithgowsmall Arms Factory
22,Mr Finlayson,W ill the Leader,5,Lithgowsmall Arms Factory
23,Mr Tudor,I have had no com,5,Lithgowsmall Arms Factory
