text,pageNumbers
(FIRST SESSION: THIRD PERIOD),7
Acts Interpretation Amendment Act 1984 (Act No. 27 of 1984)MONICA,7
An Act to amend the Acts Interpretation Act 1901.,7
Aboriginal and Torres Strait Islander Heritage (Interim Protection) Act 1984 (Act No. 79 of 1984)MONICA,7
"An Act to preserve and protect places, areas and objects of particular significance to Aboriginals, and for reMONICA",7
lated purposes.,7
Advance Australia Logo Protection Act 1984 (Act No. 20 of 1984)MONICA,7
"An Act to make provision for the protection of the Advance Australia logo, and for related purposes.",7
Air Navigation Amendment Act 1984 (Act No. 69 of 1984)MONICA,7
An Act to amend the Air Navigation Act 1920.,7
Apple and Pear Levy Amendment Act 1984 (Act No. 28 of 1984)MONICA,7
An Act to amend the Apple and Pear Levy Act 1976.,7
Appropriation Act (No.3) 1983-84 (Act No. 32 of 1984)MONICA,7
"An Act to appropriate a sum out of the Consolidated Revenue Fund, additional to the sums appropriated by the",7
"Appropriation Act (No.1) 1983-84, for the service of the year ending on 30 June 1984.",7
Appropriation Act (No.4) 1983-84 (Act No. 33 of 1984)MONICA,7
"An Act to appropriate a sum out of the Consolidated Revenue Fund, additional to the sum appropriated by the",7
"Appropriation Act (No.2) 1983-84, For certain expenditure in respect of the year ending on 30 June 1984.",7
Appropriation (Parliamentary Departments) Act (No.2) 1983-84 (No. 34 of 1984)MONICA,7
"An Act to appropriate certain sums out of the Consolidated Revenue Fund, additional to the sums appropriated",7
"by the Appropriation (Parliamentary Departments) Act 1983-84, For certain expenditure, in relation to the",7
"Parliamentary Departments, in respect of the year ending on 30 June 1984.",7
"Audit Amendment Act 1984 {Act No. 400f 1984)--""MONICA",7
An Act to amend the Audit Act 1901.,7
Australian Bicentennial Road Development Trust Fund Amendment Act 1984 (Act No. 35 of 1984)MONICA,7
An Act to amend the Australian Bicentennial Road Development Trust Fund Act 1982.,7
Australian Government Solicitor (Consequential Amendments) Act 1984 (Act No. to of 1984)MONICA,7
An Act to amend certain Acts in consequence of the establishment of the Australian Government Solicitor.,7
Australian Meat and Live-stock Corporation Amendment Act 1984 (Act No. 57 of 1984)MONICA,7
An Act to amend the Australian Meat and Live-stock Corporation Act 1977.,7
Australian Meat and Live-stock Industry Policy Council Act 1984 (Act No. 58 of 1984)MONICA,7
An Act to establish an Australian Meat and Live-stock Industry Policy Council.,7
Australian Meat and Live-stock Industry Selection Committee Act 1984 (Act No. 59 of 1984)MONICA,7
An Act to establish a committee to nominate persons for appointment as members of the Australian Meat and,7
Live-stock Corporation.,7
Australian National Airlines Amendment Act 1984 (Act No. 68 of 1984)MONICA,7
"An Act to amend the Australian National Airlines Act 1945, and for related purposes.",7
Australian National Airlines Commission Retention Act 1984 (Act No. 67 of 1984)MONICA,7
An Act to repeal the Australian National Airlines Repeal Act 1981.,7
Automatic Data Processin- Equipment Bounty Amendment Act 1984 (Act No.8 of 1984)MONICA,7
"An Act to amend secl10n 4 of the Automatic Da,a ProceSSing Equipment Bounty Act 1977.",7
Bass Strait Freight Adjustment Levy Act 1984 (Act No. 25 of 1984)MONICA,7
An Act to impose a levy upon certain crude oil.,7
