speakerGroups,speaker,theText,pageNumbers,title
0,(First Session,"THIRD PERIOD.) Air Force Act 1965 (Act No. 50 of 1965)An Act relating to the Air Force of the Commonwealth. Aliens Act 1965 (Act No. 12 of 1965)An Act to amend the Aliens Act 1947-1959. Appropriation Act (No. 3) 1964-65 (Act No. 15' of 1965)An Act to appropriate an additional sum out of the Consolidated Revenue Fund for expenditure in respect of the year ending on the thirtieth day of June, One thousand nine hundred and sixty-five being expenditure for the ordinary annual services of the Government. Appropriation (Special Expenditure) Act (No. 2) 1964-65 (Act No. 16 of 1965)An Act to appropriate an additional sum out of the Consolidated Revenue Fund for expenditure in respect of the year ending on the thirtieth day of June, One thousand nine hundred and sixty-five not being expenditure for the ordinary annual services of the Government. Broadcasting and Television Act 1965 (Act No. 38 of 1965)An Act to amend the Broadcasting and Television Act 1942-1964. Butter Fat Levy Act 1965 .(Act No. 42 of 1965)An Act to impose a Levy upon certain Butter Fat. Cellulose Acetate Flake Bounty Act 1965 (Act No. 26 of 1965)An Act to amend the Cellulose Acetate Flake Bounty Act 19564964. Coal Industry Act 1965 (Act No. 11 of 1965)An Act relating to the Banking of Moneys of the Joint Coal Board and the power of that Board to borrow Money on Overdraft. Commonwealth Electoral Act 1965 (Act No. 48 of 1965)An Act to amend the Commonwealth Electoral Act 1918-1962. Conciliation and Arbitration Act 1965 (Act No. 22 of 1965)An Act to amend the Conciliation and Arbitration Act 1904-1964. Customs Act 1965 (Act No. 29 of 1965)An Act to amend the Customs Act 1901-1963. Customs Tariff 1965 (Act No. 28 of 1965)An Act relating to Duties of Customs. Customs Tariff (No. 1) 1965 (Act No. 7 of 1965)An Act relating to Duties of Customs. Customs Tariff (Canada Preference) 1965 (Act No. 8 of 1965)An Act to amend the Customs Tariff (Canada Preference) 1960-1964. Customs Tariff (New Zealand Preference) 1965 (Act No. 9 of 1965)An Act to amend the Customs Tariff (New Zealand Preference) 1933-1964. Customs Tariff Validation Act 1965 i(Act No. 31 of 1965)An Act to provide for the Validation of Collections of Duties of Customs under Customs Tarifl Proposals. Dairy Produce Export Charge Repeal Act 1965 (Act No. 45 of 1965)An Act to repeal the Dairy Produce Export Charge Act 1962. Dairy Produce Export Control Act 1965 (Act No. 43 of 1965)An Act to amend the Dairy Produce Export Control Act 1924-1963. Dairy Produce Levy Repeal Act 1965 (Act No. 46 of 1965)An Act to repeal the Dairy Produce Levy Act 1958-1964 and for purposes connected therewith. Dairy Produce Research and Sales Promotion Act 1965 (Act No. 44 of 1965)An Act to amend the Dairy Produce Research and Sales Promotion Act 1958-1964. Defence Act 1965 (Act No. 51 of 1965)An Act relating to the Defence Force. Defence Forces Retirement Benefits Act 1965 (Act No. 25 of 1965)An Act relating to Retirement Benefits for Members of the Defence Forces of the Commonwealth. Defence (Re-establishment) Act 1965 (Act No. 54 of 1965)An Act to m-ovide for the Re-establishment in Civil Life of certain members of the Forces, for facilitating their Employment, and for other purposes. Estate Duty Assessment Act 1965 (Act No. 32 of 1965)An Act to amend section 8 of the Estate Duty Assessment Act 1914-1963. Gold-Mining Industry Assistance Act 1965 (Act No. 34 of 1965)An Act to amend t^e Gold-Mining Industry Assistance Act 1954-1962. Homes Savings Grant Act 1965 (Act No. 6 of 1965)An Act to amend the Homes Savings Grant Act 1964. Housing Loans Insurance Act 1965 (Act No. 10 of 1965)An Act to m«Ve provision with respect to Insurance against Losses arising out of the making of Loan? for the purpose offinancingHousing. Income Tax and S""cial Services Contribution Assessment Act 1965 (Act No. 33 of 1965) An Act relating to Income Tax. Indus Basin Development Fund Supplemental Agreement Act 1965 '(Act No. 2 of 1965)An Act relating to the Indus Basin Development Fund Supplemental Agreement International Monetary Agreements Act 1965 (Act No. 24 of 1965)An Act relating to a proposed adjustment of the Quotas of members of the International Monetary Fund. International Wheat Agreement (Extension) Act 1965 (Act No. 14 of 1965)An Act to approve the Signature and Acceptance by Australia of the Protocol for the Extension by One Year of the Period of Operation of the International Wheat Agreement, 1962. Jury Exemption Act 1965 (Act No. 13 of 1965)An Act to Exempt certain persons from Liability to serve as Jurors. National Service Act 1965 (Act No. 52 of 1965)An Act to amend the National Service Act 1951-1964. Naval Defence Act 1965 (Act No. 53 of 1965)An Act relating to Naval Defence. Navigation Act 1965 .(Act No. 1 of 1965)An Act relating to Navigation and Shipping. Parliamentary Presiding Officers Act 1965 (Act No. 5 of 1965)An Act relating to the Exercise in certain circumstances of Statutory Powers and Functions of Parliamentary Presiding Officers. Parliamentary Retiring Allowances Act 1965 (Act No. 35 of 1965)An Act relating to Parliamentary Retiring Allowances. Pollution of the Sea by Oil Act 1965 (Act No. 4 of 1965): An Act to amend the Pollution of the Sea by Oil Act I960. Poultry Industry Assistance Act 1965 (Act No. 21 of 1965)An Act to make provision for the grant of Financial Assistance to the States for the assistance of the Poultry Industry, and for other purposes. Poultry Industry Levy Act 1965 (Act No. 19 of 1965)An Act to levy Moneys in respect of Hens kept for Commercial purposes. Poultry Industry Levy Collection Act 1965 (Act No. 20 of 1965)An Act relating to the Collection of Levy under the Poultry Industry Levy Act 1965. Processed Milk Products Bounty Act 1965 (Act No. 47 of 1965)< An Act to amend the Processed Milk Products Bounty Act 1962-1964. Pyrites Bounty Act 1965 (Act No. 37 of 1965)An Act to amend the Pyrites Bounty Act 'I960. Raw Cotton Bounty Act 1965 (Act No. 3 of 1965)An Act relating to the Bounty on the Production of certain Raw Cotton sold for use in Australia. Referendum (Constitution Alteration) Act 1965 (Act No. 49 of 1965)An Act to amend section 4 of the Referendum {Constitution Alteration) Act 1906-1936. Sales Tax (Exemptions and Classifications) Act 1965 .(Act No. 30 of 1965)An Act to amend the Sales Tax (Exemptions and Classifications) Act 1935-1963. States Grants (Petroleum Products) Act 1965 (Act No. 27 of 1965)An Act to grant Financial Assistance to the States in connection with the Prices of certain Petroleum Products. States Grants (Science Laboratories) Act 1965 (Act No. 39 of 1965)An Act to grant Financial Assistance to the States for Science Laboratories and Equipment in Schools. States Grants .(Technical Training) Act 1965 (Act No. 41 of 1965)An Act to grant Financial Assistance to the States for Buildings and Equipment for use in Technical Training in State Schools. Sulphuric Acid Bounty Act 1965 (Act No. 36 of 1965)An Act to amend the Sulphuric Acid Bounty Act 11954-1960. Supply Act (No. 1) 1965-66 (Act No. 17 of 1965)An Act to make interim provision for the appropriation of moneys out of the Consolidated Revenue Fund for the service of the year ending on the thirtieth day of June, One thousand nine hundred and sixty-six. Supply Act .(No. 2) 1965-66 (Act No. 18 of 1965)An Act to make interim provision for the appropriation of moneys out of the Consolidated Revenue Fund for certain expenditure in respect of the year ending on the thirtieth day of June, One thousand nine hundred and sixty-six. Universities (Financial Assistance) Act 1965 (Act No. 40 of 1965)An Act to amend the Universities (Financial Assistance) Act 1963-1964. Western Australia (South-west Region Water Supplies) Agreement Act 1965 (Act No. 23 of 1965)An Act relating to an Agreement between the Commonwealth and the State of Western Australia in relation to Water Supplies in the South-west Region of that State. F.7939/65 2 Australian ANZAC Medal Bill 1965Initiated in the House of Representatives. Second reading. Bankruptcy Bill 1965Initiated in the House of Representatives. Second reading. Constitution Alteration (Aborigines) Bill 1964Initiated in the House of Representatives. Second reading. Designs Bill 1964Initiated in the House of Representatives. First reading. Trade Practices Bill 1964Initiated in the House of Representatives. Second reading. Distinguished Visitor ............................................................................................................................................851 Ministerial Arrangements......................................................................................................................................851 Question Question NEW OPTICAL TELESCOPE ......................................................................................................................851 Question SHIP REPAIR FACILITIES IN WESTERN AUSTRALIA ..........................................................................852 Question Question Question Question AIR FORCE JET TRAINERS .......................................................................................................................853 Question Question Question Question Question Question Question Question Question Question Question Question Question Question Question Question LAKE BURLEY GRIFFIN............................................................................................................................858 Question Question Defence Forces Retirement Benefits Fund Ministerial Statement .....................................................................................................................................859 Assent To Bills......................................................................................................................................................860 Customs Tariff Bill (No. 1) 1965. Customs Tariff (Canada Preference) Bill 1965 Third Readings...............................................................................................................................................887 Canberra Development Ministerial Statement .....................................................................................................................................887 Drawing From The International Monetary Fund By India Ministerial Statement .....................................................................................................................................899 Ministerial Statement .....................................................................................................................................908 Television ....................................................................................................................................................908 Answers To Questions Upon Notice Repatriation of Profits. (Question No. 836.)...................................................................................................915 Telephone Equipment for Spain. (Question No. 840).....................................................................................915 Civil Aviation. (Question No. 868) ................................................................................................................915 Papua and New Guinea. (Question No. 885)..................................................................................................915 Statutory Reserve Deposits. (Question No. 901) ............................................................................................916 Parliamentary Retiring Allowances Fund. (Question No. 919.) .....................................................................916 Bloodhound Missile. (Question No. 933.)......................................................................................................916 Hearing Aids. (Question No. 937.).................................................................................................................916 Water Supply for Alice Springs. (Question No. 942.) ....................................................................................917 Royal Australian Air Force Radar Stations. (Question No. 945.) ...................................................................917 Civil Aviation. (Question No. 947.) ...............................................................................................................917 Aerodromes. (Question No. 976.) ..................................................................................................................918 Pharmaceutical Benefits. (Question No. 978.)................................................................................................919 Civil Aviation. (Question No. 986.) ...............................................................................................................919 Public Service. (Question No. 707.) ...............................................................................................................920 Civil Liberties. (Question No. 817.) ...............................................................................................................921 Teaching Costs of Medical Hospitals. (Question No. 856.)............................................................................921 Electoral. (Question No. 929.)........................................................................................................................922 Electoral. (Question No. 964.)........................................................................................................................922 Electoral. (Question No. 966.)........................................................................................................................922 Tuesday, 27tfa April 1965. took the chair at 2.30 p.m., and read prayers. House that the Right Honourable Arthur Bottomley, OBE., M.P., Secretary of State for Commonwealth Relations in the Government of the United Kingdom, is within the precincts. With the concurrence of honourable members, I propose to provide him with a seat on the floor of the House. Honourable Members -Hear, hear! ( Mr Bottomley thereupon entered the western Queensland designed to drain the chamber, and was seated accordingly.) Prime Minister) -On 1st AprilI informed whether or not he has considered this prothe House that I had asked the Treasurer posal and, if he has considered it, whether ( Mr Harold Holt) to pay a brief visit to he is sympathetic to it? In any case, will Washington to have talks with the United the Minister undertake to seek opinions States Administration on the action being from Queensland authorities and organisa.taken by that Government to improve the tions concerned, particularly those organisabalance of payments position of the United tions in the central and northern portions States of America. I now advise honourable of the State, before arriving at any decision? members of the ministerial arrangements during his absence and also of arrangements during the absences of the Ministers for this matter have been made to me by a National Development, Immigration and Government senator, I think in connection External Affairs, each of whom is underwith possible effects on one of the northern taking an overseas mission or will do so in Queensland ports, but I have had to reply the near future. The Treasurer left for Washington on Commonwealth Government has assisted 23rd April and will be away until 4th May. the States to build developmental roads, but Until his return, I shall act as Treasurer. The Minister for National Development a concern of the Commonwealth Govern( Mr Fairbairn) is at present in New ment. In any event it would be more propZealand where, at the invitation of the New erly within the province of the Minister for Zealand Government, he has been particiNational Development than in my province. pating in ceremonies to commemorate the fiftieth anniversary of the Gallipoli landing. He will return on Thursday next. In the Fairhall, is acting as Minister for National Minister noticed reports of remarks made Development. The Minister for Immigraa few weeks ago by Sir John Cockcroft, tion, Mr Opperman, also left Australia on the Chancellor of the Australian National 23rd April. He will be engaging in extensive University, as to the desirability of providdiscussions on immigration matters, mainly ing a large optical telescope in Australia for in Europe. He will return early in July. The the observation of the southern hemisphere F.3537/65 -R -{34 ] Minister for Housing( Mr Bury) will take charge of the Immigradon portfolio while the Minister for Immigration is away. The tenth meeting of the Ministerial Council of the South-East Asia Treaty Organisation will be held in London from 3rd to 5th May. The Australian delegation to the meeting will be led by the Minister for External Affairs( Mr Hasluck) who will leave for overseas on 28th April. Until his return, I will act as Minister for External Affairs. Minister for Shipping and Transport been drawn to Press reports over a considerable period advocating the construction of a road running north and south through trade of the western portion of that State into New South Wales, thereby doing considerable damage to the economy of Queensland? Can the Minister inform the House that this does not really concern the Commonwealth Government at this stage. The until a State proposes the project mentioned by the honourable member, it can hardly be NEW OPTICAL TELESCOPE.",7,Setup
1,Mr Speaker (Hon. Sir John Mcleay),,12,Roads
2,Mr Speaker,I have to inform the,12,Roads
3,,Sir ROBERT MENZIES (Kooyong,12,Roads
4,"Meantime, The Minister For Supply, Mr Mr Wentworth",Has the Prime,12,Roads
5,Mr Gray,Has the attention of the,12,Roads
6,Mr Freeth,"Some representations onskies and to supplement the radio astronomy work now being carried out so ably in this country? Is it possible that the Governments of the United Kingdom and the United States of America will be helping in the provision and construction of this facility? In the meantime will the Australian promised a 58 per cent. Australian content Government give every encouragement and help in the programme of site testing which is being carried out under the auspices of the Australian National University to discover the most advantageous location for this telescope? able member for Mackellar, with his constant interest in this matter, will know, the Australian Academy of Science and the Royal Society in London have had expert committees investigating this matter so that they may present the results of their inquiries to the Governments of the respective countries. The Australian National University, supported by us, has been carrying out a site testing survey which costs some thousands of pounds a year. The Carnegie Institute is. 1 gather, testing a site in South Australia. When the expert committees have arrived at their conclusions we expect that these will, as far then enable the company referred to by the as they relate to us, be conveyed to the Australian Government. We will give them the most prompt consideration. SHIP REPAIR FACILITIES IN say what action, if any, is proposed regarding of Commonwealth and State Ministers ing the provision of docking and ship repair for the purpose of defining respective facilities on the Western Australian coast? responsibilities essential to the promotion I understand that certain discussions involvof ing the right honourable gentleman have industrial growth in country districts. taken place recently concerning this matter. If the right honourable gentleman agrees but I can throw no light on this matter. Commonwealth Government to supplement I will find out whether discussions bave the valuble aid given by the New South been going on. They may have been going Wales Government? Finally, will be give on at the official level and I may not yet special consideration to reducing telephone have been informed of them. However. I charges, granting taxation concessions and will find out and advise the bonorable establishing uniform charges for basic member promptly. directed to the Postmaster-General. What action is being taken to ensure that Austarama Television Pty. Ltd., the holder of the licence for Channel0 in Melbourne, carries out the guarantee of performance given in its application for the licence, on the basis of which it won this extremely valuable concession from several other applicants? Is it a fact that this company in its programmes and that it is now barely achieving a figure of 15 per cent., and so is not living up to its obligations? accuracy of the proportion of Australian content referred to by the honourable member. I do know that this company had had no experience of operating a television station when it made its application and that because the station concerned is a single unit operating without a network in association with it, the company has not been able to carry out the promises that it made when it submitted its application. The matter is constantly under the inquiry and supervision of the Australian Broadcasting Control Board, and I hope that when other new stations in Sydney, Adelaide, Perth and Brisbane come into operation-the Sydney station has already commenced operating-the new network facility will honourable member to carry out the obligations required of it by the Australian Broadcasting Control Board. balanced development including to call such a meeting, will he make materials required by industry? my friend's motive in raising this matter because I understand that a little controversy will come to its peak in New South Wales on Saturday. The honourable member",12,Roads
7,Sir Robert Menzies,As the honor,13,Rural Development
8,Mr Webb,Will the Prime Minister Minister whether he will convene a meet,13,Rural Development
9,Sir Robert Menzies,"I am sorry, specific commitments on behalf of the",13,Rural Development
