speakerGroups,speaker,theText,pageNumbers,title
0,Air Navigation Act 1961 (Act No. 72 Of 1961),"An Act to amend the Air Navigation Act 1920-1960. Airlines Agreements Act 1961 (Act No. 70 of 1961VAn Act to amend the Civil Aviation Agreement Act 1952-1957. Appropriation Act 1961-62 (Act No. 58 of 1961) An Act to grant and apply out of the Consolidated Revenue Fund a sum for the service of the vear ending on the thirtieth day of June, One thousand nine hundred and sixty-two, and to appropriate the Supplies granted by the Parliament for that year. Appropriation (Works and Services) Act 1961-62 (Act No 59 of 1961VAn Act to grant and apply out of the Consolidated Revenue Fund a sum for the service of the vear endmg on the thirtieth day of June, One thousand nine hundred and s i x t y t w o S he purposes of Add.t tons, New Works and other Services involving Capital Expenditure and to a n m ^ r i a S the Supplies granted by the Parliament for that year. Audit Act 1961 (Act No. 89 of 1961)An Act to amend the Audit Act 1901-1960. Australian National Airlines Act 1961 (Act No. 71 of 1961)An Act to amend the Australian National Airlines Act 1945-1959. Beaches, Fishing Grounds and Sea Routes Protection Act 1961 (Act No 62 of 1961)An Act to amend the Beaches, Fishing Grounds and Sea Routes Protection Act 1932. Cattle and Beef Research Act 1961 (Act No. 50 of 1961VAn Act to amend the Cattle and Beef Research Acts 1960, and for other purposes. Cattle Slaughter Levy Collection Act 1961 (Act No. 48 of 1961)An Act to amend the Cattle Slaughter Levy Collection Act 1960. Cattle Slaughter Levy (Suspension) Act 1961 (Act No. 49 of 1961)An Act to Revoke the Imposition of Cattle Slaughter Levy in respect of a certain Period and for purposes connected therewith. Cellulose Acetate Flake Bounty Act (No. 2) 1961 (Act No 57 of I961VA "" Coal Loading Works Agreement (New South Wales) Act 1961 (Act No. 93 of 1961VAn Act relating to an Agreement between the Commonwealth and the State of New South Wale* with respect to certain Coal Loading Works. Commonwealth Banks Act 1961 (Act No. 75 of 1961)A "" Customs Tariff (No. 2) 1961 (Act No. 51 of 1961VAn Act relating to Duties of Customs. Customs Tariff (Canada Preference) (No. 2) 1961 (Act No. 52 of 1961)^ Customs Tariff (Federation of Rhodesia and Nyasaland Preference) 1961 (Act No 53 of 1961VAn Act to amend the Customs Tariffs (Federation of Rhodesia and Nyasaland Preference]I 1960. Customs Tariff (New Zealand Preference) (No. 2) 1961 (Act No. 54 of 1961VAn w&Enzs swzx**™ * °Customs Tariff (New Zealand Preference) (No. 3) 1961 (Act No. 56 of 1961VA n A r -2l 1 l amen( th C ff/We* Customs Tariff Validation Act 1961 (Act No. 97 of 1961)A ° Proposals™' 16 ^ Defence Forces Retirement Benefits (Pension Increases) Act 1961 (Act No 87 of 1961)An Act to provide for Increases in certain Defence Forces Retirement Pensions. Excise Tariff (No. 2) 1961 (Act No. 55 of 1961)An Act relating to Duties of Excise. Explosives Act 1961 (Act No. 65 of 1961)An Act relating to Explosives. (THIRD SESSION: SECOND PERIOD.) appropriate appropriate "" ' "" "" a renoa, ana tor Bo\ntft \^ S ta,e F l a kB B ° UntyM t 1956 1959 ' M 3 m e n d e d b * t h e <«W«, W a t e s FTviMuUonpound^ PUal° f C o m m o n w e a l t h Development Bank of Australia by the sum of tanarp7e%re^ce)^ W < ° * « -<* * the Customs Tariff i933 ,96 asamended *°* c fn°""? T a "" f f ^ Zealand Preference) 1933-1960, as amended by the Customs Zealand Preference) (No. 1) 1961 and by the Customs7 ^ ^ e ^ ^ % S ^ } V a l i d a t i o n of C o i ] e c « ° ™ o l Duties of Customs under Customs Tariff Foot and Mouth Disease Act 1961 (Act No. 44 of 1961)An Act to establish a Foot and Mouth Disease Eradication Trust Account in respect of the Australian Capital Territory and the Northern Territory of Australia, and for purposes connected therewith. Gold-Mining Industry Assistance Act 1961 (Act No. 66 of 1961)An Act to amend the Gold-Mining Industry Assistance Act 1954-1959. Income Tax and Social Services Contribution Assessment Act (No. 3) 1961 (Act No. 94 of 1961)An Act relating to Income Tax. Income Tax and Social Services Contribution Act 1961 (Act No. 95 of 1961)An Act to impose upon Incomes a Tax by the name of Income Tax and Social Services Contribution. International Finance Corporation Act 1961 (Act No. 69 of 1961)An Act to amend the International Finance Corporation Act 1955. Lighthouses Act 1961 (Act No. 63 of 1961)An Act to amend the Lighthouses Act 1911-1957. Loan (Housing) Act 1961 (Act No. 60 of 1961)An Act to authorize the Raising and Expending of Moneys for the purposes of Housing. Navigation Act 1961 (Act No. 96 of 1961)An Act to amend the Navigation Act 1912-1958, and for other purposes. Northern Territory (Administration) Act 1961 (Act No. 68 of 1961)An Act to amend the Northern Territory (Administration) Act 1910-1959. Petroleum Search Subsidy Act 1961 (Act No. 74 of 1961)An Act to amend the Petroleum Search Subsidy Act 1959. Post and Telegraph Act 1961 (Act No. 64 of 1961)An Act to repeal section sixteen of the Post and Telegraph Act 1901-1960. Quarantine Act 1961 (Act No. 61 of 1961)An Act to amend the Quarantine Act 1908-1950. Queensland Grant (Beef Cattle Roads) Act 1961 (Act No. 90 of 1961)An Act to grant Financial Assistance to the State of Queensland for Works in connection with certain Roads to be used for the transport of Beef Cattle. Railway Agreement (Queensland) Act 1961 (Act No. 92 of 1961)An Act relating to an Agreement between the Commonwealth and the State of Queensland with respect to the Collinsville-Townsville-Mount Isa Railway. Railway Agreement (Western Australia) Act 1961 (Act No. 67 of 1961)An Act relating to an Agreement between the Commonwealth and the State of Western Austraha in relation to certain Railways in that State. Railway Equipment Agreement (South Australia) Act 1961 (Act No. 98 of 1961)An Act relating to an Agreement between the Commonwealth and the State of South Austraha with respect to certain Railway Equipment. Repatriation Act 1961 (Act No. 46 of 1961)An Act to amend the Repatriation Act 1920-1960, and for other purposes. Sales Tax Act (No. 1A) 1961 (Act No. 77 of 1961)An Act relating to Sales Tax. Sales Tax Act (No. 2A) 1961 (Act No. 78 of 1961)An Act relating to Sales Tax. Sales Tax Act (No. 3A) 1961 (Act No. 79 of 1961)An Act relating to Sales Tax. Sales Tax Act (No. 4A) 1961 (Act No. 80 of 1961)An Act relating to Sales Tax. Sales Tax Act (No. 5A) 1961 (Act No. 81 of 1961)An Act relating to Sales Tax. Sales Tax Act (No. 6A) 1961 (Act No. 82 of 1961)An Act relating to Sales Tax. Sales Tax Act (No. 7A) 1961 (Act No. 83 of 1961VAn Act relating to Sales Tax. Sales Tax Act (No. 8A) 1961 (Act No. 84 of 1961VAn Act relating to Sales Tax. Sales Tax Act (No. 9A) 1961 (Act No. 85 of 1961VAn Act relating to Sales Tax. Sales Tax (Exemptions and Classifications) Act (No. 2) 1961 (Act No. 76 of 1961V. An Act to provide for Exemption from Sales Tax of certain Goods for use m connection with Transport. Seamen's War Pensions and Allowances Act 1961 (Act No. 47 of 1961)An Act to amend the Seamen's War Pensions and Allowances Act 1940-1960, and for other purposes Social Services Act 1961 (Act No. 43 of 1961)An Act to amend the Social Services Act 1947-1960. States Grants (Special Assistance) Act 1961 (Act No. 88 of 1961)An Act to grant Financial Assistance to the States of Western Australia and Tasmania. Superannuation (Pension Increases) Act 1961 (Act No. 86 of 1961)An Act to provide for Increases in certain Superannuation Pensions. War Service Homes Act 1961 (Act No. 73 of 1961)An Act to amend the War Service Homes Act 1918-1956. Western Australia Grant (Beef Cattle Roads) Act 1961 (Act No. 91 of 1961)An Act to grant Financial Assistance to the State of Western Australia for Works in connection with certain Roads to be used for the transport of Beef Cattle. Wool Tax Assessment Act 1961 (Act No. 43 of 1961)An Act to amend the Wool Tax Assessment Act 1936-1957. Wool Tax Act (No. 1) 1961 (Act No. 41 of 1961)An Act to amend the Wool Tax Act (No. 1) 1957-1960. Wool Tax Act (No. 2) 1961 (Act No. 42 of 1961)An Act to amend the Wool Tax Act (No. 2) 1957-1960. Jury Exemption BiU 1961. Initiated in the House of Representatives. Read afirsttime. F.655/6Z2 Question Question RICE ............................................................................................................................................................1087 Question Question Question Question Question Question Question Question Question WOOL .........................................................................................................................................................1090 Question Question Question Question Question Question Question Question Question MEAT ..........................................................................................................................................................1093 Question Question WOOL .........................................................................................................................................................1094 Question Question Question Question Government Business Precedence ...................................................................................................................................................1100 Question NEW BUSINESS AFTER 11 P.M...............................................................................................................1100 Repatriation Bill 1961 Second Reading............................................................................................................................................1100 The Second Schedule Third Reading ..............................................................................................................................................1138 Seamen&#39;s War Pensions And Allowances Bill 1961 Adjournment .......................................................................................................................................................1173 Answers To Questions Parliamentary Allowances............................................................................................................................1173 Anglo-Kuwait Agreement ............................................................................................................................1174 Universities ..................................................................................................................................................1174 Commonwealth and State Financial Relations .............................................................................................1174 Broadcasting and Television ........................................................................................................................1175 Customs Duties ............................................................................................................................................1176 Wednesday, 13th September, 1961. took the chair at 2.30 p.m., and read say what is the area presently under rice prayers. to the Minister for Labour and National 2,000 acres of land at Humpty Doo will Service. A number of people from Melbe sown with rice and harvested this year bourne, who have been unemployed for a in the season. Work on the preparation of long period and have suffered extreme hardthe land is proceeding now. Until ploughship, are here this afternoon. I ask the ing and land preparations are completed Minister why he will not see these people, one cannot give an exact figure, but we hope as it is directly his departmental responthe area will be about 2,000 acres as I have sibility to ensure their re-employment. Will said. the honourable gentleman say what concrete steps he has taken, as a Minister, to overcome unemployment in the industries that have been adversely affected by the Governme to draw a distinction between the ment's policy? lished policy of mine-and one that was difficulty and is undergoing reconstruction followed by my predecessor as Minister for -and a subsidiary known as Rice DevelopLabour and National Service-that reprement Limited which, pending the reconsentations on the problems of employment struction of the parent company, is actually and unemployment will be received from concerning itself with continuation of the the Australian Council of Trade Unions or growing of rice. The four farmers who the federal executive of any of the unions are working at Humpty Doo now are doing affiliated with the A.C.T.U. or of the Ausso under arrangements with Rice Developtralian Workers Union. That has long ment Limited solely for the purpose of been the policy and it is one to which we producing rice. In the season just closed, should, I think, adhere. On the political they harvested about 1,250 tons of rice level, I should mention that the Australian and sold it quite advantageously overseas Labour Party in New South Wales will not at about £65 a ton. That sale showed that permit its own members to be associated rice-growing under farm conditions is with representations made by these soalmost, on balance, an economic proposicalled employment councils. Sir, if the tion. A.C.T.U. wishes me to receive a deputation from its own executive, I will be only too happy to do so. As to the second part of the honourable of rice-farming in that particular area. If gentleman's question, I believe that the that proof is conclusive, then in the followaction taken on three occasions during the ing season we fully expect both the company course of the year prior to the Budget, and, one hopes, the Government will be through the Budget itself and through the taking measures to throw open other land Australian Loan Council, has done much to to people who want to engage in ricecreate conditions under which we can exgrowing. pect increasing employment opportunities to be provided. I should also make it clear that the Commonwealth Employment Service has placed some 267,000 people in the Prime Minister as Acting Treasurer. employment in the last nine months. RICE. for Territories a question concerning the Humpty Doo rice project in the Northern cultivation and whether this is an appropriate time for other interested persons to apply for land? To answer the second part of the honourable member's question, it is necessary for business affairs of the company, Territory Rice Limited, which is the leaseholder of the Humpty Doo area-and as honourable This year's further experiment with four farmers growing 2,000 acres of rice, we hope, will prove the economic practicability As the Government is at present paying a",6,Setup
1,Mr Speaker (Hon. John Mcleay) Territory. Can The Honourable Gentleman,,11,Commonwealth Loans
2,Mr Bryant,I address my question,11,Commonwealth Loans
3,,Mr McMAHON -It is a well-estabmembers know is in some present financial,11,Commonwealth Loans
4,Mr Dean,I desire to ask the Minister,11,Commonwealth Loans
5,Mr Hasluck,We hope that about,11,Commonwealth Loans
6,Mr Kearney,"I direct a question torate of interest on Commonwealth-State loans which, according to the Government's claims, represents a return of nearly double the rate when tax remission is taken into account and is equal to the average yield from well-established companies, how does the right honourable gentleman explain, first, the Government's inability to attract the money it needs and, secondly, the necessity to supplement the loan programme out of revenue? ber is concerned about failure of the loan market, I am sure he will be very happy to know that the present loan is going extremely well. question to the Minister for TradeI refer to a question that was asked by the honourable member for Bass about a fortnight ago. In view of the serious problem facing the Australian timber industry, can the Minister inform the House whether arrangements are in train or have been completed for interested members of the timber milling industry in Australia to present their case to the Government? that was asked by the honourable member for Bass on 31st August on this subject and subsequently advised the honourable member that I would be willing to meet representatives of the Tasmanian timber industry if he would arrange for them to come to Canberra to meet me and subsequently to meet the appropriate officers of the Department ot Trade. That arrangement stands. I have since been told by the honourable member for Bass that the Australian timber industry wishes to join in the discussions and accordingly, would like to widen the scope ol the interview. I am informed that the Australian industry desires that some other members of Parliament should assist the honourable member for Bass in presenting a case. 1 am willing to meet them and they will meet officers of the department later. 1 understand that other honourable members from other States will also attend. to the Prime Minister. As the Italian Government, in order to alleviate hardship, is giving additional assistance to Italian immigrants in Australia who are receiving the unemployment benefit, will the Australian Government take similar action and give additional assistance, in cases where hardship exists, to Australians who are receiving the unemployment benefit? Government intends to take with regard to the unemployment benefit was set out in the Budget papers, and we are not proposing to alter the Budget. The legislation will be dealt with by the Parliament. tion to the Minister for Repatriation. As the Repatriation Department undertakes the transport of handicapped ex-servicemen and ex-servicewomen to and from repatriation hospitals and many other places, will the Minister consider the desirability of obtaining specially designed motor vehicles, on to which patients in wheel chairs can be wheeled and in which they can then be transported? This would overcome much of the difficulty sometimes experienced in transferring patients from wheel chairs to conventional vehicles and back again. ber is right in saying that the Repatriation Department transports disabled ex-servicemen to and from repatriation hospitals and clinics for examination or treatment. I think I am right in saying that the vehicles used are ordinary motor cars, or ambulances when required. It might be useful and economic to obtain special vehicles for the purpose, and I will gladly look into the suggestion. I will do so the more readily because I know that the honourable member for Mallee, as a result of his own war experience, speaks with some knowledge of the repatriation system. ivtinister for Social Services say whether the Cabinet has yet considered the proposal that eligibility for the unemployment benefit should commence from the date on which the person concerned becomes unemployed, instead of seven days after he makes application for unemployment relief? If the Cabinet has not considered it, will the",11,Commonwealth Loans
7,Mr Menzies,If the honourable mem,12,Unemployment Benefit
8,Mr Mackinnon,In addressing a,12,Unemployment Benefit
9,Mr Mcewen,I answered a question,12,Unemployment Benefit
