speakerGroups,speaker,theText,pageNumbers,title
0,"Tuesday, 17 February 2004 But Let Me Take The Opportunity To Speculate","---that the amount of money the Australian Lathe chair at 2.00 p.m., and read prayers. contributions is as a minnow to a whale in relation to the $36 million it is ripping off the ister) (2.01 p.m.)-I inform the House that public. Over the 15-year life of the lease, the the Minister for Citizenship and Multiculexpected rip-off is going to be some tural Affairs and Minister representing the $36 million. The Leader of the Opposition Minister for Immigration and Multicultural comes to this debate with very dirty hands and Indigenous Affairs will be absent from indeed. The Leader of the Opposition has it question time today and tomorrow. The Atwithin his capacity tonight to get in touch torney-General will answer questions on his with the national secretary of his party and behalf. say, ‘Tim, the game is up.’ Political Parties: Donations on a point of order. The Prime Minister was is to the Prime Minister. I refer to figures nations from tobacco companies. I ask you to from the Royal Australasian College of Surdraw him back to the question. annual health care bill of $21 billion and the member for Wills raised a point of order on a death of 50 Australians a day. Given that matter of relevance. The question did deal there is no such thing as responsible smoking with funding political parties. I have allowed and that both sides of politics campaign on the Prime Minister to make that point. Has the human and economic cost of smoking the Prime Minister concluded his answer? join with the Labor Party in rejecting political donations from tobacco companies? ister to come back to the question of tobacco. does not have the call, as the House has not political donations, that the Australian Labor come to order. The Prime Minister is entitled Party is extorting $3 million a year out of the to be heard in silence. Those behind him will Australian public. The deal that was entered exercise more restraint. into more than 10 years ago by the AustraOpposition for that question. Let me remind power by the Australian Labor Party at the him of what was said by me and others at the time. And if the Leader of the Opposition time this issue was raised. The party I lead had any credibility on the issue of sources of took the view in relation to the source of dodonations, instead of baring his chest and nations that, if they were donated by corpotrumpeting his great morality in relation to a rations and individuals carrying on lawful few thousand dollars from tobacco compaactivities, there was no reason in principle nies he would have the guts to give up the why the donation should not be accepted.",7,Setup
1,The Speaker ( Mr Neil Andrew) Took Bor Party Is Giving Up In Tobacco Company,,7,Questions Without Notice Mr Kelvin Thomson Mr Speaker. I Rise
2,Mr Howard (Bennelong,Prime Minis a giant piece of extortion of the Australian,7,Questions Without Notice Mr Kelvin Thomson Mr Speaker. I Rise
3,Mr Latham (2.01 P.m.),My question asked whether he would reject political do,7,Questions Without Notice Mr Kelvin Thomson Mr Speaker. I Rise
4,Geons Showing That Smoking Results In An The Speaker,I note the question. The,7,Questions Without Notice Mr Kelvin Thomson Mr Speaker. I Rise
5,"Related Illnesses, Will The Prime Minister Now Mr Howard","No, I have not.",7,Questions Without Notice Mr Kelvin Thomson Mr Speaker. I Rise
6,The Speaker,I invite the Prime Min,7,Questions Without Notice Mr Kelvin Thomson Mr Speaker. I Rise
7,Honourable Members Interjecting,,7,Questions Without Notice Mr Kelvin Thomson Mr Speaker. I Rise
8,Mr Howard,"I am making the point,",7,Questions Without Notice Mr Kelvin Thomson Mr Speaker. I Rise
9,The Speaker,The Prime Minister in response to a question asked of me about,7,Questions Without Notice Mr Kelvin Thomson Mr Speaker. I Rise
