speakerGroups,speaker,theText,pageNumbers,title
0,An Aot Relating To The Registration Of Aliens. An Aet Relating To Duties Of Customs. An Act To Amend The Customs Tariff (Exchange Adjustment) Act 1933,"1938. An Act to amend the Defence Act 1903-1934, and for other purposes. An Act to make provision in relation to the Commonwealth or the Defence Force, with respect to the Naval, Military and Air Forces of other parts of His Majesty's Dominions and of Territories administered by His Majesty, with respect to Members of those Forces, and for other purposes. An Act to grant and apply out of the Consolidated Revenue Fund a sum for Invalid and Old-age Pensions. An Act to annul certain Proclamations made under the National Health and Pensions Insurance Act 1938, and under certain Acts with which that Act is incorporated. An Act to provide for the taking of Censuses for the purpose of National Registration, for tbe establishment of a National Register, and for other purposes. An Aet to amend the Science and Industry Research Act 1920-1937. An Act to provide for the payment of Annuities to the Widow and Children of the late the Right Honourable Joseph Aloysius Lyons. An Act to grant and apply out of the Consolidated Revenue Fund a sum for the purposes of Financial Assistance to thu States. An Act to grant and apply a sum out of the ConsoUdated Revenue Fund for the service of the year ending the thirtieth day of June, One thousand nine hundred and forty. An Act relating to the Supply of Munitions and the Survey, Registration and Development of the Resources of Australia, and for other purposes. THE BILLS OF THE SESSION. -COMMONWEALTH BANK BILL . Initiated in House of Representatives; second reading. -CRIMES BILL. Initiated in Senate. Sent to House of Representatives ; first reading. -EXTRADITION BILL . Initiated in Senate. Sent to House of Representatives ; first reading. -INTERSTATE COMMISSION BILL. Initiated in Senate. Sent to House of Representatives; second reading. -NATIONAL Representatives; second reading. Representatives; second reading. -PATENTS BILL . Initiated in House of Representatives; first reading. SEAT OF GOVERNMENT (ADMINISTRATION) BILL . Initiated in Senate. Sent to House of Representatives second reading. Not dealt with during the Third Period. (THIRD PERIOD.) (THIRD PERIOD.) HEAL TH AND PENSIONS INSURANCE BILL (No. 2) 1938. Initiated in House of Question WOOL INDUSTRY.....................................................................................................................................1620 Question Printing Committee.............................................................................................................................................1620 Question Question Question Question Question Question Question Question Question Question Question Special Adjournment...........................................................................................................................................1622 Question Question NEW GUINEA ............................................................................................................................................1622 Question Question Question National Registration Bill 1939...........................................................................................................................1623 Papers..................................................................................................................................................................1668 Answers To Questions Standardization of. Railway Gauges ............................................................................................................1668 Dairying Industry .........................................................................................................................................1668 Wool, and Wheat Prices ...............................................................................................................................1669 Cattle Industry..............................................................................................................................................1669 Overseas Loan..............................................................................................................................................1670 National Insurance .......................................................................................................................................1670 Sydney-Rabaul Air-Mail Service .................................................................................................................1670 Supply of Oil Fuel to Pearlers ......................................................................................................................1670 Tobacco Industry..........................................................................................................................................1671 Cotton Industry ............................................................................................................................................1671 Canberra: Telephone Service .......................................................................................................................1671 House of Representatives. Friday, 9 June, J939. the chair at 10,30 a.m., and read prayers. WOO LINDUSTRY . Minister in receipt of a communication from the Australian Wo.olg'rowers Council, pointing out the desperate position of the wool industry, and asking for a bounty to enable a margin of profit to be obtained? tion of such a communication having been sent direct to me, but I have seen a reference to the matter in the press. vernment take action in regard to it? sidered. . General give the House any information with regard to the industrial dispute at DarwinI What measures, if any, are being taken with a view to bringing the dispute to a peaceful termination? hardly be termed satisfactory. Negotiations have been in progress with a view to effecting a satisfactory settlement, and, as the result of these efforts, the contractors offered the employees higher wages than were being paid at the time the strike occurred; but the employees, for some reason or otherI confess that I do not understand the position exactlyrefused to accept the offer. . In view of the fact that the construction of a water supply for Darwin is an urgent matter, the Government is of the opinion that every effort should be made to settle the dispute, and has asked Judge DrakeBrockman to proceed forthwith to Darwin. I understand that he will do so either to-morrow or on Monday. F if t h report of the Printing Committee Clerk, and-by leave-agree d to. British Prime Minister's statement in the House of Commons with regard to the proposed pact between Great Britain, France and Russia, does the Minister for External Affairs consider this to be an appropriate time to make a statement regarding Australia's position in the matter, and its relations with countries bordering the Pacific? vernment w ill be pleased to give immediate consideration to the suggestion made' by the honourable member. representing the Minister for the Interior state whether, having regard to the urgency of the need for the development of the Gippsland oil-field by re-pressuring and other means, be will bring down, before the House rises, the bill, of which he has already given notice, to amend the Petroleum Oil Search Act? view of the number of items on the notice paper, I cannot give a definite reply to the honourable member's question. The Government will do all it can to dispose of the business before the House.",7,Aliens Registration Aot 1939 No 12 Of 1939
1,Mr Speaker (Hon. G. J. Bell) Took,,9,Gtppsland Oil Fiel D
2,Sir Earle Page,I s the Prime,9,Gtppsland Oil Fiel D
3,Mr Menzies,I have no recollec,9,Gtppsland Oil Fiel D
4,Sir Earle Page,Will the Go,9,Gtppsland Oil Fiel D
5,Mr Menzies,That will be con,9,Gtppsland Oil Fiel D
6,Mr Makin,,9,Gtppsland Oil Fiel D
7,Mr Hughes,The position can,9,Gtppsland Oil Fiel D
8,"Brought Up By Mr Jennings, Read By The",,9,Gtppsland Oil Fiel D
9,Mr Beasley,In view of the,9,Gtppsland Oil Fiel D
