speakerGroups,speaker,theText,pageNumbers,title
0,"J^Oiise Of Ftrprfscntattbcs. Friday, 4 August, 1q05. A.m., And Read Prayers. Ther To Address You, Sir, On A Question Of Entirely Disorderly. Privilege Or By Way Of Personal Explanation; But I Desire To Refer To A Paragraph Having Not Disorderly For Members Opposite To Make .Reference To The Election Of The Chairman Of Statements Against Members On This Side Of Committees A Day Or Two Ago, Which Apthe Chamber? Pears In This Morning's Age. I T Is There Stated That The .Labour Party Entered Into Be Equally Disorderly. An Arrangement With The Leader Of The Op","position in connection with this matter. should move the adjournment of the House, ment, and I replied to it. I desire fair so that we may all speak on the subject. facts then. that I , a member of the Labour Party, name knew nothing whatever of the arrangement addressing referred to, and I take this opportunity to for Kalgoorlie repudiate the statement that there was such after the statement an arrangement. I have no connection with ber for Darwin, andofI the these petty intrigues, and do not intend to be made use of in any such way. I voted for what the honourable member for Riverina, because said. I conscientiously believed that he would have had the position had it not been for against honourable members on this side of causes entirely berypnd his control which the House. prevented his return to the House when this Parliament first met. I have no desire to justify now the vote which I gave, but simply say that I repudiate altogether the following papers: statement in the paragraph to which I have referred. Mr O'MALLEY -B y way of personal explanation I wish to say, in reply to the statement which has appeared in the Age, last session I moved that a return be laid that no member of the Labour Party, no on the table giving the cost to date of inmember of the Opposition, and no member quiries regarding the Federal Capital Site. of the Government party ever spoke to me As that return has not yet been presentecT about any scheme or plan in connection with to the House, I ask the Ministeri f he will the election of the Chairman of Commitlook into the matter, and inform us when tees. As I do not wish either the honorwe may expect it. able member for Riverina or the honourable member for Laanecoorie to think that it was ter. because I had been spoken to that I did not record my vote, I desire to say now that I did not vote, because I was called away from the House on very important business. and Customs was good enough to agree theAge is an absolute lie. statement in the ask for information, and he will see if it is. honourable member for Kalgoorlie give it, then? members for Macquarie and New England cease these exclamations across the Chamattention to the conduct of the honourable play to be given to both sides. ber may rely upofn getting fair play. the two honourable members who are me. The honourable member made his remark immediately took honourable memit to relate to the honourable member for Darwin had Papers relating to the residence of the Governor General in New South Wales.",12,Setup
1,Mr Speaker Look The Chair At,,12,Federal Capital Inter State Trade
2,Mr Bamford,"I hardlyi know wheber. They must know that such a course is,",12,Federal Capital Inter State Trade
3,Mr Wilks,The honourable member member for Kalgoorlie. He made a state,12,Federal Capital Inter State Trade
4,Mr Sydney Smith,He will gfet the,12,Federal Capital Inter State Trade
5,Mr Bamford,I merely wish to say,12,Federal Capital Inter State Trade
6,Mr Lonsdale,The,12,Federal Capital Inter State Trade
7,Mr Frazer,Let the honourable member,12,Federal Capital Inter State Trade
8,10.30 Mr Sydney Smith,Why does' not the,12,Federal Capital Inter State Trade
9,Mr Speaker,Will the honourable,12,Federal Capital Inter State Trade
10,Mr Sydney Smith,I ask whether it is,12,Federal Capital Inter State Trade
11,Mr Speaker,Such a course would,12,Federal Capital Inter State Trade
12,Mr Sydney Smith,Then T direct your,12,Federal Capital Inter State Trade
13,Mr Speaker,The honourable mem,12,Federal Capital Inter State Trade
14,Mr Lonsdale,That is all we want.,12,Federal Capital Inter State Trade
15,Mr Speaker,I should be sorry to,12,Federal Capital Inter State Trade
16,Mr Sydney Smith,It was a charge,12,Federal Capital Inter State Trade
17,Mr Deakin Laid Upon The Table The,,12,Federal Capital Inter State Trade
18,Mr Robinson,In the early part of,12,Federal Capital Inter State Trade
19,Mr Groom,I will look into the mat,12,Federal Capital Inter State Trade
20,Mr Knox,"The Minister of Tradeother day to place on the table some papers showing the effect of the uniform Tariff on the trade of the Commonwealth. I wish to suggest that it would be of great advantage to honourable members if the document could be printed. Has the Minister any objection to that? that I have power to order the printing of the document; I think that that is a ma'tter which rests with the Printing Committee. However, I have not the slightest objection to the printing of it, nor have the Government. The return is being prepared , and I think that when it is laid 1 on the table it will be seen to be of sufficient importance to justify printing, because it is a paper which should be distributed.. on the table by a Minister, he may, if he pleases, move that it be printed. Otherwise, and in the ordinary course, all papers go automatically to the Printing Committee. from the Prime Minister when we may expect action to be taken in regard to legislation on electoral matters ? Does he think that the measures which are now being pushed forward in this House are of more importance than the very important matter of electoral redistribution? two electoral Bills, both of them dealing with complex matters needing very close examination, is well advanced. The Bills with which the House is now deajing are either brief, or were almost completed before we took them in hand. In the case of electoral legislation, our task will be in one instance to prepare a new Bill, and in the other to revise a long Bill. likely to be long in preparation? vanced. Orders? the Standing Orders Committee. Prime Minister intends to go on with the Redistribution of Seats Bill this session, and, if not, how long it will be before such a Bill will be laid on the table of the House? learned member give notice of his question? that they are breaking up the Union. upon noticeWhat is the approximate loss of postal revenue in consequence of the establishment of twopenny postage from the Commonwealth to all other parts of the Empire? per annum. General, upon notice1. With reference to Mr Webster's previous questions relating to the dismissal of the postmistress at Chatswood, New South Wales, is it a fact that the inquiry discloses that a departmental inspector had money transactions of an irregular nature at this office? 2. What would have been the position of this postmistress had a Treasury inspector visited the office during the currency of those temporary money transactions? 3. Has the Department any rules or regulations preventing its officers from having money transactions with their subordinates, and, if so, was the transaction disclosed considered to be an infraction of same? 4. Has the money transaction in this case been brought under the notice of the Deputy Postmaster-General, the Postmaster-General, or his secretary, and the Public Service Commissioner, and, if so, what were their respective comments and recommendations in respect of same? 5. What action was taken as the result of such comments or recommendations? 6. Is it a fact that since the above inquiry the officer in question has been appointed to a higher and much more important position in the service; if so, was ithe position advertised in the Gazette, and who were the applicants considered in connection with same? 7. Is there any objection to a copy of the whole of the papers relating to this inquiry and appointment being laid on the table of the House? are being made, and replies will be furnished as earlv as possible. General, upon notice1. What were the charges preferred against the late postmistress at Chatswood, New South Wales, which led to her dismissal from her position in. the service? 2. What reply did she make to those charges? 3. What was the staff of this office when under the control of the late postmistress, and what were the respective salaries of the same?",12,Federal Capital Inter State Trade
21,Sir William Lyne,I do not know,13,Chatswood Postmistress
22,Mr Speaker,When a paper is laid,13,Chatswood Postmistress
23,Mr Joseph Cook,I wish to know,13,Chatswood Postmistress
24,Mr Deakin,The preparation of the,13,Chatswood Postmistress
25,Mr Joseph Cook,Are the measures,13,Chatswood Postmistress
26,Mr Deakin,They are well ad,13,Chatswood Postmistress
27,Mr Watson,What about the Standing,13,Chatswood Postmistress
28,Mr Deakin,They are prepared by,13,Chatswood Postmistress
29,Mr Conroy,I wish to know if the,13,Chatswood Postmistress
30,Mr Deakin,Will the honourable and,13,Chatswood Postmistress
31,Mr Conroy,I tell the Government,13,Chatswood Postmistress
32,Mr David Thomson (For Mr,,13,Chatswood Postmistress
33,Mr Austin Chapman,".£8,800",13,Chatswood Postmistress
34,Mr Webster Asked The Postmaster,,13,Chatswood Postmistress
35,Mr Austin Chapman,Inquiries,13,Chatswood Postmistress
36,Mr Webster Asked The Postmaster,"4. What is the present staff of this office, and what are the salaries paid to the same? 5. Is it a fact that the work of this office has been reduced since the removal of the late postmistress by the dissociation of the registration of births, marriages, and deaths? 6Is it a fact that the work of this office has been materially curtailed by 'the dissociation of this State sub-department? are being made, and replies will be furnished as early as possible. General, ufon notice1. With reference to Mr Webster's previous questions relating to the recent appointment to the position of Chief Clerk of Stores in the Sydney Department, will the Minister particularize the applicants whose applications were under consideration in connection with this appointment? 2. Is it a fact that a number of applications were received in response to the Gazette advertisement in regard to tins position, and not considered in connection therewith; and, if so, what were the reasons for their non-consideration? 3. Is it a fact that of the applications received and considered, some were from omcers senior to Mr W. H . Golding, and, if so, what were the reasons they were disallowed ? 4. Was an application received from the officer second in charge of this department, and, if so, why were his claims considered to be inferior to those of Mr Golding? 5. Is it a fact that Mr Golding's promotion to the position of inspector formed the subject of a deputation of departmental officers to the State Public Service Board then controlling such appointments, and, if so, what were the representations of such deputation ? 6. What reply or promise did the Board give this deputation with respect to its representations? amendments were suggested in that Bill, 7. Have any appeals been received from officers in connection with this appointment, and, if so, from whom ? are being made, and replies will be furin better form, the Imports and Exports nished as early as possible. General, ufon notice1. Is it a fact that in the Sydney Department by the then Minister of Trade and Customs. two country omcers have been temporarily proThis Bill is, as I have said, a modification moted to the inspectorial staff, and are now disof the measure prepared by the late Gocharging the duties connected therewith? 2. Is it intended to advertise through the Commonwealth Gazette for applications for those positions? 3. Are officers to understand that such Gaset'e by the late Government? ndvertisements are merely formal compliance with the Act, or that applications will be deilt with on their merits, irrespective of preliminary presure prepared by the late Government was ferment? swers to the honourable member's questions are as follow:1. Yes. 2. Yes. 3. Applications are dealt with on. their merits. Sir WILLIA M LYNE (Hume-Minister of Trade and Customs) -In movingThat the B ill be now read a second time, I shall be as concise as possible. I wish first to point out that it is divided into two parts, the -first of which is practically a transcript of the Merchandise Marks Act of Great Britain, which has effect throughout the British dominions, while the second contains provisions relating to the imports and exports of the Commonwealth, and gives power to compel the placing of a proper description on goods or on packages containing them. The first draft of such a Bill in my possession was prepared by the late Government. meanthe Reid-McLean Government? Sir WILLIA M LYNE -The ReidMcLean Government. The Bill with which I am now dealing really tones down one or two of the more drastic provisions in the Bill framed by the late Government; but, of course,, it goes further that that. The need for such a measure was to a large extent shown during the debate in the Senate on the Fraudulent Trade Marks Bill. Certain but they were not inserted, as it was considered by legal authorities that they could not properly be made in the Bill beBill was prepared by the late Government. Besides being due to the discussion in the Senate to which I have referred, the Bill was also the outcome of the Premiers' Conferthe need for such a measure was explained vernment. that he has toned down the Bill prepared Sir WILLIA M LYNE -Yes, the meain some respects rather drastic. I have",13,Chatswood Postmistress
37,Mr Austin Chapman,Inquiries,14,Commerce Bill No Z Second Reading
38,Mr Webster Asked The Postmaster,,14,Commerce Bill No Z Second Reading
39,"Mr Austin Chapman,",Inquiries cause of its title. To deal with the subject,14,Commerce Bill No Z Second Reading
40,"Mr Webster Asked The Postmasterence Held Early This Year In Hobart, Where",,14,Commerce Bill No Z Second Reading
41,Mr Austin Chapman,The an,14,Commerce Bill No Z Second Reading
42,Mr Bruce Smith,Does the Minister,14,Commerce Bill No Z Second Reading
43,Mr Knox,"Does the Minister meanbeen asked what necessity there is for this measure, considering that the Customs Act contains provisions which enable us to deal with many of the matters which are now proposed to be made the subject of further legislation. could be dealt with in sub-section g of section 52 of the Customs Act, are dealt with in clauses 7 and 10 of the present Bill. These clauses undoubtedly give a clearer ancl stronger definition of what was probably the intention of the section referred to. Section 56 of the Customs Act, relating to prohibitions subject to restriction, does not deal with the matter in the same way that the present Bill proposes to do. I refer specially to those two sections of the Customs Act, because it has been asserted that we can do all that is required in the matters therein referred to without passing such a measure as that now before us. I find, however, after having consulted the officials of my Department, that this Bill is necessary to make the intentions of the Customs Act perfectly clear, and to confer greater and more discretionary power. The Customs Act does not deal with the standard of exports as this Bill does. The term "" standard "" is not used in this measure, but the term "" trade description "" is employed by the draughtsman, and the object is to compel persons who are exporting goods to bring their products up to a certain prescribed standard. tell us what exports are likely to be affected ? a list of the articles likely to be affected by the provisions which are intended to prevent the exportation of inferior goods to the detriment of bur export trade. For instance, under this provision, we shall be able to prevent the exportation of jam in short weight tins. I am informed that the articles of export most likely to be affected are as follow Biscuits Butter Cheese Confectionery Fish, n.e.i. . Fodder, compressed Fruits, Raisins„ Grain, Flour Oatmeal ,, Wheatmeal Boots and Shoes„ Hay and Chaff As regards imports, the articles 'likelv to be affected by the provisions of the Bill are as follow:Beer Leather Apparel Jewellery For instance, those that Boots and Shoes Fruit Juices Butter Macaroni and VermiCandles celli Cheese Manures Cocoa Meats, Preserved Coffee Meats, Concentrated Confectionery Medicines, ProprieFish, Preserved tary Fruits, Preserved Milk, Preserved (various kinds) Milk, Concentrated Furniture Mustard Gelatine Oils. Flour Paints and' Colours Barley, Pearl and Pickles Scotch Piece-goods, Woollen Groats „. Linen Maizena and CornSilk flour Salt Oatmeal and WheatSoap. meal Spirits Rolled Oats Starch Hops TobaccoInfants' and Invalids' Varnish Food Vinegar Jams and Jellies Wine will require an army of inspectors. so. We have a considerable number of officers connected with the Department at present, and I do not think it will be necessary to appoint any others. be made for the examination of fruit intended for export to England? Sir WILLIA M LYNE -The Bill makes provision for ,that in clause 10, whiten, 1 reads as follows :(1.) The Governor General may by proclamation prohibit the exportation of any goods specified in the proclamation, unless there is applied to them a trade description of such character, relating to such matters, and applied in such manner, as is prescribed by the proclamation or by the regulations. (2.) All such goods to which the prescribed trade description is not applied, which are exJams and Jellies ported or entered for export or put on board any Lard and Refined ship or boat for export or brought to any wharf animal Fats or place for export, shall be forfeited to the Leather King. Preserved, Manures (3.) Subject to the regulations the ComptrollerMeats, Preserved General, or on appeal from him the Minister, may including ,, Concentrated permit any goods which are liable to be or have Milk, Concentrated been seized as forfeited under this section to be Soap delivered to the owner or exporter, upon security Bottled Tobacco being given to the satisfaction of the ComptrollerWine General that the goods shall not be exported in Apparel contravention of the proclamation. officer be appointed to perform the work ?",14,Commerce Bill No Z Second Reading
44,Mr Bruce Smith,Would the Minister,15,Commerce Bill No Z Second Reading
45,Sir William Lyne,"Yes, I have",15,Commerce Bill No Z Second Reading
46,Mr Bruce Smith,The Departmerit,15,Commerce Bill No Z Second Reading
47,Sir William Lyne,I do not think,15,Commerce Bill No Z Second Reading
48,Mr Mcwilliams,What provision-will,15,Commerce Bill No Z Second Reading
