speakerGroups,speaker,theText,pageNumbers,title
0,"War, I May Point Out That, During Their Term Of Office, They Endeavoured To Block Operations At Cockatoo Island Ber Must Confine Himself To The Matter Be","fore the Chair. the honourable member for Eden-Monaro is really serious in his suggestion that this factory should be transferred to Canberra. My own opinion is' that the inquiry of the Public Works Committee should be confined to the extension of the present premises at Lithgow, with a view to an augmented production of war materiel. It would be most unwise, in my opinion, to give the Public Works Committee a roving commission, in view of the urgency of the situation; and I can only think that the honourable member for Eden Monaro is merely trying to liven up a somewhat dull House. ought to be passed at once, so that the proposed extension may be inquired into and carried out as rapidly as possible. I am very glad that the motion has been submitted in its present shape. Last session, in answer to a question, I elicited a reply that the rifles which were being turned out at the Lithgow factory had cost something like £100 each. ber must not go into that question. it was then pointed out that the comparison was unfair, seeing that we were also informed that a huge plant had been put up suflicient to turn our rifles for Australia for many years to come. We now find, however, that, at the first stress, it is necessary to practically rebuild, or, at all events, to greatly extend the factory. One of the many good services that will doubtless be rendered by the Public Works Committee will be that of eliciting facts connected with our Defence Department facts which hitherto honourable members have been unable to ascertain, no matter what Government has been in oflice. I trust that the Committee will be able to determine exactly what this Small Arms Factory is costing. Last year information was adduced which showed clearly that the cost of manufacturing rifles at Lithgow panned out at more than £100 each, notwithstanding that equally good weapons could be imported for about £3 each. The provision in our law which requires the reference to our Public Works Committee of all works involving any considerable expenditure is, in my judgment, an admirable one. Had such a system been in operation years ago, it would have saved the Commonwealtli millions of pounds. Indeed, it will effect a saving of millions of pounds in the future. In my judgment, the Committee may be trusted to conduct an exhaustive inquiry into this matter. The honourable member for Eden-Monaro has raised the very important question of whether Lithgow is a suitable site for the Small Arms Factory. In my opinion, there is much to be said in favour of establishing all national works in Federal territory. Other things being equal, I believe that it would be better to so establish all The motion national factories, thus assisting to attract population to that territory. this proposal is one that vitally concerns an industrial centre of my electorate, I feel that I ought to say a word or two upon it, and particularly upon the suggestion of the honourable member for Eden-Monaro that national works should not be confined to one locality. I take it that his suggestion is merely one of his characteristic serio-comic efforts which we may dismiss from our consideration. member ought to be a good judge of that sort of thing. He often indulges in it here. need not get excited. This question was thoroughly threshed out before the Small Arms Factory was established at Lithgow. member not to enter into an argument regarding the establishment of works there. The proposal before us is one to refer a certain work to the Public Works Committee. sion that, in view of the proposed extension of the Small Arms Factory, the question of where it should be established naturally arose. If it does not, I merely wish to say that, situated as it is, behind the natural ramparts of the Blue Mountains, with deposits of iron, coal, and shale in close proximity,'no better site could be desired. We all recognise the",13,Setup
1,Mr Speaker,The honourable mem,13,Setup
2,Mr West,I can hardly think that,13,Setup
3,Mr Mcwilliams (Franklin) [3.59].,,13,Setup
4,Mr Speaker,The honourable mem,13,Setup
5,Mr Mcwilliams,May I say that,13,Setup
6,Mr Carr (Macquarie) [4.3],As,13,Setup
7,Mr Austin Chapman,The honourable,13,Setup
8,Mr Carr,The honourable member,13,Setup
9,Mr Speaker,I ask the honourable,13,Setup
10,Mr Carr,"I was under the impresnecessity whicli exists for getting a move on in regard to our supply of armaments. There are facts connected with this matter which, in view of existing conditions, it would not he wise to discuss here. But I heartily welcome any suggestion which would have the effect of facilitating the manufacture of armaments. I do not think that it becomes honourable members to raise the slightest question upon this proposal. If the Government undertook the extension of the factory of their own volition, and without referring the matter to the Public ""Works Committee, their action would be abundantly justified. I object to the delay which w ill be involved in the procedure which is now proposed. for months surely we can wait a few weeks longer. arrival of armaments at the f r o n t may mean all the difference between the loss and the saving of valuable lives. This is not a proposal which should be discussed. It should be agreed to without debate. I understand from your ruling, sir, that ment enacted legislation which provides under this proposal honourable members that a l l works involving an expenditure are not at liberty to discuss the broader in excess of £20,000 shall be referred to question of where the Small Arms Pacthe Public Works Committee for in tory ought to be established. I am not quiry. When the report of that body is concerned with whether we have only one presented to Parliament, honourable meminstitution of this kind in the Commonbers will be allowed the fullest opporwealth, or whether every honourable memtunity of discussing it in all its bearings; ber has a small arms factory in his own but it would be quite unreasonable to constituency. That seems to be the idea expect me to permit a general discusof some honourable members. The motion sion on a motion of this character. affords me a convenient peg upon which cannot allow it . to hang a question of great interest to the public. observations of the Assistant Minister of to sanction an expenditure of public Defence, who did not tell us whether the money. adoption of this motion will have th© effect of increasing the supply of rifles fuse to sanction it at a later stage. that are available for use in the Commonwealth. ber of questions which have been p u t to asked to refer to the Public Works Comhim from both sides of the House, I wish mittee, for inquiry, a proposal to duplito point out that rifle clubs have been cate the rifle plant at the Lithgow Small established all over the country, and that Arms Pactory. their great need at the present time is a where an analogous body has been in sufficient supply of rifles. If this proexistence for twenty-five years, th© rula posal be adopted, can the Assistant M i ninvariably followed in connection .with ister hold out any hope that a greater similar undertakings has been for the Gosupply of these weapons will be forthcomvernment to submit a detailed proposal ing to rifle clubs, so that in future these to the House, including plans, specificainstitutions may not die of inanition ? An Honorable MEMBER And ranges, too. the honourable member not to discuss details. tend to do so. All I desire to know is' whether the Government propose to continue their support of these clubs without providing them with the means for continuing their existence. able member must uot go into that matter. Assistant Minister of Defence hold out to these clubs any hope that they w ill be granted a larger supply of rifles in the We have waited near future ? that the honourable member is discussing a question which is entirely foreign to this motion. If I permit him to do that, I cannot reasonably decline to allow other honourable members a similar degree of latitude. motion. I I listened attentively to th© [4.9] -Unde r this motion, we are asked Mr .SPEAKER -Th© House may reApropos of quite a numsir, that you miss my point. We are In New South Wales, tions, & c , so that honourable members",13,Setup
11,Mr Mcwilliams,,14,Setup
12,Mr Carr,Even a day or two in the,14,Setup
13,Mr Brtjce Smith (Parkes) [4.6],,14,Setup
14,Mr Speaker,Order! I must ask,14,Setup
15,Mr Bruc Esmith,I do not in,14,Setup
16,Mr Speaker,Order! The honor,14,Setup
17,Mr Bru Ce Smith,Can the,14,Setup
18,Mr Speaker,I would point out,14,Setup
19,Mr Joseph Cook,It relates to the,14,Setup
20,Mr Speaker,Last year Parlia,14,Setup
21,Mr Joseph Cook (Parramatta),,14,Setup
