speakerGroups,speaker,theText,pageNumbers,title
0,"Ftfouse Of Ikcpvesnuatturs. Thursday, P.m., And Read Prayers. The Prime Minister Been Drawn To The F O L","lowing passage in a leader in this morning's Argus ?A startling change in the outward appearance of our postmen may be expected shortly; it is as well that the public should be prepared for it. The first announcement of this momentous event was made, in an apparently casual manner, by Mr Fisher in his speech on Tuesday-the same speech in which he hurled at the Brisbane strikers the bitterest condemnation that has yet been uttered. He said that, knowing the men exceedingly well, he was very surprised that they had refrained from acts of incendiarism. I ask the honourable gentleman if he made use of those words, or any of similar import? strike in Queensland would have committed actions of that kind? f u l perversion of what I said, and the time .must soon come when writers for the press -will be compelled to disclose their identity. explanation regarding a statement made last night by the honourable member for Wentmatter and see what can be done. worth, that accomplished political pimp on the other side honourable member a pimp? engaged, 1 did hot hear the word; but if it was used, it must be withdrawn. ' pimple. ber must not use such epithets. when looking at objects of that kind. plained of have not been withdrawn. They are most insulting. member for Gwydir to withdraw what he said, and not to repeat the expression. words, and leave it to-the sense of the House as to whether they were justified. Last session I had a notice on the business paper for an inquiry into the operations of the Tobacco Trust, which I subsequently 27 June, igi2. withdrew, and the honourable member last night construed my motive as an unworthy one. A similar misrepresentation was made 2.30 during the Werriwa campaign, to which I had no chance to reply. I ' withdrew the motion simply because I found that in the report and evidence of a Commission which H as the attention of had dealt with the matter there was sufficient information to justify action, and I thought, therefore, that the cost of another inquiry was not warranted. The statement that I consulted members of my party on the subject is worthy of the honourable member. I did not consult any of them before placing the notice on the business paper, or before withdrawing it . So much for the mare's nest which he discovered. troduced into the State Parliament the practice of having the messages for memDoes he believe that those on bers written on certain cards. This arrangement has proved of great convenience to the members of this House also. I ask The statement is a wilthat a similar arrangement be established here in connection with telephone calls. The form which I suggest might be used was supplied to me by Mr Prendergast, M . L . A . , and provides for the orderly setting down of messages, with the time, and I desire to offer an date, and the sender's name and number. My attention being following papers :' Commonwealth Bank-Documents relating t« the appointment of Mr D. S. KMiller as Governor. I intended to say Defence ActGovernment FactoriesRegulations Amended (Provisional)-Statu tory Rules 1912, No. 113. It is hard to refrain Military Forces-Financia l and Allowance Regulations Amended (Provisional)Statutory Rules 1912, No. 114. Statutory Rules 1912, No. 115. Northern Territory Acceptance Act and Stock Diseases Act 1888 (of South Australia. I ask the honourable Proclamation re Prohibition of Introduction of Stock into Bathurst and Melville Islands (dated 7th June, 1912). Seamen's Compensation Act-Provisiona l ReguI withdraw the lations-Statutory Rules 1912, No. 127. Werriwa Election, ist June, 1912-Detailed Return of Voting.",14,Setup
1,Mr Speaker Took .The Chair At,,14,Papers Ministers Laid Upon The Table The
2,Mr Chanter,,14,Papers Ministers Laid Upon The Table The
3,Mr Fisher,,14,Papers Ministers Laid Upon The Table The
4,Mr Webster,,14,Papers Ministers Laid Upon The Table The
5,Mr Ryrie,I s it in order to call an,14,Papers Ministers Laid Upon The Table The
6,Mr Speaker,,14,Papers Ministers Laid Upon The Table The
7,Mr Webster,,14,Papers Ministers Laid Upon The Table The
8,Mr Speaker,The honourable mem,14,Papers Ministers Laid Upon The Table The
9,Mr Webster,,14,Papers Ministers Laid Upon The Table The
