speakerGroups,speaker,theText,pageNumbers,title
0,"Thursday, 30 November 2000 Nos 1 And 4, The Position In Relation To Col","----lection and security of information under the bill is consistent with the position taken in the chair at 9.30 a.m., and read prayers. General) (9.31 a.m.)-I wish to correct the Opposition) (9.33 a.m.)Mr Speaker, I wish record in relation to one aspect of the debate to raise a matter of unfinished business from on the Privacy Amendment (Private Sector) yesterday. Are you going to ask the Minister Bill 2000. for Employment Services to withdraw unseeking indulgence to correct the record and Ms Macklin interjectingmay proceed. correct the record in relation to one aspect of way. I see the Minister for Employment the debate on the Privacy Amendment (PriServices is on his feet, but he will resume his vate Sector) Bill 2000 in the House on 8 Noseat; the Leader of the Opposition has the vember 2000. In comparing the application call. of the national privacy principles to existing the public sector provisions of the Privacy who has got to the table, we are seeking-as Act were introduced in 1988, I said that the we sought yesterday after he exited the retrospective aspects of the bill mirror the chamber-an unconditional withdrawal such provisions that applied to the public sector at as all other members of this House are the time that the public sector provisions of obliged to make in similar circumstances. is at Hansard page 22387. My department ister for Employment Services is seeking the had provided this advice but has now recall. The Attorney-General had been given examined the issue. I am now advised that precedent because the matter raised by him the position under the bill is more complex was a matter that could have been interpreted than my statement might suggest. as unwittingly misleading the House, which The broad approach in section 15 of the clearly was not his intent, and it seemed to Privacy Act 1988 and clause 16(c) of the me for that reason to have precedent, so the Privacy Amendment (Private Sector) Bill Attorney-General was granted appropriate 2000 is the same in that some principles will precedent. I invite the Minister for Employapply to all information whenever collected ment Services, who is standing, to resume and some only to information collected after his seat in the interests of the House, and I commencement. However, it is necessary to recognise the Manager of Opposition Busiconsider the position in relation to each parness. that, in relation to the particular issue of acyou allowed the Attorney-General to speak cess to and correction of personal informafirst; that was proper. Our concern is that this tion, the position under the proposed bill is ministerthat the relevant NPP on this issue only apGovernment members interjectingplies to information collected after the comthis respect, the position does not mirror the from the member for Mitchell or any other position under the 1988 act. In certain other members on my right. The Manager of Oprespects, such as national privacy principles position Business is being granted a good",5,Setup
1,Mr Speaker ( Mr Neil Andrew) Took Relation To Those Issues Under The Act.,,5,Minister For Employment Privacy Amendment Private Services Withdrawal Of Sector Legislation Comments
2,Mr Williams (Tangney,AttorneyMr BEAZLEY (Brand-Leader of the,5,Minister For Employment Privacy Amendment Private Services Withdrawal Of Sector Legislation Comments
3,Mr Speaker,The Attorney-General is conditionally,5,Minister For Employment Privacy Amendment Private Services Withdrawal Of Sector Legislation Comments
4,Mr Speaker,A little less help from,5,Minister For Employment Privacy Amendment Private Services Withdrawal Of Sector Legislation Comments
5,Mr Williams,"As I said, I wish to the member for Jagajaga would go a long",5,Minister For Employment Privacy Amendment Private Services Withdrawal Of Sector Legislation Comments
6,Data In The Bill To The Law That Applied When Mr Beazley,Regarding the minister,5,Minister For Employment Privacy Amendment Private Services Withdrawal Of Sector Legislation Comments
7,The Privacy Act 1988 Were Introduced. That Mr Speaker,"As is evident, the Min",5,Minister For Employment Privacy Amendment Private Services Withdrawal Of Sector Legislation Comments
8,"Ticular Issue. For Instance, I Acknowledge Mr Mcmullan",Our concern is not that,5,Minister For Employment Privacy Amendment Private Services Withdrawal Of Sector Legislation Comments
9,Mencement Of The Bill. The Explanatory Mr Mcmullan,It is a point of order.,5,Minister For Employment Privacy Amendment Private Services Withdrawal Of Sector Legislation Comments
10,Memorandum On The Bill Makes This Clear. In Mr Speaker,"I do not need any helpwhat is about to happen. point of order. My point of order is very seeking to raise is not about this minister intend to give the minister the opportunity to being given leave to make a statement but address the House. Under those circumabout you requiring him to withdraw the restances whatever the issues might be that the mark. That is what happens to everybody opposition want to raise they cannot be else. They are required to withdraw unconraised by way of phoney points of order to ditionally. prevent the minister from addressing the House. They have their problems on the opsition Business will resume his seat. As will Daily Telegraph today. be evident to everyone in the House, it is not dictate the terms to the chair. I have had no House will resume his seat. ment Services other than the conversation order raised by the Leader of the House: I that I relayed to the Manager of Opposition would have thought the appropriate preceBusiness yesterday evening. The Minister for dence would be as follows. You can of Employment Services has indicated that he course give indulgence to any member of the wishes to address the House and I recognise House, as you see fit, at any point in time, him. but the unfinished business here surely Employment Services) (9.35 a.m.)MrA request for a withdrawal is a simple matSpeaker, I seek your indulgence briefly to ter-a simple, ordinary matter. It happens clear up an apparent misunderstanding. every day in this chamber and every day you exercise your authority. If, after the minister point of order. A member of parliament has some sort of indulgence, that is a matter enrequired the minister to withdraw a statement tirely for you. But what is there in precethat he made yesterday. That is the only dence is that you now have the first opportumatter that ought to be before the House. nity to act, with this minister being in the That is all. House after he has been requested to withof order. I understand that you intend to proment who has been offended by something vide the minister with indulgence, and that he has said, and that ought to take precedoes not provide the Leader of the Opposidence over anything else he does. ter for Employment Services has to say and that I will recognise a point of order on the then respond appropriately in the interests of current ruling before me. I recognise the all members. Leader of the House. of order: I refer to page 476 of House of Mr Speaker, but the facts are that the minisRepresentatives Practice. How can giving ter has not been asked by you to withdraw. leave to the minister to make a statement What the Leader of the Opposition is atmeet the requirements of the standing orders: tempting to do is beguile you into preventing Having been asked to withdraw a remark a Memthe minister from addressing the House, ber ... must withdraw the remark immediately, in which you indicated was your intention. We a respectful manner, unreservedly and without simply invite you to proceed with your stated conditions or qualifications. intention without further delay. How can a statement meet that requirement?",5,Minister For Employment Privacy Amendment Private Services Withdrawal Of Sector Legislation Comments
11,"Deal Of Latitude, As He Knows. He Is Aware Of Mr Reith","Mr Speaker, I raise a further",6,Minister For Employment Privacy Amendment Private Services Withdrawal Of Sector Legislation Comments
12,Mr Mcmullan,The point of order. I am simple. It is clear from your remarks that you,6,Minister For Employment Privacy Amendment Private Services Withdrawal Of Sector Legislation Comments
13,Mr Speaker,The Manager of Oppoposition side. We have all read page 1 of the,6,Minister For Employment Privacy Amendment Private Services Withdrawal Of Sector Legislation Comments
14,The Right Of Any Member Of The House To Mr Speaker,The Leader of the,6,Minister For Employment Privacy Amendment Private Services Withdrawal Of Sector Legislation Comments
15,Conversation With The Minister For Employ,"Mr BeazleyMr Speaker, on the point of",6,Minister For Employment Privacy Amendment Private Services Withdrawal Of Sector Legislation Comments
16,Mr Abbott (Warringah,Minister for would take precedence over any indulgence.,6,Minister For Employment Privacy Amendment Private Services Withdrawal Of Sector Legislation Comments
17,Mr Beazley,"Mr Speaker, I rise on a has withdrawn, you are prepared to give him",6,Minister For Employment Privacy Amendment Private Services Withdrawal Of Sector Legislation Comments
18,Mr Reith,"Mr Speaker, I rise on a point draw a statement about a member of parlia",6,Minister For Employment Privacy Amendment Private Services Withdrawal Of Sector Legislation Comments
19,Tion An Opportunity For Debate. Mr Reith,"Mr Speaker, on the further",6,Minister For Employment Privacy Amendment Private Services Withdrawal Of Sector Legislation Comments
20,Mr Speaker,As the occupier of the point of order,6,Minister For Employment Privacy Amendment Private Services Withdrawal Of Sector Legislation Comments
21,"Chair, I Will Listen Closely To What The Minis",Mr SPEAKER-This is the last occasion,6,Minister For Employment Privacy Amendment Private Services Withdrawal Of Sector Legislation Comments
