text,pageNumbers
"Wednesday, 5 May 1993 RECORD OF DEBATES AND",11
PROCEEDINGS,11
Mr BEAZLEY (Swan-Leader of the,11
Mr SPEAKER (Bon. Stephen Martin) House) (10.03 a.m.)-I move:,11
"took the chair at 10 a.m., and read prayers. (1) That the House:",11
(a) authorises the publication of the record of,11
"PARLIAMENTARY SECRETARIES debates and proceedings in the House,",11
known as Parliamentary Debates and,11
"Mr BEAZLEY (Swan-Leader of the Hansard, prepared by the Department of the",11
House) (10.01 a.m.)-I move: Parliamentary Reporting Staff; and,11
(b) affums the right of committees and subcomMONICA,11
That: mittees (however described) of the House,11
and joint committees of the House and the,11
(\) for the purposes of the procedures of the Senate to authorise the publication of (i),11
"House, any reference to Ministers shall be documents and records and (ii) tmnscripts of",11
"taken to include Parliamentary Secretaries, evidence prepared by the Department of the",11
with the exception of references to questions,11
"Parliamentary Reporting Staff, subject to",11
seeking information (chapter XI of the Stand- any particular provisions in relevant legislaMONICA,11
"ing Orders). tion, resolutions or Standing Orders.",11
(2) this resolution continue in force unless and (2) That this resolution continue in force unless,11
until amended or rescinded by the House in and until amended or rescinded by the House,11
this or a subsequent Parliament. in this or a subsequent Parliament.,11
Effectively this motion gives Parliamentary This motion is proposed so as to give the,11
Secretaries the authority of a Minister in House's explicit authorisation to the publicaMONICA,11
operating in this chamber. It is a process that tion of the Hansard report of its proceedings.,11
was tried in the last Parliament and found to It will also affirm the right of committees and,11
be successful. It returns here because of subcommittees to authorise the publication of,11
doubts in the mind of the Clerk as to whether documents and transcripts of evidence proMONICA,11
or not motions passed in the previous Parlia- duced by the Department of the Parliamentary,11
ment were sufficient to cover the operations Reporting Staff.,11
of Parliamentary Secretaries in this Parlia- Honourable members will be aware that for,11
"ment. Therefore, the motion has now been some years now they have had access to a",11
"framed in a fashion-and I am assured of this database containing, among other things, the",11
"by the Clerk-which means that, until parlia- Hansard report of the proceedings of each",11
"ments subsequently decide, these procedures House. It has been proposed that on 1 July a",11
will apply to the operations of Parliamentary trial will commence under which the parliaMONICA,11
Secretaries in the House. mentary database could be made available to,11
"a number of external users, subject to the",11
This has been part of a process of substan- approval of the Presiding Officers.,11
