text,pageNumbers
PARLIAMENTARY DEBATES,10
HOUSE OF REPRESENTATIVES,10
Hansard,10
1990,10
FIRST SESSION OF THE THIRTY-SIXTH PARLIAMENT,10
(FIRST PERIOD),10
"The House, on 22 December 1989, adjourned until 2 p.m. on Tuesday, 20 February 1990. By proclaMONICA",10
mation the Thirty-fifth Parliament was dissolved by His Excellency the Governor General on 19 February,10
"1990. The Thirty-sixth Parliament was convened for the dispatch of business on 8 May 1990, and the First",10
Session commenced on that day.,10
"High Court of Australia, to administer the",10
"Tuesday, 8 May 1990 oath or affirmation of allegiance to the",10
Queen required by the Constitution to be,10
PROCLAMATION taken or made by members of the House,10
of Representatives.,10
"The House met at 10.30 a.m., pursuant",10
to the proclamation of His Excellency the RETURNS TO WRITS,10
Governor General. The Clerk laid on the table returns to,10
The Clerk read the proclamation. the 8 writs for the election of members of,10
the House of Representatives held on 24,10
OPENING OF THE PARLIAMENT March 1990.,10
"The Usher of the Black Rod, being anMONICA",10
"nounced, was ad:initted, and delivered the MEMBERS SWORN",10
message that the Deputy of the Gover- The following honourable members,10
nor-General for the opening of the Parmade and subscribed the oath or affirmaMONICA,10
liament desired the attendance of tion of allegiance:,10
honourable members in the Senate chamMONICA,10
"ber forthwith. Aldred, Kenneth James, Deakin, Victoria",10
"Anderson, John Duncan, Gwydir, New",10
Honourable members attended accordSouth Wales,10
"ingly, and having returnedMONICA",10
"Andrew, John Neil, Wakefield, South",10
AUTHORITY TO ADMINISTER Australia,10
"OATH OR AFFIRMATION Atkinson, Rodney Alexander, Isaacs,",10
The Deputy authorised by the GoverVictoria,10
"nor-General to administer the oath or afBailey, Frances Esther, MCEwen, Victoria",10
"firmation entered the chamber. Baldwin, Peter Jeremy, Sydney, New",10
South Wales,10
"RETU-NS TO WRITS Beale, Julian Howard, Bruce, Victoria",10
"The Clerk read the authority authorisBeazley, Kim Christian, Swan, Western",10
ing the Honourable Sir Anthony Frank Australia,10
"Mason, AC, KBE, Chief Justice of the Beddall, David Peter, Rankin, Queensland",10
"Bevis, Archibald Ronald, Brisbane, Duffy, Michael John, Holt, Victoria",11
"Queensland Duncan, Peter, Makin, South Australia.",11
"Bilney, Gordon Neil, Kingston, South Edwards, Harold Raymond, Berowra, New",11
Australia South Wales,11
"Blewett, Neal, Bonython, South Australia Edwards, Ronald Frederick, Stirling,",11
"Bradford, John Walter, MCPherson, Western Australia",11
"Queensland Elliott, Robert Paul, Parramatta, New",11
"Braithwaite, Raymond Allen, Dawson, South Wales",11
"Queensland Fatin, Wendy Frances, Brand, Western",11
"Brereton, Laurence John, Kingsford- Australia",11
"Smith, New South Wales Ferguson, Laurie Donald Thomas, Reid,",11
"Broadbent, Russell Evan, Corinella, New South Wales",11
"Victoria Fife, Wallace Clyde, Hume, New Sou.th",11
"Brown, Neil Anthony, Menzies, Victoria Wales",11
"Brown, Robert James, Charlton, New Filing, Paul Anthony, Moore, Western",11
South Wales Australia,11
"Burr, Maxwell Arthur, Lyons, Tasmania Fischer, Timothy Andrew, Farrer, New",11
"Cadman, Alan Glyndwr, Mitchell, New South Wales",11
"South Wales Fisher, Peter Stanley, Mallee, Victoria",11
"Cameron, Ewen Colin, Indi, Victoria Fitzgibbon, Eric John, Hunter, New South",11
"Campbell, Graeme, Kalgoorlie, Western Wales",11
"Australia Ford, Frank Allen, Dunkley, Victoria",11
"Carlton, James Joseph, Mackellar, New Free, Ross Vincent, Lindsay, New South",11
South Wales Wales,11
"Catley, Robert, Adelaide, South Australia Gallus, Christine Anne, Hawker, South",11
"Chaney, Frederick Michael, Pearce, Australia .",11
"Western Australia Gayler, John, Leichhardt, Queensland",11
"Charles, Robert Edwin, La Trobe, Victoria Gear, George, Canning, Western AusMONICA",11
"Charlesworth, Richard Ian, Perth, Western tralia",11
"Australia Gibson, Garrie David, Moreton, QueensMONICA",11
"Cobb, Michael Roy, Parkes, New South land",11
"Wales Good luck, Bruce John, Franklin, TasMONICA",11
"Connolly, David Miles, Bradfield, New mania",11
"South Wales Gorman, Russell Neville Joseph,",11
"Costello, Peter Howard, Higgins, Victoria Greenway, New South Wales",11
"Courtice, Brian William, Hinkler, Grace, Edward Laurence, Fowler, New",11
Queensland South Wales,11
"Cowan, David Bruce, Lyne, New South Griffiths, Alan Gordon, Maribyrnong,",11
Wales Victoria,11
"Crawford, Mary Catherine, Forde, Hall, Raymond Steele, Boothby, South",11
Queensland Australia,11
"Crean, Simon Findlay, Hotham, Victoria Halverson, Robert George, Casey, VictoMONICA",11
"Crosio, Janice Ann, Prospect, New South ria",11
"Wales Hand, Gerard Leslie, Melbourne, Victoria",11
"Darling, Elaine Elizabeth, Lilley, Hawke, Robert James Lee, Wills, Victoria",11
"Queensland Hawker, David Peter Maxwell, Wannon,",11
"Dawkins, John Sydney, Fremantle, Victoria .",11
"Western Australia Hewson, John Robert, Wentworth, New",11
"Dobie, James Donald Mathieson, Cook, South Wales",11
"New South Wales Hicks, Noel Jeffrey, Riverina-Darling,",11
