speakerGroups,speaker,theText,pageNumbers,title
0,"Thursday, 23 June 2005 Not The Model Of Efficiency And Decency That","---we are down here, but I am sure Gerard will took the chair at 9 am and read prayers. the Senate does its work. Helen and the whole team to be of very great assistance. They manage to deal with everyHouse) (9.01 am)-On indulgence, may I body in an incredibly courteous fashion. say that this is a day of significant retireEven at times when, in here and perhaps bements. One of the significant retirements is yond this place, we are not exactly dealing in fact our Parliamentary Liaison Officer. with each other with courtesy, they are alGerard Martin is going to another place, and ways unfailingly courteous and full of assisI trust that he will help that other place to tance, and we will miss both of them. I am function with the same brisk efficiency that not sure who is replacing them, but we will this place functions with. I would like to be meeting the new parliamentary liaison place on record my gratitude and that of the officers when we return after the winter regovernment to Gerard and his team. Gerard cess. At least we know that Gerard will still has performed his difficult and burdensome be here around the building, so we can pertasks over the last couple of years with effihaps see him in more convivial circumciency, with courtesy and with fairness. He stances than sitting in the box during queshas upheld the traditions of the parliament tion time and on other occasions. and the highest standards of the Australian will miss him. am)-On indulgence, I would like to place on record my appreciation to Gerard Martin, Honourable members-Hear, hear! Helen and the team for their outstanding Ms GILLARD (Lalor) (9.02 am)-On work in the Parliamentary Liaison Office. indulgence, may I join on this occasion with Most of the credit for the smooth running of the Leader of the House. As you would be this place lies not with those who stand on aware, Mr Speaker, there is not much that the their feet in here but with those who work Leader of the House and I agree onbehind the scenes-in fact, I think it is certainly not health, appropriate dress for probably despite the efforts of those of us in social occasions and matters like that-but here, at times. It is an enormous effort liaisone thing that we can certainly agree on is ing between government, opposition, minisour thanks to both Gerard and Helen, both of ters, shadow ministers, the Leader of the whom are moving today from their current House, the Manager of Opposition Business positions assisting us as the Parliamentary and the two whips. It is a great credit to Liaison Officer and the assistant respectively. Gerard Martin, Helen and the rest of the I think Gerard has perhaps disappointed team. You are true public servants in every members of this House by deciding to transsense of the word, and your contribution to fer to the Senate, which is not something that this place, to parliament and through it to the I think anybody who works in or around the public has been outstanding. We greatly apHouse of Representatives should aspire to, preciate and acknowledge your work. Thank but we wish Gerard very well in that new you. career over in the other place. I am sure it is",19,Setup
1,The Speaker (Hon. David Hawker) Be Bringing A New Style To The Way In Which,,19,Parliamentary Liaison From The Point Of View Of The Opposition Officers We Have Always Found Gerard Personally
2,Mr Abbott (Warringah,Leader of the,19,Parliamentary Liaison From The Point Of View Of The Opposition Officers We Have Always Found Gerard Personally
3,Public Service. We Wish Him Well And We Mr Bartlett (Macquarie) (9.03,"dulgence: unlike the Chief Government (MEDICARE SAFETY-NETS) BILL 2005 Whip, I lacked a bit of experience, I must First Reading say. When I was first introduced to Gerard Bill presented by Mr Abbott, and read a Martin as a PLO, I thought he was probably first time. a member of a dangerous organisation! ThenI found to my consternation that he was alSecond Reading and looking at my speaking lists. But I very Health and Ageing) (9.07 am)-I move: quickly came to understand just what a critiThat this bill be now read a second time. cal role Gerard and his team play. As my The Howard government is committed to colleague the Manager of Opposition Busiprotecting and strengthening Medicare and ness has said, it is somewhat of a disapdelivering high quality, affordable health pointment that he should retreat to another care to all Australians. place, because we thought so highly of him. I would like to wish both him and Helen TuThe measures in the Health Insurance dor, who completes five years service in the Amendment (Medicare Safety-nets) Bill office, all the very best. If they do bring 2005 will maintain the sustainability of the some order into the new challenges in the extended Medicare safety net and ensure Senate, that could be a good thing. Last but Australians will continue to receive addinot least, I certainly hope that the head of the tional protection for high out-of-pocket Department of the Prime Minister and Cabimedical costs. net, Peter Shergold, understands just how From1 January 2006, the extended Medimembers of this place have come to regard care safety net thresholds will increase from the efforts of Gerard and his team and how $306.90 to $500 for concession card holders indispensable they are to the smooth funcand families in receipt of family tax benefit tioning of this House. part A, and from $716.10 to $1,000 for all thresholds will continue to apply to all famiHouse) (9.06 am)-I move: year. That standing order 31 (automatic adjournment of the House) and standing order 33 (limit on The changes give effect to the thresholds business after 9.30 p.m.) be suspended for this initially proposed by the government in late sitting. 2003. For the information of members here and any An overriding concern for the government who may be watching, I am advised that the was the long-term sustainability of the safety Senate is likely to sit this evening in an atnet. When first announced, the estimated cost tempt to finish its business. I regret to say of the extended safety net was just $440 milthat it will therefore be necessary for us to sit lion over the four years to 2006-07. After the this evening as well. Hopefully it will not be safety net came into operation it became late, but we are in the hands of the other clear that these estimates needed to be replace-a place which we hope will soon be vised. More people than expected qualified much better managed. for safety net benefits, out-of-pocket medical Question agreed to. expenses turned out to be considerably higher, and some specialties shifted charges",19,Parliamentary Liaison From The Point Of View Of The Opposition Officers We Have Always Found Gerard Personally
4,Mr Price (Chifley) (9.04 Am),On inHEALTH INSURANCE AMENDMENT,20,Business Other Families And Individuals The Current
5,Ways Talking To Anna George In My Office Mr Abbott (Warringah,Minister for,20,Business Other Families And Individuals The Current
6,Mr Abbott (Warringah,"Leader of the lies and individuals for the current calendaronto Medicare out-of-hospital items so that HEALTH INSURANCE AMENDMENT their patients could claim safety net entitle(MEDICAL SPECIALISTS) BILL 2005 ments. If the government had not acted First Reading quickly, costs would have blown out to $1.4 Bill presented by Mr Abbott, and read a billion over the four years to 2007-08. first time. Increasing the Medicare safety net threshSecond Reading olds has been a tough decision. It reflects the omy, along with our support for Australia’s Health and Ageing) (9.11 am)-I move: world-class health system. That this bill be now read a second time. The extended Medicare safety net is the The purpose of this bill is to reduce unnecesmost important improvement to our health sary red tape for medical practitioners seeksystem since Medicare commenced in 1983. ing to provide specialist or consultant physiIt demonstrates this government’s continued cian services under Medicare. commitment to helping all Australians to This legislative amendment does not beafford quality health care. Increasing the stow specialist or consultant physician status thresholds will enable the government to on medical practitioners. Medical practitioretain what is still, by any measure, a generners are identified as specialists or consultant ous safety net. physicians by medical boards when they are Through its continued commitment to the registered, on the advice of specialist mediextended safety net, this government is incal colleges. vesting nearly $1.1 billion over the next four With Australia experiencing shortages in years to ensure that individuals and families the medical workforce, it is important that are protected against high out-of-pocket the administrative processes are made more costs for health care. The safety net will conefficient and timely, to ensure that appropritinue to help the estimated 1.5 million people ately qualified specialists and consultant who will benefit in 2006 under the higher physicians enter the workforce as quickly as thresholds. possible. Australia has one of the best health sysCurrently, a medical practitioner can be tems in the world. For the past 20 years, recognised as a specialist for Medicare reMedicare has provided Australians with esbate purposes in three ways. sential protection through affordable access The first is fellowship of a specialist to medical, pharmaceutical and hospital sermedical college. vices. Through the measures in this bill, this government demonstrates its continued supThe second is application to my delegate, port for the extended Medicare safety net. who refers applications to a state or territory Through this bill, the government is continuSpecialist Recognition Advisory Committee ing its investment in affordable access to (SRAC). high quality health care. I commend the bill The third, for medical practitioners not to the House and present the explanatory domiciled in Australia at the time of applicamemorandum. tion, is application to the health minister to Bill (on motion by Ms Gillard) admake a determination to recognise a medical journed. practitioner as a specialist or consultant physician.",20,Business Other Families And Individuals The Current
7,Government’s Commitment To A Strong Econ,"Mr ABBOTT (Warringah-Minister forReferrals to SRACs may have been effecwill significantly reduce the time between tive in the past by providing a structure for the receipt of an application from a medical the assessment of specialists who were not practitioner and recognition. I commend the eligible for automatic recognition. However, bill to the House and present the explanatory since these committees were established, memorandum. specialist medical colleges and medical regBill (on motion by Ms Gillard) adistration boards have developed and implejourned. mented assessment processes which are now used by the SRACs in making their determinations. Because SRACs rely on the assessCustoms Tariff Proposal No. 3 (2005) and medical registration boards in making General) (9.15 am)-I move: their decision, the committees now add a Customs Tariff Proposal No. 3 (2005). redundant administrative layer to processing The tariff proposal that I have just tabled applications. This unnecessarily extends the contains alterations to the Customs Tariff Act period of time between the registration of 1995 with effect from 1 July 2005. specialists and when they can provide services which attract Medicare rebates. The proposal amends additional note 3(a) to chapter 22 to the tariff to insert an upper It is proposed in this legislation to disband limit of 22 per cent alcohol content in respect the SRACs. The amendment proposes to of grape wine. This amendment reflects make provision for my delegate to act dichanges to the regulations to the A New Tax rectly on my behalf, without referral to a System (Wine Equalisation Tax) Act 1999. SRAC. Under the new process, registered The amendment will ensure that imported medical practitioners will apply in writing wine of fresh grapes, that does not comply directly to me through my delegate in the with the revised additional note, will attract Health Insurance Commission for recognithe same rate of customs duty as excise duty tion as specialists or consultant physicians on similar locally manufactured product. for the purposes of the act. The proposal also inserts references to adTransitional arrangements have been proditional note 4 to chapter 22 in tariff subvided to ensure the continued recognition of headings 2206.00.30 and 2206.00.4. Addispecialists and consultant physicians previtional note 4 defines ‘grape wine product’ for ously recognised by SRACs. Provision has the purposes of the tariff. Grape wine prodalso been made for the delegate to immediuct includes certain wine based cream beverately consider applications currently with ages, generically described as ‘Irish Cream’. SRACs at the time they are disbanded. When imported into Australia, these goods Those sections of the Health Insurance are subject to excise equivalent rates of cusAct 1973 relating to the provision of Meditoms duty, while similar goods manufactured care provider numbers remain in effect. in Australia are subject to the wine equalisaThis bill represents a minor procedural tion tax. change. The objective of the change is to The new references will correct this reduce the complexity currently involved in anomaly and allow Irish Cream to be subject the recognition of medical specialists and to the wine equalisation tax and applicable consultant physicians under the Medicare rates of customs duty. system. It is anticipated that this amendment",21,Business Other Families And Individuals The Current
8,Ment Advice Of Specialist Medical Colleges Mr Ruddock (Berowra,"AttorneyA summary of the alterations contained in the subject of a tariff concession order. A this proposal has been prepared and is being tariff concession order provides concessional circulated. tariff rates for imported goods where there Debate (on motion by Mr Edwards) adare no substitutable domestically produced journed. goods. The removal of the three per cent tariff to a customs duty rate of Free will reduce business input costs, increase the internaBILL (No. 2) 2005 tional competitiveness of Australian busiFirst Reading ness, and encourage investment in efficient Bill presented by Mr Ruddock, and read and sustainable industries. I commend the a first time. bill to the House and table the explanatory Second Reading memorandum. General) (9.17 am)-I move: journed. That this bill be now read a second time. HIGHER EDUCATION LEGISLATION The Customs Tariff Amendment Bill (No. 2) AMENDMENT (2005 BUDGET 2005 contains amendments to the Customs MEASURES) BILL 2005 Tariff Act 1995 that have previously been First Reading introduced into the parliament as customs Bill presented by Dr Nelson, and read a tariff proposals. first time. The bill amends additional note 3(a) to Second Reading chapter 22 of the tariff to insert an upper Dr NELSON (Bradfield-Minister for limit of 22 per cent alcohol content in respect Education, Science and Training) (9.19 of grape wine. The amendment will ensure am)-I move: that imported wine of fresh grapes, which That this bill be now read a second time. does not comply with the revised additional note, will attract the same rate of customs Mr Speaker, Australia’s higher education duty as excise duty on similar locally manusector will benefit from a record $7.8 billion factured product. investment from the Australian government in this year’s 2005-06 budget. The bill inserts references to additional note 4 to chapter 22 in tariff subheadings The government’s continuing commitment 2206.00.30 and 2206.00.4. Additional note 4 to the university sector will provide students defines ‘grape wine product’, which includes with better facilities and more course options certain wine based cream beverages, generiacross a range of campuses. cally described as ‘Irish Cream’. When imThe bill now before the House is a clear ported into Australia, these goods are subject expression of that commitment to higher to excise equivalent rates of customs duty, education, as it will honour two important while similar goods manufactured in Austraelection commitments for new places and lia are subject to the wine equalisation tax. capital funding. The new references will correct this anomAs part of a range of new initiatives and to aly. reflect Australia’s global expertise in many The bill also removes the three per cent academic fields-such as tropical sciencestariff applying to ‘business inputs’ that are this bill contains additional funding to ensure",22,Tariff Proposals
9,Mr Ruddock (Berowra,"AttorneyDebate (on motion by Mr Edwards) adthat our universities remain at the forefront the nation. Equally, breakthroughs in the of new skills developments. production of plants that thrive in a tropical Recognising the importance of tropical climate can boost crop production and the sciences, the Australian government is prolivelihoods of many Australians, particularly viding $26 million to James Cook University those in rural and regional communities. for veterinary science and tropical agriculIt is essential that Australia continues to ture. The House should understand that the develop expertise in these fields. The new direct advocacy of the members for Leichveterinary science school and undergraduate hardt and Herbert have contributed to this courses will help position James Cook Uniextraordinary and significant outcome. versity as a leader in teaching and research in Earlier this year the government allocated veterinary science and tropical agriculture infrastructure funding of $12 million over and will further enhance Australia’s internatwo years towards a new veterinary science tional reputation in these fields. school at James Cook University’s TownsThese measures are a reflection of the ville campus with a link to the Cairns camAustralian government’s commitment to pus. The new facility will fulfil all of the providing the communities of North Queennormal functions of a veterinary school, but sland with greater opportunities in education in addition will provide a unique focus on and research. tropical animal husbandry and diseases. The The other vitally important election comnew school will play a role in developing mitment delivered through this bill relates to preventative measures and early detection of new capital infrastructure funding for the diseases in livestock. University of Western Sydney. Teaching, This bill now before us also provides research and student facilities at the univerfunding for 50 new places to establish a new sity will be enhanced through an additional undergraduate degree program in veterinary $25 million over the next three years. science at the school from 2006. These In 2006, $7 million will be provided for places will provide opportunities to students, the development of a medical training facilparticularly in rural and regional Australia, ity at the Campbelltown campus. The new and ensure that Australia has veterinarians medical training facility will complement the with expertise in tropical animal diseases. existing wide range of health science disciFunding for 50 new places will also be alplines offered at the Campbelltown campus, located to create a new undergraduate degree including occupational therapy and medical program in tropical agriculture, giving science. graduates expertise in tropical plants and The facility will also complement the uniexposure to vital research in areas such as versity’s proposed new medical school, to sugar cane production. which the government committed $18 milThese 100 new places in veterinary scilion in the 2004-05 budget. This brings the ence and tropical agriculture commence in government’s total contribution to the medi2006 and will rise to 274 places by 2009, at a cal school to $25 million. The new medical cost of $13.9 million. school will enhance and improve the teachExpert understanding in tropical animal ing hospital capacity and the delivery of diseases and in tropical agriculture is vital to health and medical services in western and Australia’s national prosperity. New diseases south-western Sydney. It will also provide can have devastating consequences across opportunities for local students to study The bill will also amend the maximum medicine in their own region. funding amounts under the Higher Education In addition to the medical training facility, Support Act 2003 and maximum amounts for $2 million will be provided to the University transition funding under the Higher Educaof Western Sydney for an upgrade of retion Funding Act 1988, to reflect indexation search and training facilities at the Hawkesincreases. bury campus. The Hawkesbury campus is a The bill will enhance the quality of our national leader in plant, agricultural and food higher education system and the choices systems research and in the teaching of available to students. It reflects the Austracourses related to these activities. The funds lian government’s strong commitment to will assist the university to purchase a stateensuring that Australia’s higher education of-the-art environmental electron microsector continues to play a vital role in our scope, which will be uniquely adapted for economic, cultural and social development. agricultural and food systems research and Full details of the measures in the bill are which will significantly enhance the univercontained in the explanatory memorandum sity’s capacity for performing high-level biothat has been circulated to honourable memlogical analysis. The funds will also help to bers. upgrade critical teaching infrastructure, with I commend the bill to the House and preparticular emphasis on horticulture, food sent the explanatory memorandum. science and agricultural sciences. Debate (on motion by Mr Edwards) adThe government will also provide $9 miljourned. lion towards the establishment of a new building for teaching at the university’s ParHIGHER EDUCATION LEGISLATION ramatta campus. The university also has a AMENDMENT (WORKPLACE strong record in teaching health and human RELATIONS REQUIREMENTS) service professionals, including at the ParBILL 2005 ramatta campus. The new teaching building First Reading will greatly expand the current capacity of Bill presented by Dr Nelson, and read a the Parramatta campus. first time. A further investment of $7 million will asSecond Reading sist with construction of a new library at the Dr NELSON (Bradfield-Minister for university’s Penrith campus. The funding Education, Science and Training) (9.27 will provide library services for staff and am)-I move: students and expand the library services available for the benefit of the broader PenThat this bill be now read a second time. rith community. The library will also enable If Australia is to remain internationally comthe university to use existing space to conpetitive in the provision of higher education, solidate its visual and performing arts into a it needs to and must promote the sustainabilnew creative arts precinct on the campus. ity of its universities by enabling them to These initiatives reflect the Australian attract, retain and reward the very best peogovernment’s ongoing commitment to buildple. ing better and stronger communities and The higher education sector is not immune providing education opportunities in Western from the pressure to adapt, reform and beSydney. come even more productive. Universities need to be able to respond flexibly to the The new requirements will provide unineeds of their constituencies including potenversities and staff with choice. The requiretial and existing students, staff, employers, ments do not prescribe particular outcomes. industry and local, regional and national Choice is about providing scope for indicommunities. viduals to negotiate pay and conditions that Increasingly, both Australian and overseas suit their particular needs and circumstances students will make their choices on the basis rather than being locked into the one-sizeof cost, reputation for standards and local fits-all approach that has prevailed in the and overseas career options. In order to sector to date. compete with international universities, AusIndividual choice in agreement making tralian universities need to be able to attract means that employees are able to choose the and keep the best staff and to reward them type of workplace agreement that suits them accordingly. best. Australian workplace agreements, or The Australian government has committed AWAs, allow greater flexibility than certified an additional $11 billion to the higher educaagreements to provide bonuses and other tion sector over 10 years through the 2003 rewards for high performance. They assist Our Universities: Backing Australia’s Future employers to offer incentives to attract and package. However, this funding will only retain the best employees. However, there is assist the sector if it is accompanied by no requirement for an individual staff memchanges in the way universities are managed. ber to accept the offer of an AWA. Management and leadership capability are As with collective agreements, AWAs are central to the ability of universities to deal subject to a no disadvantage test. No-one can with the many challenges that they face. be coerced into accepting an AWA. Staff While the government recognises that, have the option to be covered by a certified over the last few years, some workplace reagreement if there is one in place, and staff form has occurred in the university sector, may appoint someone, including the union, change has been slow and there is a need for to represent them in AWA negotiations, if further reform in line with the government’s that is their choice. broader workplace agenda. The requirements will encourage universiTo accelerate the pace of workplace reties to develop a culture of direct communiform in higher education the Minister for cation with their staff. They will promote Employment and Workplace Relations, the freedom of choice of representation. It is the Hon. Kevin Andrews MP, and I announced right of all employees to choose to belong or on 29 April 2005 new workplace relations not belong to a union, without discrimination requirements for universities which will profor their choice. vide staff with greater choice, and instituThe requirements will enhance workplace tions with more flexibility. The reforms are flexibility, which will assist institutions to consistent with the government’s broader respond to changing requirements and chalworkplace reform agenda. lenges and develop a diverse and adaptable The bill now before us will give force to work force. The reforms will assist instituthe higher education workplace relations tions to develop individual and organisarequirements, which will be guidelines under tional performance, including rewarding the Higher Education Support Act 2003. high-performing individuals, efficiently managing underperformance and strengthenability and quality of Australian higher eduing management and leadership capability. cation are to be assured. The requirements will have no impact on I commend the bill to the House and preacademic freedom, and universities will still sent the explanatory memorandum. be able to make their own decisions about Debate (on motion by Mr Edwards) adthe appointment of staff and about other acajourned. demic activities. Universities will need to comply with (EXCISE) LEVY AMENDMENT these requirements in their workplace BILL 2005 agreements, policies and practices, as well as First Reading with the national governance protocols, in order to be eligible for the increase in assisBill presented by Mr Entsch, and read a tance funding under the Commonwealth first time. Grants Scheme, those increases being five Second Reading under section 33-15 of the Higher Education Parliamentary Secretary to the Minister for Support Act 2003. Industry, Tourism and Resources) (9.34 The requirements will apply to all workam)place agreements made and approved or cerThat this bill be now read a second time. tified after 29 April 2005. The purpose of the National Residue Survey By 30 November 2005, all universities (Excise) Levy Amendment Bill 2005 is to will need to meet the requirements in their amend the National Residue Survey (Excise) workplace policies and practices, except Levy Act 1998. where compliance with the requirements The amendments to the National Residue would be directly inconsistent with the Survey (Excise) Levy Act 1998 will raise the higher education provider’s obligations unmaximum levy rate allowable to 0.10 of a der its existing certified agreement as at 29 cent per kilogram and increase the operative April 2005. levy rate for the purposes of residue monitorUniversities will need to meet the reing on all apples and pears-including fresh, quirements in their certified agreement, or juicing and processing fruit-produced in agreements, either this year or next, dependAustralia that are sold or used in the producing on the nominal expiry date of their existtion of other goods from the present rate of ing certified agreement as at 29 April 2005. 0.060 of a cent per kilogram to 0.075 of a All universities will be required to comply cent per kilogram. The current operative rate with the workplace reforms and national of the national residue survey levy is set in governance protocols every year after 2007 the regulations at the maximum allowable in order to maintain the 7½ per cent increase rate of 0.060 of a cent per kilogram. in assistance funding under the CommonThe levy recovers the cost of the apple wealth Grants Scheme. and pear industry’s domestic residueImplementation of these reforms will asmonitoring program. sist to ensure that universities can be more The amendments are part of a package of competitive nationally and internationally. strategies being put in place on behalf of the They are necessary if the long-term sustainapple and pear industry, and the increase in",23,Customs Tariff Amendment
