document,topic,gamma
1958,2,2.8675415661248394e-6
1946,2,1.0589647185114068e-6
1942,2,6.8148809132443845e-6
1982,2,1.0785041750651264e-6
1989,2,1.6885160447252453e-6
1975,2,9.355819466002569e-6
1921,2,5.563388350022625e-6
1963,2,3.5524295899792088e-6
1931,2,1.0697297019208482e-6
1906,2,1.760147760154001e-5
1991,2,1.0415717500637489e-6
1905,2,0.05301325865316067
1951,2,1.0252625536286564e-6
1948,2,1.0655476457763626e-6
1939,2,3.833081279514298e-6
1914,2,1.621362514949629e-5
1924,2,1.7548695668748813e-6
1969,2,1.0792346881094104e-6
1993,2,3.6850369660829693e-6
1904,2,5.648058039716118e-6
1928,2,1.6494733592346242e-6
1973,2,8.055076641015759e-6
1901,2,0.9999325998343984
1911,2,1.911779527181896e-5
1979,2,7.353632675851508e-7
1972,2,1.696770452241346e-6
1925,2,4.559572360139292e-6
1983,2,1.4468500272594925e-6
1970,2,1.2935312579291854e-6
1917,2,3.2224011496546875e-6
1936,2,1.679094568896962e-6
1977,2,9.437215443726015e-7
1955,2,5.50697677613404e-7
1926,2,5.150278979952863e-6
1902,2,1.3628218828459026e-5
1956,2,1.4741356533424025e-6
1990,2,2.9291316411704005e-6
1916,2,4.3107748569455934e-06
1922,2,2.1050005286155392e-6
1947,2,1.0498165868992546e-6
1908,2,1.5501439022491287e-5
1957,2,5.498727706989766e-6
1923,2,1.03717288870222e-5
1967,2,1.910101349439446e-6
1943,2,2.9821963864117023e-6
1961,2,1.9612570998797594e-6
1976,2,7.250100409737883e-6
1959,2,2.664627901022023e-6
1913,2,1.859951363304761e-5
1954,2,8.763253023845233e-7
1934,2,1.823630794301516e-6
1966,2,3.9011445553891555e-6
1968,2,3.255640899011795e-6
1974,2,7.7888289367904e-6
1937,2,5.79630838595905e-6
2007,3,1.0341032737222206e-6
2017,3,4.432187670928297e-7
2009,3,8.07736029355045e-7
1903,3,6.579442546829155e-6
1999,3,1.0870968952746725e-6
2003,3,8.357895614072104e-7
1998,3,1.6086192267584575e-6
1907,3,3.2101822332688165e-6
2008,3,6.110510507691129e-7
2015,3,5.733003201785606e-7
2004,3,1.0376081527892345e-6
2011,3,1.0561912142789795e-6
1997,3,1.2228655023822916e-6
2005,3,3.00006831032382e-6
2013,3,1.3628875335894982e-6
1953,3,1.225523175504897e-5
1945,3,1.7008508403726264e-5
1918,3,0.9999649259481177
1984,3,4.587462506328005e-7
1949,3,1.2810139592080009e-5
1986,3,1.4355559404496728e-6
1944,3,3.356362917887772e-5
2010,3,1.1098689186169795e-6
2001,3,1.9344527369491232e-6
1929,3,1.2418676341843806e-5
1996,3,3.217054588292538e-6
1988,3,3.3348196243272044e-6
1950,3,9.904462854187693e-6
1941,3,0.08165326464205526
1987,3,1.7071106438283344e-6
1915,3,0.999859927336572
1927,3,1.622190399515634e-5
1912,3,1.7507355730969648e-5
1995,3,7.834301679122665e-7
1985,3,1.266531024871947e-6
1962,3,1.2076930422970781e-5
2014,3,2.103452261260743e-6
1940,3,0.4608947620060687
2016,3,3.3946979087552784e-6
2006,3,1.1728870655398158e-6
2012,3,7.486263226171799e-7
1910,3,1.6222701933867013e-5
1952,3,1.7909802549095157e-5
1935,3,7.679726476702003e-6
2000,3,1.6814438653524863e-6
1994,3,1.2756856657660294e-6
2002,3,1.814031151152998e-6
1920,3,0.9999092404512896
1965,3,4.265342631068714e-6
1938,3,1.1875330589798996e-4
1909,3,2.7027018334316982e-5
1978,3,2.0817482678803812e-6
1981,3,2.1835855511880116e-6
1964,3,4.465141570609914e-6
1992,3,9.952218118944161e-6
1919,3,0.9998219051825306
1932,3,3.0248147979314223e-5
1933,3,1.7625530611481265e-5
1930,3,1.0579996124528161e-5
1958,3,1.351203446570119e-5
1946,3,2.2523509623056877e-5
1942,3,0.05550280902308392
1982,3,3.4997618400166484e-6
1989,3,1.9000517415450246e-6
1975,3,2.8825112150861412e-5
1921,3,0.07908389903761752
1963,3,1.3026318364331219e-5
1931,3,8.490221126346251e-6
1906,3,1.2138502391114907e-5
1991,3,1.9990411500024444e-6
1905,3,1.3335532885807402e-5
1951,3,1.5733587213251267e-5
1948,3,1.6113868816051834e-5
1939,3,0.5456933319316973
1914,3,0.0977163551824003
1924,3,8.760940238854931e-5
1969,3,1.8536269652631666e-6
1993,3,6.161797832011162e-6
1904,3,8.691650243518593e-6
1928,3,1.862271407918265e-5
1973,3,1.2655810382339452e-5
1901,3,4.286337444275093e-6
1911,3,3.91955494233436e-5
1979,3,2.2253949871080992e-6
1972,3,2.3327815013018297e-6
1925,3,0.00254299742950917
1983,3,2.4868688314064123e-6
1970,3,1.670017151914244e-6
1917,3,0.9998557876817337
1936,3,1.336104704319669e-5
1977,3,2.936161713221151e-6
1955,3,4.825763760078646e-6
1926,3,3.013746669658523e-5
1902,3,4.631220974598597e-6
1956,3,7.771629508736406e-6
1990,3,2.403063462179078e-6
1916,3,0.999820386550589
1922,3,0.9998538744258891
1947,3,2.6036851168808205e-5
1908,3,0.017723401379834667
1957,3,2.9136409445790315e-5
1923,3,0.8392325049716753
1967,3,3.467361481414091e-6
1943,3,1.844089465972296e-4
1961,3,3.425655457520677e-6
1976,3,1.5064969260146311e-5
1959,3,6.240127576592055e-6
1913,3,0.08712677580577667
1954,3,5.579199193369413e-6
1934,3,2.0013968764608938e-5
1966,3,7.383187012739656e-6
1968,3,7.729087705463572e-6
1974,3,9.622190236989892e-6
1937,3,7.432466624328147e-5
2007,4,6.057056987911917e-7
2017,4,3.5926947258169967e-7
2009,4,6.67239783268524e-7
1903,4,0.9999737875955877
1999,4,6.777690818873622e-7
2003,4,4.1871804762207867e-7
1998,4,1.1417965303355037e-6
1907,4,8.913497931322878e-6
2008,4,3.825249779012498e-7
2015,4,4.923773499138133e-7
2004,4,4.839194389403154e-7
2011,4,9.647916575985001e-7
1997,4,8.877524458568131e-7
2005,4,1.5292536241396527e-6
2013,4,1.2692939532174095e-6
1953,4,1.246314741991717e-6
1945,4,1.4610218674974988e-6
1918,4,8.23282738333327e-6
1984,4,1.1414629549532037e-6
1949,4,2.072699345375932e-6
1986,4,1.6172623262211894e-6
1944,4,1.9083183745700095e-6
2010,4,1.2883444418156143e-6
2001,4,9.6165527408634e-7
1929,4,7.473612563802442e-6
1996,4,2.048895411851874e-6
1988,4,3.529844878542966e-6
1950,4,1.2134293235712584e-6
1941,4,1.1377076894588818e-5
1987,4,1.6750836331560064e-6
1915,4,6.929322910795982e-5
1927,4,4.5178192564584275e-6
1912,4,0.999927943978067
1995,4,8.125642946592566e-7
1985,4,1.8504345374953645e-6
1962,4,2.05245087713889e-6
2014,4,1.9948007706624966e-6
1940,4,4.8340902170215e-6
2016,4,2.552710864419783e-6
2006,4,5.484087121528007e-7
2012,4,1.0204795652420048e-6
1910,4,0.9999055279615586
1952,4,3.3674130299356274e-6
1935,4,4.0385951636729075e-7
2000,4,8.453800559238702e-7
1994,4,1.172021707140773e-6
2002,4,9.006087093461145e-7
1920,4,1.5857721969826622e-5
1965,4,1.9211506067314613e-6
1938,4,2.3899356295291027e-6
1909,4,0.9999392402508596
1978,4,2.3295704063683616e-6
1981,4,1.4008303116890458e-6
1964,4,2.0596730335724616e-6
1992,4,2.767018282418275e-6
1919,4,3.030344855369897e-5
1932,4,1.9833986396402377e-6
1933,4,9.754268982631223e-7
1930,4,5.864773632279546e-6
1958,4,2.896324621924271e-6
1946,4,2.2677045530957747e-6
1942,4,2.5458293282782865e-5
1982,4,2.4775045152854395e-6
1989,4,2.8653017443936373e-6
1975,4,0.0220865636346349
1921,4,1.1139550147024158e-5
1963,4,8.69051453673311e-6
1931,4,4.874718596646202e-6
1906,4,0.03636275523036642
1991,4,1.681100964804312e-6
1905,4,0.9459389186208705
1951,4,9.909992971079628e-6
1948,4,1.3883033634465906e-6
1939,4,6.655852095660296e-6
1914,4,0.7932704447982042
1924,4,4.244499438407772e-6
1969,4,9.18558615821971e-7
1993,4,1.8569741560505255e-6
1904,4,0.9999484612711064
1928,4,9.156200892927571e-6
1973,4,1.623728081155452e-5
1901,4,1.2589345193206468e-5
1911,4,0.05916631505746673
1979,4,1.2013333819473785e-6
1972,4,1.295602222448068e-6
1925,4,2.8563750285120776e-5
1983,4,3.7684238870461037e-6
1970,4,1.124673279413703e-6
1917,4,2.512786816860011e-5
1936,4,1.22581994157357e-6
1977,4,1.6400147996649158e-6
1955,4,2.3725352665495236e-6
1926,4,2.345220580253874e-5
1902,4,1.25818950915434e-5
1956,4,1.3773750897163668e-6
1990,4,2.8400956801912534e-6
1916,4,3.319630037740497e-5
1922,4,1.8740886164818873e-5
1947,4,2.7339421167835356e-6
1908,4,0.15567228809125955
1957,4,7.022789026262877e-6
1923,4,3.232925029905087e-5
1967,4,1.852130902529631e-6
1943,4,8.261863308343766e-6
1961,4,3.3055833568678123e-6
1976,4,2.863057055536359e-5
1959,4,5.089541200461726e-6
1913,4,0.9126168564954894
1954,4,3.1728023218744376e-6
1934,4,1.2840024865815002e-6
1966,4,3.9537688231518995e-6
1968,4,3.504666739625094e-6
1974,4,2.1405574409062967e-5
1937,4,4.502004729890493e-6
2007,5,3.184990670121815e-7
2017,5,1.7287845407740383e-7
2009,5,4.2915041878313356e-7
1903,5,4.4468387502634543e-7
1999,5,1.298348600139668e-7
2003,5,1.2383236426998825e-7
1998,5,2.7357708875244554e-7
1907,5,2.2827188160384107e-7
2008,5,2.3233656390775587e-7
2015,5,2.1583760349206044e-7
2004,5,1.2042063285346114e-7
2011,5,5.657606270225623e-7
1997,5,1.623133328355154e-7
2005,5,4.0133318201844955e-7
2013,5,4.13298907334691e-7
1953,5,1.2344701458286784e-6
1945,5,1.549292992403061e-7
1918,5,2.6098017725798983e-7
1984,5,3.0101265881388686e-6
1949,5,1.1312442957877598e-7
1986,5,2.526374809708837e-6
1944,5,1.036821315271145e-7
2010,5,4.353798201777359e-7
2001,5,3.501319596297857e-7
1929,5,3.770862228313536e-7
1996,5,6.746176442476836e-7
1988,5,4.490788324942702e-6
1950,5,5.066803467278333e-7
1941,5,4.7499768868238757e-7
1987,5,2.6994937556207494e-6
1915,5,8.775473271387663e-7
1927,5,1.0646275748062176e-6
1912,5,5.62813580120483e-7
1995,5,1.3016077919209427e-6
1985,5,5.19949484882856e-6
1962,5,4.2206527303844856e-6
2014,5,6.19204750759353e-7
1940,5,8.464564759599874e-7
2016,5,1.8356319281254382e-6
2006,5,2.1999186067280605e-7
2012,5,2.726756198327619e-7
1910,5,1.1756564092635632e-6
1952,5,2.765633371339632e-6
1935,5,3.188963506136627e-7
2000,5,5.83714114015231e-7
1994,5,1.5338758131378126e-6
2002,5,2.9852698156809554e-7
1920,5,6.437037234518979e-7
1965,5,3.993037369611133e-6
1938,5,6.473523920083251e-7
1909,5,3.836708618435134e-7
1978,5,1.1062120136727845e-5
1981,5,0.9999715588661855
1964,5,4.3620018736020535e-6
1992,5,5.1894799741797934e-5
1919,5,9.406383194485434e-7
1932,5,7.288623248872563e-7
1933,5,5.496692980169129e-7
1930,5,5.76119310106837e-7
1958,5,1.0418666739184644e-5
1946,5,2.1071856178787425e-7
1942,5,1.222792639090054e-6
1982,5,0.9999546433796246
1989,5,4.1875330660503074e-6
1975,5,1.1560327681897705e-5
1921,5,1.332979111609328e-6
1963,5,6.649345626826444e-6
1931,5,5.040188692329191e-7
1906,5,9.956872571834986e-7
1991,5,1.7869761234614486e-6
1905,5,1.228971786846145e-6
1951,5,1.3380405767038202e-6
1948,5,1.9893628379389155e-7
1939,5,1.4685520383283545e-6
1914,5,2.3347186793131294e-6
1924,5,7.724392355856068e-7
1969,5,1.1128844637806427e-5
1993,5,6.73880348582135e-6
1904,5,5.263642131877024e-7
1928,5,5.920350742626186e-7
1973,5,0.628178539589103
1901,5,6.123633532452058e-7
1911,5,2.7230626622743096e-6
1979,5,0.9999636832259047
1972,5,0.027328404244859168
1925,5,1.3370174683012313e-6
1983,5,8.393957127300746e-6
1970,5,1.550053743643539e-5
1917,5,1.4383970173580168e-6
1936,5,5.753117863752333e-7
1977,5,0.9999425043087179
1955,5,1.346584614199866e-6
1926,5,1.0370653276318672e-6
1902,5,2.4319152128085295e-6
1956,5,3.2882281980653564e-6
1990,5,4.557222602998798e-6
1916,5,1.6964919091710038e-6
1922,5,1.263330523632807e-6
1947,5,2.0327937418633254e-7
1908,5,2.854498237138707e-6
1957,5,9.715330947682186e-6
1923,5,4.7512169681603426e-6
1967,5,7.699152311918268e-6
1943,5,5.268263782643488e-7
1961,5,1.6379244500623266e-5
1976,5,3.30779368921781e-5
1959,5,1.5062758034656044e-5
1913,5,3.224043135496212e-6
1954,5,2.9558224433149683e-6
1934,5,9.043648542533335e-7
1966,5,1.1252065482151468e-5
1968,5,9.676066433442728e-6
1974,5,1.2288181315822387e-4
1937,5,3.371563131127075e-6
2007,6,3.077555787880223e-7
2017,6,1.2822956110745028e-7
2009,6,2.834803751555041e-7
1903,6,1.6389980658365103e-7
1999,6,1.2035461989111446e-7
2003,6,2.0977060242206695e-7
1998,6,2.6249192159575194e-7
1907,6,3.0376049758988967e-6
2008,6,2.408275440975906e-7
2015,6,1.7428331502620448e-7
2004,6,3.089241696427813e-7
2011,6,4.3372569821985287e-7
1997,6,3.4122363628888206e-7
2005,6,1.469330501269936e-6
2013,6,4.528527888201125e-7
1953,6,0.010700191694768022
1945,6,5.714011457915336e-6
1918,6,3.4490791472045724e-6
1984,6,3.213632228120978e-7
1949,6,3.3251640035564082e-6
1986,6,7.490295339932524e-7
1944,6,8.221982516569712e-6
2010,6,3.4884944873908004e-7
2001,6,5.030637845809208e-7
1929,6,5.206680325271301e-6
1996,6,6.096975288398717e-7
1988,6,1.1312593489430924e-6
1950,6,9.612325121659476e-6
1941,6,0.00034425222192500195
1987,6,5.775048240321886e-7
1915,6,8.7952162070294e-6
1927,6,7.600957069013036e-6
1912,6,6.147200938824743e-7
1995,6,4.733108222934899e-7
1985,6,6.160602507123226e-7
1962,6,8.62389587515443e-6
2014,6,5.530368601428318e-7
1940,6,0.24132112761586696
2016,6,1.1764643306227446e-6
2006,6,3.6471292678696144e-7
2012,6,3.162425507445273e-7
1910,6,5.881675000122841e-7
1952,6,2.5512648410780864e-5
1935,6,0.9999728057847819
2000,6,4.518437405690159e-7
1994,6,5.715870043112612e-7
2002,6,5.102276753336777e-7
1920,6,1.4122858106632326e-5
1965,6,1.2051458707009014e-6
1938,6,0.9244808194219382
1909,6,4.3621345424935855e-7
1978,6,1.231394703102101e-6
1981,6,6.757578710384403e-7
1964,6,5.576283860736424e-6
1992,6,0.002051451484600929
1919,6,1.6801177696575103e-5
1932,6,0.9998905572725164
1933,6,0.9999294593020177
1930,6,1.3056161692521058e-5
1958,6,1.4354875123763428e-5
1946,6,8.266553499038051e-6
1942,6,1.0253640471376402e-4
1982,6,9.979264366955148e-7
1989,6,1.0779924016289808e-6
1975,6,3.671318709433201e-6
1921,6,0.08287057397031972
1963,6,2.0559933625665748e-5
1931,6,6.9357524806155525e-6
1906,6,5.361773546693755e-6
1991,6,1.203084132692373e-6
1905,6,1.7296234348222356e-6
1951,6,1.474933195099434e-5
1948,6,4.58174595657487e-6
1939,6,0.31664271166211755
1914,6,1.5878499774758683e-5
1924,6,1.3034987186024221e-5
1969,6,5.491508691381246e-7
1993,6,3.0036237131436812e-6
1904,6,1.9035156727494234e-7
1928,6,8.108679440953065e-6
1973,6,8.988925019190373e-6
1901,6,2.1089316087207816e-6
1911,6,1.7069200468793853e-5
1979,6,8.049306549794919e-7
1972,6,7.171861104085793e-7
1925,6,1.959384796210516e-5
1983,6,1.23171770248704e-6
1970,6,5.106544128962563e-7
1917,6,1.7625371374285414e-5
1936,6,0.9999345239762127
1977,6,1.025382096848038e-6
1955,6,5.800225902797102e-6
1926,6,9.537301645092206e-6
1902,6,7.178327886337576e-6
1956,6,0.06941233285350155
1990,6,1.2038482520568219e-6
1916,6,2.056279541023868e-5
1922,6,4.1982581357675886e-5
1947,6,7.405378187325683e-6
1908,6,1.58807711152937e-5
1957,6,2.713200539545015e-5
1923,6,0.04904803787521188
1967,6,1.2766561100974988e-6
1943,6,3.62621024591392e-5
1961,6,1.2714603898269948e-5
1976,6,2.085002938989804e-5
1959,6,1.681459926323201e-5
1913,6,7.979663308818615e-6
1954,6,1.2324437142161722e-5
1934,6,0.9999225697873048
1966,6,2.906333374648398e-6
1968,6,2.626479715647045e-6
1974,6,5.907744672131016e-6
1937,6,0.9993633226994122
2007,7,3.3777651718197768e-6
2017,7,0.9999887606982543
2009,7,0.6844362751425002
1903,7,3.676068395188312e-7
1999,7,3.153682215763173e-7
2003,7,3.110237830922664e-7
1998,7,8.437443091102379e-7
1907,7,1.41906373316645e-7
2008,7,8.73910258429825e-6
2015,7,0.999985619614837
2004,7,4.232919235097486e-7
2011,7,5.404962336692864e-6
1997,7,3.309529940323156e-7
2005,7,3.4628351448627964e-6
2013,7,2.9352729932267196e-5
1953,7,8.517443034023067e-7
1945,7,4.766664395878011e-7
1918,7,2.439511694657233e-7
1984,7,3.667236066340221e-7
1949,7,3.6903334275127997e-7
1986,7,1.4920334292039184e-7
1944,7,3.4203863317287575e-7
2010,7,3.592425374251227e-6
2001,7,9.261908726098675e-7
1929,7,2.00096855508838e-7
1996,7,1.1659816448977618e-6
1988,7,1.1173243420489393e-6
1950,7,2.0782202664992402e-7
1941,7,8.129178559148314e-7
1987,7,2.5146001960854655e-7
1915,7,4.6596259728533985e-7
1927,7,1.67789979520366e-6
1912,7,3.8506978503394734e-7
1995,7,1.500502911893627e-6
1985,7,1.8891010475641246e-7
1962,7,2.0069240618356786e-6
2014,7,0.9999613707051688
1940,7,6.707986982940216e-7
2016,7,0.9999329193731311
2006,7,7.052135705972426e-7
2012,7,1.0852639161088277e-5
1910,7,1.2595842535822807e-6
1952,7,1.0495188332482873e-6
1935,7,1.8898466023747639e-7
2000,7,8.330415696375902e-7
1994,7,1.425182547464314e-6
2002,7,9.144516692719133e-7
1920,7,3.7059103696352114e-7
1965,7,9.877027467448896e-7
1938,7,5.684704755507805e-7
1909,7,3.4775119442644415e-7
1978,7,6.376787180698515e-7
1981,7,3.5718015899431696e-7
1964,7,5.180352177014447e-7
1992,7,2.3207597245055473e-6
1919,7,4.3239082034655e-7
1932,7,4.444730292933632e-7
1933,7,3.6929352516551794e-7
1930,7,3.6642240402103194e-7
1958,7,2.4619818779731033e-6
1946,7,6.992430368659735e-7
1942,7,1.9495722466851627e-6
1982,7,8.934970737130634e-7
1989,7,1.1058411588829642e-6
1975,7,1.8024295988042462e-6
1921,7,7.923192941825602e-7
1963,7,1.0106792525980745e-6
1931,7,2.2395064825889426e-7
1906,7,7.54316118900389e-7
1991,7,1.7385080750187592e-6
1905,7,2.865844189528558e-6
1951,7,1.5154111496890107e-7
1948,7,4.998791459856046e-7
1939,7,1.0471823970501553e-6
1914,7,1.228283134157639e-6
1924,7,1.2274177821606318e-6
1969,7,9.467738687039796e-7
1993,7,1.265798494147759e-5
1904,7,3.4621986881049214e-7
1928,7,2.6306914378082075e-7
1973,7,4.965575396661621e-6
1901,7,3.793560603850811e-6
1911,7,1.497461096130357e-6
1979,7,5.440928702371311e-7
1972,7,2.3107045183445775e-6
1925,7,6.696547435123709e-7
1983,7,1.3019397060676212e-6
1970,7,1.2493346112128045e-6
1917,7,7.057450008809445e-7
1936,7,3.9150856988408983e-7
1977,7,7.449939597176102e-7
1955,7,1.603064253527873e-7
1926,7,6.429381064237028e-7
1902,7,1.2904749100129122e-6
1956,7,4.5508751536683697e-7
1990,7,2.603053955783086e-6
1916,7,9.062725951856123e-7
1922,7,4.562237557024775e-7
1947,7,5.584762861299943e-7
1908,7,1.181466913872486e-6
1957,7,2.644758773474898e-6
1923,7,2.7444836724363865e-6
1967,7,1.5078124772355006e-6
1943,7,1.4715730825173086e-6
1961,7,8.669238138195445e-7
1976,7,3.1228130665617245e-6
1959,7,1.2427602574073355e-6
1913,7,1.871009408158646e-6
1954,7,2.9185128524356365e-7
1934,7,5.852793935114506e-7
1966,7,2.6856850156650347e-6
1968,7,2.0185008753033125e-6
1974,7,7.176797320284204e-6
1937,7,2.259978599485593e-6
2007,8,9.450911487523778e-7
2017,8,6.122883208742058e-7
2009,8,1.0737043699046266e-6
1903,8,6.497710035556931e-7
1999,8,5.810008640910622e-7
2003,8,6.791427222628833e-7
1998,8,1.1488629297552351e-6
1907,8,2.7487286210528416e-7
2008,8,7.426236448106957e-7
2015,8,8.85974584581408e-7
2004,8,7.74121201068398e-7
2011,8,1.8328279952361209e-6
1997,8,6.55759535470412e-7
2005,8,2.5390639413192437e-6
2013,8,1.514330968649029e-6
1953,8,3.927456906975697e-5
1945,8,2.8809954408603534e-6
1918,8,6.870199451911782e-7
1984,8,1.952484847388141e-6
1949,8,2.255091606576751e-6
1986,8,7.629747898733418e-7
1944,8,2.6133671756211376e-6
2010,8,1.2683052400328769e-6
2001,8,1.440406941347425e-6
1929,8,4.6489002646372975e-7
1996,8,2.593367709288519e-6
1988,8,3.162689726431629e-6
1950,8,9.947195375804764e-6
1941,8,4.857482815643939e-6
1987,8,9.07232731704806e-7
1915,8,1.8638659407104698e-6
1927,8,1.4696826031326862e-6
1912,8,8.884243633113331e-7
1995,8,1.2423227981446043e-6
1985,8,9.880443802979785e-7
1962,8,0.509481037990452
2014,8,2.4734714993604563e-6
1940,8,5.900350280487113e-6
2016,8,6.561666162228694e-6
2006,8,1.3041475217983695e-6
2012,8,1.1895812895866404e-6
1910,8,2.0497080960844274e-6
1952,8,2.2168371081050082e-5
1935,8,6.561604237929319e-7
2000,8,2.509773994739162e-6
1994,8,1.2070216266674996e-6
2002,8,1.3666145220259073e-6
1920,8,1.410836470684233e-6
1965,8,0.9999403733964995
1938,8,9.479483014986394e-6
1909,8,7.674480426696325e-7
1978,8,5.653925899998456e-6
1981,8,6.297385405489632e-6
1964,8,0.9747242869144085
1992,8,0.01638211479865868
1919,8,1.7893062917498084e-6
1932,8,1.3475004426826744e-6
1933,8,1.2714010651321502e-6
1930,8,6.543823126372696e-7
1958,8,0.18914430009835484
1946,8,4.378026526750729e-6
