topic;terms
1;women, rights, marriage, human, discrimination, law, equal, community, society, support
2;death, compensation, injury, estate, abolition, accident, injured, deaths, loss, died
3;constitution, parliament, power, powers, constitutional, referendum, convention, representatives, proposal, section
4;defence, forces, personnel, army, military, defence_force, equipment, base, aircraft, air
5;party, communist, matter, time, mckenna, communists, organization, country, position, henty
6;vietnam, countries, south, china, united_states, world, aid, asia, country, foreign
7;petition, petitioners, citizens, pray, parliament, assembled, representatives, duty, bound, undersigned
8;sugar, industry, bounty, queensland, growers, production, fruit, cotton, ton, paid
9;na, senate, president, question, greens, time, committee, support, australians, country
10;service, public, board, officers, officer, department, salary, commissioner, appointment, salaries
11;senators, ill, time, gardiner, measure, western_australia, collings, position, read, leader
12;television, broadcasting, service, stations, radio, post, services, commercial, abc, telephone
13;senate, senators, chamber, representatives, representing, business, party, week, position, public
14;workers, employees, relations, industrial, employers, workplace, employment, employer, union, business
15;president, sympathy, public, word, world, personal, regret, presiding, standing, bias
16;commission, report, royal, royal_commission, inquiry, evidence, commissioner, commissions, body, appointed
17;tax, income, taxation, sales, treasurer, per_cent, pay, revenue, rate, taxes
18;fl, senate, question, greens, time, carbon, president, support, change, move
19;industrial, union, arbitration, workers, unions, trade, court, industry, conciliation, employers
20;matter, labor_party, question, debate, situation, time, organisation, lo, cavanagh, greenwood
21;department, matter, time, question, regard, money, expenditure, connection, business, information
22;per_cent, ad, val, subitem, item, omitting, inserting, exceeding, duty, intermediate
23;court, law, high_court, justice, federal, courts, attorneygeneral, legal, judge, tribunal
24;debate, time, labor_party, issue, deputy, political, question, matter, country, process
25;life, superannuation, fund, insurance, scheme, funds, national, contributions, retirement, age
26;security, iraq, support, detention, international, intelligence, time, world, australias, terrorism
27;education, schools, students, school, university, universities, training, student, funding, children
28;war, production, country, matter, control, governments, industry, time, prices, services
29;health, medical, hospital, private, insurance, medicare, hospitals, scheme, services, public
30;defence, military, naval, training, navy, forces, officers, time, force, service
31;matter, information, letter, department, evidence, document, documents, report, statement, office
32;british, great_britain, germany, empire, trade, country, canada, new_zealand, imperial, conference
33;committee, report, parliament, committees, public, parliamentary, recommendations, time, joint, inquiry
34;immigration, country, migration, migrants, citizenship, policy, immigrants, citizens, english, countries
35;question, time, debate, standing_orders, matter, business, parliament, standing, chairman, chair
36;tasmania, queensland, western_australia, new_south_wales, south_australia, victoria, federal, south, tasmanian, premier
37;rules, december, service, hon, association, january, november, october, july, june
38;housing, building, homes, home, capital, site, houses, new_south_wales, construction, canberra
39;question, department, answer, notice, provided, services, total, staff, nil, ii
40;shipping, ships, ship, vessels, line, trade, port, vessel, ports, sea
41;amendments, subsection, section, schedule, omit, item, line, substitute, person, title
42;prime_minister, party, country, leader, parliament, policy, opposite, political, time, election
43;aircraft, aviation, air, airport, airlines, transport, civil, qantas, airline, services
44;duty, per_cent, item, duties, imported, committee, revenue, industry, article, manufacturers
45;main, electorate, million, committee, community, regional, services, per_cent, time, program
46;late, parliament, loss, time, lost, public, memorial, friend, passing, regret
47;report, senate, matter, democrats, governments, leave, per_cent, aboriginal, program, button
48;roads, road, water, railway, line, transport, construction, river, country, money
49;development, time, service, national, programme, overseas, field, matter, department, country
50;world, nations, international, united_nations, countries, treaty, peace, japan, united_states, japanese
51;tariff, industry, trade, industries, board, customs, protection, country, duties, duty
52;pension, pensions, pensioners, week, social, age, benefits, service, services, repatriation
53;community, electorate, na, time, local, support, australians, day, ms, national
54;northern_territory, territory, regulations, regulation, parliament, council, governor_general, ordinance, territories, administration
55;ill, money, position, country, time, amount, financial, matter, treasurer, dr
56;environment, heritage, nsw, environmental, conservation, community, project, management, forest, council
57;energy, gas, nuclear, fuel, change, industry, emissions, power, climate, carbon
58;question, department, matter, answer, time, notice, information, report, questions, national
59;per_cent, budget, increase, economic, country, unemployment, economy, inflation, increased, time
60;care, aged, veterans, community, services, support, home, nursing, child_care, childcare
61;bank, commonwealth_bank, banking, private, credit, money, savings, treasurer, board, trading
62;research, tobacco, scientific, fishing, disease, quarantine, science, fisheries, health, fish
63;law, person, offence, criminal, police, crime, offences, evidence, penalty, attorneygeneral
64;agreement, trade, local, grants, governments, council, development, financial, national, conference
65;democrats, issue, committee, question, time, million, pmi, report, issues, process
66;war, soldiers, service, country, returned, time, ill, forces, military, soldier
67;electoral, vote, election, voting, votes, system, party, electors, elections, candidates
68;land, settlement, property, lands, country, lease, leases, pastoral, money, acres
69;information, amendments, support, ensure, report, services, national, review, financial, provide
70;wheat, wool, growers, industry, farmers, board, prices, scheme, marketing, production
71;industry, export, meat, market, dairy, farmers, producers, levy, wine, rural
72;expenditure, loan, increase, revenue, amount, total, budget, money, financial, estimated
73;question, time, matter, desire, regard, learned, opinion, deal, position, party
74;budget, tax, billion, million, per_cent, business, economy, support, jobs, governments
75;millen, senators, question, mcgregor, de, dobson, givens, lt, clemons, time
76;company, oil, companies, industry, coal, profits, capital, business, private, mining
77;per_cent, industry, tax, policy, time, governments, economic, system, program, national
78;clause, provision, section, proposed, agreed, committee, words, provisions, person, matter
79;aboriginal, per_cent, program, governments, commission, question, assistance, funds, development, deputy
80;family, children, families, parents, income, welfare, time, poverty, allowance, parent
