text,pageNumbers
                                                  Another statement in the same article reads,14
                                                  as follows: -,14
                                                     The American Boot Machinery Trust flourishes,14
"                                                  in Australia undisturbed and unmolested, not-",14
                                                  withstanding all the instruments of reform,14
                                                  placed at the disposal of the local industry and,14
                                                  ofthe Government by clause 87 of the Patents,14
                                                  Act of 1903.,14
                                                  I desire to ask the Minister whether he will,14
                                                  cause inquiries to be made as to the correct-,14
"                                                  ness of those statements or otherwise, and,",14
"                                                  if proved correct, whether he will take the",14
                                                  earliest opportunity of setting the law in,14
                                                  motion in order to chop off some of the ten-,14
                                                  tacles of this world-wide octopus ?,14
                                                      Senator BEST - I have not had an op-,14
"                                                  portunity of reading the article in question,",14
                                                  but I shall bring it under the notice of the,14
                                                  Minister of Trade and Customs and urge,14
                                                  its consideration upon him.,14
                                                              NAVIGATION BILL.,14
                                                      Senator GIVENS - I desire to ask the,14
"                                                  Vice-President of the Executive Council,",14
"                                                  without notice, whether it is the intention",14
                                                  of the Government to introduce the pro-,14
"                                                  posed Navigation Bill in the Senate, and,",14
"                                                  if so, at about what .date it may be brought",14
                                                  in?,14
                                                      Senator BEST -I t is the intention of,14
                                                  the Government to introduce the Navigation,14
                                                  Bill in the Senate. I should say that within,14
"                                                  the next three, or, at the most, four weeks,",14
                    Senate.                       it will be my pleasure to introduce it here.,14
                                                             TELEPHONE RATES.,14
"             Friday, 12 July, 1007.                   Senator GUTHRIE - I desire, upon",14
"                                                  notice, to draw the attention of the Minister",14
    The PRESIDENT took the chair at         10.30 representing the Postmaster-General to the,14
"a.m., and read prayers.                           letter addressed to the Hon. P. MCM.",14
        TRUSTS IN AUSTRALIA.                      Glynn by the Secretary to the Postmaster-,14
"                                                  Geceral, published in tbe Advertiser on n t h",14
"    Senator FINDLEY - I desire to ask the         June, 1907, in which he stated "" that it is",14
"Vice-President of the Executive Council,          now possible for subscribers in country dis-",14
" without notice, whether he has perused in        tricts to obtain telephone services at' as",14
"to-day's Age an article headed "" The              low a rate as £ 2 ios. per annum;"" and",14
"Tyrannical Trusts,"" and, i f so, has he noted     to ask-",14
 amongst other things two or three state-,14
"ments whicb, to my mind, are all importsuburban    Why this concession has not been granted to",14
                                                             and city subscribers?,14
ant? One statement is that before a Par-,14
"liamentary Committee, Mr Elmer Howe,                 Senator    KEATING -Th e answer to",14
"of the United Shoe Machinery Company, the honorable senator's question is as fol-",14
gave this evidence-                              lows :-,14
"   Since the organization of this company, it has    The concession of telephone services at as low",14
combined the interests of the Goodyear Com-      a rate as £2 ios. per annum has not been,14
"pany, and all the foreign business of the MCKay   granted to suburban and city subscribers because",14
Shoe Machinery Company and the Lasting            the cost of providing services in ' cities and,14
"Machinery Company in Europe, so that while        suburbs is greater than the cost of providing",14
"the United Shoe Machinery Company confines        services in country districts.     It is, however,",14
its business to the United States and to Aus-    possible for suburban and city subscribers to,14
"tralia, it controls the whole of the manufac-    obtain telephone servic.es at as low a rate as £ 3",14
turing territory in Europe.                       per annum.,14
,14
     Senator GUTHRIE -Arisin g out of they took up on the question of preferential,15
"the answer I desire to ask the Minister trade; but, in view of the slanders which",15
to say under what svstem it may be done?                 had been circulated throughout England,15
"     Senator KEATING  - I have not at -ver y largely, I am ashamed to say, by-",15
"hand the regulations, which are rather Australians-i t was a good thing that",15
"bulky, but in a very short time I shall two gentlemen of such force of character",15
furnish the honorable senator with the inand                   commanding personality as Mr ,15
formation.                                               Deakin and Sir William Lyne should,15
                                                         be in England to tell the truth re-,15
" GOVERNOR-GENERAL'S SPEECH : garding the six hatters, the                                  Petriana",15
