text,pageNumbers
"         Wednesday, 9 February 2005                          Legal and Constitutional",17
                   -----                                    Rural and Regional Affairs and Trans-,17
   The PRESIDENT (Senator the Hon.                           port,17
Paul Calvert) took the chair at 9.30 a.m. and            Group B:,17
read prayers.                                                Community Affairs,17
                    BUDGET                                   Economics,17
" Consideration by Legislation Committees                     Employment, Workplace Relations and",17
                                                             Education,17
                     Meeting,17
"                                                             Foreign Affairs, Defence and Trade.",17
   Senator ELLISON (Western Australia-,17
Manager of Government Business in the                (4) That the committees report to the Senate,17
                                                         on the following dates:,17
Senate) (9.31 a.m.)-I move:,17
"                                                             Tuesday, 15 March 2005 in respect of",17
   (1) That estimates hearings by legislation,17
                                                             the 2004-05 additional estimates; and,17
       committees for the year 2005 be sched-,17
"       uled as follows:                                      Monday, 20 June 2005 in respect of the",17
                                                             2005-06 Budget estimates.,17
       2004-05 additional estimates:,17
"          Monday, 14 February and Tuesday,           Senator LUDWIG (Queensland) (9.31",17
"          15 February and, if required, Friday,   a.m.)-We have not had an opportunity to",17
          18 February (Group A)                   have a look at this proposal. We would prefer,17
"          Wednesday, 16 February and Thursday,    to defer debate until tomorrow.",17
"          17 February and, if required, Friday,      Debate (on motion by Senator Ellison)",17
          18 February (Group B)                   adjourned.,17
       2005-06 Budget estimates:                      SENATE TEMPORARY ORDERS,17
"          Monday, 23 May to Thursday, 26 May         Senator ELLISON (Western Australia-",17
"          and, if required, Friday, 27 May (Group",17
                                                  Minister for Justice and Customs) (9.31,17
          A),17
"                                                  a.m.)-At the request of Senator Minchin, I",17
"          Monday, 30 May to Thursday, 2 June      move:",17
"          and, if required, Friday, 3 June (Group",17
          B)                                         That the following orders operate as temporary,17
                                                  orders until the conclusion of the 2005 sittings:,17
"          Monday, 31 October and Tuesday,",17
          1 November (supplementary hear-           (1) If a division is called for on Thursday,17
"          ings-Group A)                                  after 4.30 pm, the matter before the Senate",17
                                                         shall be adjourned until the next day of,17
"          Wednesday, 2 November and Thursday,            sitting at a time fixed by the Senate.",17
          3 November (supplementary hear-,17
          ings-Group B).                             (2) On the question for the adjournment of the,17
"                                                         Senate on Tuesday, a senator who has",17
   (2) That the committees consider the pro-            spoken once subject to the time limit of 10,17
       posed expenditure in accordance with the          minutes may speak again for not more,17
       allocation of departments to committees           than 10 minutes if no other senator who,17
       agreed to by the Senate.                          has not already spoken once wishes to,17
"   (3) That committees meet in the following             speak, provided that a senator may by",17
       groups:                                           leave speak for not more than 20 minutes,17
       Group A:                                          on one occasion.,17
"          Environment, Communications, Infor-       Question agreed to.",17
          mation Technology and the Arts,17
          Finance and Public Administration,17
,17
"                    BUSINESS                          As a consequence, the simple proposition",18
          Consideration of Legislation             is advanced by the opposition that the Com-,18
                                                   monwealth ought to put their money where,18
   Senator ELLISON (Western Australia-,18
"                                                   their mouth is. They ought to be saying,",18
Minister for Justice and Customs) (9.32,18
"                                                   ‘Yes, we support justice for all our citizens,",18
"a.m.)-At the request of Senator Minchin, I",18
                                                   particularly with regard to their educational,18
move the motion as amended:,18
                                                   opportunities.' We ought to be able to pro-,18
   That the provisions of paragraphs (5) to (8) of vide opportunities for all students in this,18
standing order 111 not apply to the following,18
                                                   country to maximise their skills and to make,18
"bills, allowing them to be considered during this",18
period of sittings:                                sure that they take full advantage of all of,18
"                                                   their capacities. On the other hand, we",18
     Family Assistance Legislation Amendment,18
     (Adjustment of Certain FTB Child Rates),18
                                                   should not say that this is entirely a matter,18
     Bill 2004                                     for the states to deal with and that the cost,18
                                                   should be shared for these high standards.,18
     Private Health Insurance Incentives Amend-,18
"     ment Bill 2004                                With that in mind, I argued last night that the",18
                                                   Commonwealth ought to put their money,18
   Question agreed to.                             where their mouth is.,18
     DISABILITY DISCRIMINATION                        The other proposition that needs to be,18
"        AMENDMENT (EDUCATION                       highlighted in this debate is that, while it is",18
       STANDARDS) BILL 2004 [2005]                 all very well for the Commonwealth to move,18
                 Second Reading                    advances in setting a framework for higher,18
"   Debate resumed from 8 February, on mo-         standards and definitions-something I",18
tion by Senator Ian Campbell:                      strongly support-the fundamental problem,18
   That this bill be now read a second time.       comes back to attitude. It is not just a ques-,18
                                                   tion of money; it is also a question of atti-,18
   Senator CARR (Victoria) (9.32 a.m.)-,18
                                                   tude. The principal source of discrimination,18
Last night when I spoke to this bill I made,18
                                                   in education is often attitude. It is the view,18
"the point that, while I support the govern-",18
                                                   that some people are not entitled to equal,18
ment's introduction of new standards and its,18
"                                                   treatment, are not entitled to enjoy the full",18
"taking the lead in that regard, I express pro-",18
"                                                   benefits of the education system. So, with",18
found disappointment that it has taken so,18
"                                                   that in mind, I am very concerned that some",18
long for an agreement to have been reached,18
                                                   of the measures in this bill to extend the,18
between the Commonwealth and the states,18
