text,pageNumbers
"                                             yields. The result has been a surplus of""",15
                                             early season potatoes. Growers in Tas-,15
                                             mania have been repeatedly advised to,15
                                             dig and store potatoes so as to make their,15
"                                             land available for other crops, and have'",15
                                             been assured that the Government would,15
                                             abide faithfully by the terms of its,15
"                                             contract with growers, and that potatoes",15
                                             would be accepted before undue deteriora-,15
"                                             tion took place"". Quite recently, it was",15
                                             reported to me that growers in,15
                                             the Glengarry-Winkleigh area .werp,15
                                             threatened with severe losses from storage,15
                                             deterioration; an immediate: inspection,15
                                             was made and the report was found to be,15
"                                             groundless. More recently, another report",15
                  Senate.                    was made to me of a grower in the mid-,15
                                             lands of Tasmania who had a very large,15
"           Thursday, 19 July, 194-0.         quantity of potatoes on hand and that the",15
                                              Australian Potato .pommittee had takeD,15
"                                              no steps to honour its obligations. Again,",15
"    The   PBUSIOTNT     (Senator  the   Hon. an immediate inspection, was undertaken,",15
"Gordon Brown) took the chair at 3 p.m.,       which disclosed that the grower him-",15
and read prayers..                           self had nominated Launceston as his,15
"                                              port of shipment, hut was'endeavouring",15
                POTATOES.                     to ship via Hobart; it was ascertained,15
"    -Senator FRASEB -O n the 29th June,       that he had taken no steps to contact",15
Senator Herbert Hays referred to de-         either the Distribution Manager in Laun-,15
 liveries of Bismarck potatoes in Tas-       ceston or the Tasmanian Deputy Potato,15
mania. I am now in a position to furnish      Controller. This he frankly admitted,15
 a reply to the honorable senator. AVhilst    and further stated that he had no com-,15
the Government can understand the             plaint to make about the treatment be had,15
natural desire of growers to receive pay-    received. The complaint which reached,15
ment for potatoes grown under contract        me apparently came from a relative with-,15
with the Australian Potato Committee at       out the grower's authority. The point to,15
" the earliest possible moment, the action of  he noticed in these cases is that there has",15
" the Australian Potato Committee is           not been undue deterioration to date, and",15
 reasonable. The contract provides for        I can assure Senator Herbert Hays that-,15
 potatoes being held by growers for a         the position is'being closely watched so,15
"  reasonable time, and this is taken into     that growers will not suffer. The effect",15
 account in the guaranteed price. I t is      of some of the requests would be to com-,15
 incorrect to state that last year's growers  pensate growers for laTge . quantities of,15
" were especially requested to increase the    potatoes still in the ground undug, and",15
"  area of Bismarcks. On the contrary, as       allow potatoes to go to waste.. The atti-",15
" far hack as two years ago, growers were       tude of the Australian Potato Committee",15
"  warned by the Potato Controller that        was, and is, that it will not sanction the",15
" they were running serious risks in over-     destruction, or writing off, of a single",15
"  planting Bismarcks, and were informed        ounce of foodstuff unless that action",15
"  that, irrespective of the variety grown,     became inevitable. I t is admitted that",15
 growers would be required to spread their     some growers have been put to incon-,15
  deliveries over the season. Notwithstand-   venience in having to hold a portion of,15
"  ing that advice, a number of growers-       their crop longer than usual, but the net",15
  planted over 100 acres each of Bismarcks     returns of growers have been exception-,15
  and very few Brownells or other late-       ally satisfactory and the Australian,15
 keeping varieties. Following on this          Potato Committee has kept a careful,15
" heavy planting, a record growing season       watch to ensure that growers did not",15
  was experienced with consequent heavy        suffer loss through any of its actions.,15
,15
Demands f o r potatoes are likely to in-            ment of the motor industry in this country,16
                                                     an assurance that the importation of pressed,16
"crease towards the end of the season, and            panels, which have been, and still can be, pro-",16
in view of the guaranteed prices being               duced iu Australia in sufficient quantity and,16
paid by the Government and the assured               quality to meet the requirements of the motor,16
"position of the industry, i t is only reason-       body-building industry, will be prohibited?",16
"able that growers should co-operate, even                Senator KEANE  - T h e answer is as-",16
"to the point of some inconvenience, i n              follows:-",16
ensuring that supplies of potatoes w i l l be           I t is not the policy of the Government to,16
available right throughout the season.               protect Australian industries by prohibiting,16
    I t is quite natural f or growers to wish        importations. Manufacturers of pressed panels,16
to deliver their potatoes at their own con-         are protected by heavy tariff duties. I t is,16
                                                     considered that any decision by importers to-,16
"venience, but one reason for control is the          import panels will be governed largely by a",16
"need to regulate supplies on to the market,          comparison of their landed cost with the-",16
"and, as mentioned, this aspect was con-             price to he charged for similar locally pro-",16
sidered in fixing the guaranteed price. I t         'diiced panels.,16
"   pointed out, also, that there are growers'",16
representatives on all State Potato Advi-                       PUBLIC SERVICE.,16
"sory Committees, and as a result any                           STAFFING OF DEPARTMENTS.",16
matters affecting growers can be venti-,16
"lated readily, and usually can he adjusted               Senator BRAND asked the Leader of",16
"quickly.                                             th<! Senate, upon notice-",16
                                                        Will the Government consider setting up a,16
            VEGETABLE SEEDS.                 royal commission in connexion with the Com-,16
                                                     monwealth Public Service to inquire into the,16
"    Senator FBASEB -O n the 3rd July                  following allegations, viz -",16
Senator Aylett directed my attention to                     («) Waste of man-power in government,16
the matter of payment to farmers for                              departments      and    government-,16
vegetable seeds. I now advise the honor-                         controlled organizations;,16
able senator that before payment to pri-                   (b) Unnecessary and wasteful setting up,16
mary producers f o r produce grown under                          of heavily staffed Commonwealth,16
                                                                  departments to perform functions,16
contract for the Commonwealth is                                  which existing State organizations,16
"effected, it is necessary that proper veri-                      could do as well, if not better, and",16
fication be obtained of the service which                         with considerable saving of man-,16
                                                                  power ;,16
involves such payment. Payment in re-,16
                                                            (c) The unsatisfactory and uncontrolled,16
"spect, of vegetable seeds grown under con-                       fashion in which the Public Service",16
tract is dependent upon the results of                            has developed since the end of 1941;,16
 purity and germination tests which i n -                  (d) Time-wasting and circumlocutory,16
volve a recognized procedure. M y col-                           methods adopted by temporary,16
                                                                  public servants?,16
"league, the Minister f o r Commerce and",16
" Agriculture, has specifically directed that             Senator KEANE  - I t is not con-",16
 in any matters where payment to pri-               sidered necessary to set up a royal com-,16
 mary producers is the responsibility of             mission to inquire into the allegations,16
" his department, there shall be no avoid-           mentioned. The Government has ap-",16
 able delays. I f the honorable senator              pointed a committee to report on,16
 wishes to instance particular cases of              questions concerning civil staffing of war-,16
 delays in payment f or vegetable seeds              time activities of Commonwealth depart-,16
" supplied, I shall have them inquired into.          ments.        The committee, which has",16
"                                                     already commenced its inquiries, consists",16
"          MOTOR BODY PANELS.                          of Mr J. T. Pinner, Assistant Com-",16
"                                                      missioner, Public Service Board (as",16
     Senator FINLAY asked the Minister,16
"                                                      chairman) ; Mr A . A. Fitzgerald, a well-",16
" for Trade and Customs, upon notice-",16
                                                      known practising accountant of Mel-,16
    In view of the Government's pronouncement,16
 of its policy to permit the importation of           bourne; and as third member an officer,16
" motor chassis into Australia for a period of         to be appointed f r o m each department,",16
" time to encourage the acceleration of the            or activity, which is 'being examined.",16
 nvotor building industry until such time as it       The committee is required to present,16
 is possible to manufacture the complete motor,16
" vehicle in Australia, will the Minister give         reports to the Prime Minister from time",16
 the Senate and those interested in the develop-     to time as its investigations proceed.,16
,16
     The terms of reference are-                       WARGRATUITYBILL 1945.,17
     1. To make a general review of the civil         B i l l received from the House of Repre-,17
  staffing of war-time activities of Common-      sentatives and (on motion by Senator,17
"  wealth departments, boards, commissions, &c,",17
  including those not functioning under the         ASHLEY) read a first time.,17
  Public Service Act.,17
"     2. Advise which, if any, of the present          LIFEINSURANCEBILL 1945.",17
 functions are of a permanent character or,17
  likely to stand for an appreciable time and                      SECOND READING.,17
 -for which i t would be desirable to provide         Senator KEANE (Victoria-Ministe r,17
  permanent officers.                              for Trade and Customs) [3.15] - 1,17
"     3. Bring to notice, as a result of its        move-",17
"  inquiries, any cases in which it considers that",17
  it would be desirable to secure the services       That the bill be now read a second time.,17
 on a permanent basis of particular persons        The purpose of tbisbill is to regulate lift-,17
 now employed by the Commonwealth on loan          insurance business conducted i n Aus-,17
" from State services or instrumentalities or       tralia, and to protect the interests of",17
 who have been recruited from universities or,17
 private business sources.                         persons who have effected life insurance,17
     4. Advise whether temporary staff seen in     policies.       L i f e insurance business has,17
" the course of the committee's inquiries, whose    been developed extensively, and there art-",17
"-duties bring them into direct contact with        now about. 4,500,000 policies in force in",17
" the public, are suitable for the particular       Australia. I t has long been recognized",17
 functions to which they arc allotted.,17
                                                   that some form of public control is neces-,17
                                                   sary over a business which affects such,17
"                RIFLE CLUBS.                   a large proportion of the people, and in",17
     Senator BRAND asked the Minister fact various enactments with this object,17
"representing the Minister for the Army, in view have been passed by the Com-",17
upon notice-                                      mon-wealth and State Parliaments. I t if,17
"    1. Is it a fact that on the Uth June. 1941. generally admitted, however, that the con-",17
"the sum of £19,44(1, the iproperty of 43,229 trol exercised by existing legislation is",17
"members of 1,100 rifle clubs throughout. Ausnot completely satisfactory, and i t is the",17
"tralia, was called up and placed in a defence object of this bill to consolidate and",17
trust fund until such time as these clubs,17
resume their normal activities?                   extend the provisions of those acts.,17
"    2. If so, can the Minister say when this         To explain the type of control pro-",17
money will be returned?                           posed by this bill i t is necessary to refer,17
    3. Is it the intention to place on the Estibriefly to the historical development of,17
uiiites for 1945-46 a sum of money to enable life insurance business. The business was,17
these clubs to resume their normal activities?,17
                                                  largely developed in G>reat B r i t a in during,17
    4. Will the Minister arrange a conference,17
"between the Military Board and the Executhe last century, and after the failure of",17
tive of the Commonwealth Council of Rille one or two companies had attracted,17
"Associations to consider in what direction rifle public attention, a system of legislative",17
clubs can be reorganized and trained as recontrol was instituted in 1870. Under,17
serves for the future defence of tbe Common-,17
"wealth.                                           this system, the principles of which have",17
"                                                  been described as "" freedom with pub-",17
"    Senator FRASER -Th e Minister for licity "", a company is required to lodge",17
the Army has supplied the following a relatively small deposit with the Go-,17
"answers:-                                        vernment as security f o r policy-holders,",17
"    1. The sum of £20,498 14s. lOd. is held by but otherwise i t is allowed considerable",17
" District Finance Officers, representing balances freedom i n the management of its busi-",17
"of rifle clubs' and unions' funds at the time ness, provided that i t publishes its",17
rifle clubs wore placed in recess. This amount,17
"is held in trust funds, other trust moneys and accounts and statistics in a standard",17
Government securities. These funds are to form. I n the past the publicity given,17
"be held until such time as rifle clubs resume to a company's results, and the competi-",17
their normal activities.                          tion between various companies has been,17
    2. No.                                        relied upon to ensure a minimum stan-,17
    3. No.                                        dard of protection f or policy-holders. Lif e,17
    4. The matter is now under staff examinainsurance i n Australia is carried on,17
tion and the Commonwealth Council of Rifle mainly by local mutual companies on,17
Clubs will be consulted at the appropriate,17
time.                                             lines very similar to those adopted by,17
,17
" British companies , and the British sys-",18
                      1,18
                                                pated that the duties of the Commissioner,18
"tem of legislative control, i.e., ""freedom      will bo largely of a supervisory nature.",18
" with publicity "", was adopted by all the       In the case of those companies which are",18
"States, with the important exception of        not so well established, it is-expected that",18
" New South ""Wales, before the Common-          he will have to take more active steps",18
 wealth was founded iu 1901 - As these         to procure the maximum possible protec-,18
"State enactments differed in details,           tion for the policy-holders. I n such cir-",18
"though not in principle, the need for          cumstances, British legislation provides",18
uniform insurance legislation was fore-        only that the Commissioner can make,18
seen when the Commonwealth Constitu-           application for the winding-up of the,18
"tion was drafted, and power was taken           company by the court. I t is thought,",18
"accordingly. As a step to implement this        however, that in respect of a life insur-",18
"power, a royal commission was appointed         ance company, it will frequently 'be",18
in 1908. The commission reported in             possible to make arrangements which are,18
" L910, and although bills were twice pro-      more satisfactory to the policy-owners",18
"f i t e d to the Senate, neither of them was    than a complete winding-up of the com-",18
"proceeded with. On two special subjects         pany, and the bill provides the",18
only has the Commonwealth passed life           machinery whereby each case can be,18
"insurance legislation.         In 1905 it ex- closely examined and, subject to direc-",18
" tended to life policies the limitation         tions of the High Court, the procedure",18
"imposed upon friendly societies, regard-      most favorable to the policy-holders can",18
ing the amount that may be paid on the          be adopted. The procedure adopted has,18
death of a child. I n 1932 it assumed          been modelled upon an enactment of the,18
control over the deposits previously            South African legislature.,18
lodged by companies with some of                    I t is appropriate at this stage to,18
"the States, and imposed a uniform              summarize the main objects of this bill,""",18
scale of deposits for the whole                 which have arisen from the foregoing,18
of Australia. I t may be mentioned             historical discussion. These are-,18
that this act effectively checked the,18
"formation of ""mushroom"" companies,                  (a) To replace all State legislation",18
"many of which had previously com-                         on the subject of life insurance,",18
"menced business in New .South Wales,                       and to provide a uniform basis",18
where no deposit was required. The first                   for applying the requirements,18
purpose of this bill is thus to consolidate                of those acts to the whole of,18
these existing State and Commonwealth                      Australia;,18
"acts. I t has become apparent, however,             (£>) to incorporate existing Common-",18
"that the principles of "" freedom with                      wealth acts with minor amend-",18
"publicity "" embodied in these acts require                 ments ;",18
30me modification in view of modern                 (c) to appoint an insurance commis-,18
conditions. This fact was recognized in                    sioner who shall exercise active,18
"Great Britain in 1923, when, following                     supervision of the activities of",18
"an inquiry into the methods of trans-                     life insurance companies, with",18
"acting industrial insurance, an Industrial                 a view to securing the greatest",18
"Insurance Commissioner was appointed,                      possible protection for policy-",18
with wide powers of supervision of the                     owners ;,18
companies. I n the present bill it is pro-         (d) to set up adequate machinery for,18
posed that a Commissioner be appointed                     dealing with any company that,18
to supervise the administration of the                     fails to maintain a required,18
"proposed act, both ns regards ordinary                     minimum standard of solvency.",18
"and industrial insurance.          A further   Iu addition, it is proposed to provide for",18
point is that whereas the bulk of life          the establishment of a Commonwealth,18
"insurance business in Australia is trans-     Government Insurance Office, -if and",18
acted by companies which have acquired         when the establishment of such an office,18
a world-wide reputation for their sound-      i3 thought to be in the public interest.,18
"ness, there are a few companies that are           I now propose to outline briefly some",18
not yet so firmly established. I n the         of the more important provisions of the,18
case of the strong companies it is antici-    bill. Before doing life insurance busi-,18
"                                               ness in Australia, a, company must lodge",18
,18
"  a deposit, on the same scale as is pro-       must be thoroughly investigated by an",19
"  vided by the present Commonwealth act,         actuary. These provisions follow thos*",19
"  and register with the Commissioner.            set out in British legislation, with",19
  The Commissioner may. subject to the           one or two further safeguards. Por,19
"  Treasurer's approval, refuse to register      instance, it is provided that the basis of",19
 any company not already transacting life        valuation adopted by the actuary shall be,19
  insurance business in Australia. Com-        not less stringent than a prescribes,19
"  panies already doing life insurance busi-    "" minimum basis "". This minimum, basis",19
  ness in Australia are entitled to regis-    cannot be called a severe one in present,19
"  tration on application within three          conditions, and no solvent company",19
"  months, but such registration is merely      should have any difficulty in complying",19
"  to ensure the continuity of their business,  with it. For those companies whose posi-",19
" and will not imply that the Commis-          tion is not entirely satisfactory, however,",19
 sioner is satisfied with the methods          the adoption of a uniform minimum basis,19
"  under which their business is conducted.     of valuation, will assist the Commissioner",19
 Should the Commissioner have any               to determine the course of action he-,19
 doubt as to whether an existing company       should take. Besides being entrusted with,19
 should be allowed to continue transact-      the general administration of the pro-,19
" ing life insurance business, the bill gives   posed act, the Commissioner is to be",19
" to him power, after registering the com-",19
" pany, to make an immediate investiga-        given very full powers to make confiden-",19
" tion, and then, if he thinks fit, to compel   tial inquiries into the business of any life",19
 tbe company either to improve its             insurance company. He can demand anv,19
" methods or to cease doing business in         relevant information from a company,",19
" Australia.                                    and can, if he thinks fit, investigate any",19
                                               part of a company's business. I n tbe,19
"    It has long been recognized that the       event of such an investigation, the legiti-",19
 funds of life insurance companies are         mate interests of the company are pre-,19
" in the nature of trust funds, and that        served by the fact that the Commissioner",19
" they should, subject to any proper allo-     must inform the company of the ground -",19
"cation of profits, as decided by the mem-    on which the investigation is to be made,",19
"bers of the company, be applied solely         and of the results of an investigation.",19
" for the benefit of the policy-owners.         Also, the investigation must be conducted",19
"This principle is enforced in the bill by      in secret, and no information may bp",19
the establishment of statutory funds.         divulged except in pursuance of a duty,19
 All moneys received in respect of life        under the act. As a result of his investi-,19
" insurance business must be carried to a      gations, the Commissioner may give such",19
"statutory fund, the assets of which must       directions to the company as he thinks",19
"be kept entirely separate from all other       necessary, but, in view of the fact that",19
"assets of the company, and no part of a        such directions might seriously affect the",19
"statutory fund may be applied towards          business of the company, it is provided",19
any purpose other than life insurance         that the company may appeal to the High,19
"business. Thus, if a company transacts,       Court against those directions. I t is",19
"say, fire insurance business, as well as life anticipated, however, that the Commis-",19
" insurance, and suffers losses on its fire    sioner would normally give directions",19
"business, the life statutory funds cannot     only on matters of minor importance.",19
be charged with those losses. The bill        Should his investigations show that there,19
provides that accounts and balance-sheets     is anything seriously wrong with the,19
"in respect of each statutory fund shall be    management of a company, his remedy",19
prepared annually in a prescribed             would be to apply to the High Court for,19
manner and that such accounts and             the appointment of a judicial manager to ',19
balance-sheets shall be audited by corn-,19
"potent persons. A person must, in the         the company. I f appointed, the judicial",19
"first instance, secure the approval of the    manager will, subject to directions from",19
"Commissioner before he undertakes the         the court, take over all the powers and",19
duties of auditor of a life insurance         functions of the management of the com-,19
company.        At least once in each five    pany. The judicial management is,19
years the affairs of each company             intended to be only a temporary,19
      Senator  Keane.                         phase to protect the interests of the,19
,19
"policy-owners, and, as soon as practicable,    am presenting for the information of",20
" the judicial manager will report to the       honorable senators. I would, however,",20
" court, indicating whether lie considers       once more emphasize the need for uni-",20
" the company should be wound up, or its        form and comprehensive legislative con-",20
" business transferred to another company,      trol of this business which so closely",20
-or whether any better arrangement can         affects the lives of the Australian people.,20
"'be made in the interests of the policy-       Before this bill was drafted, an exten-",20
" owners. These, then, are the powers           sive study was made of comparable legis-",20
  whereby the Commissioner will be able        lation in Great Britain and in most of,20
" to ensure that all life insurance com-       the British dominions, and I believe thai",20
"  panies remain solvent, not only as           the form of control suggested by the bill",20
" ""regards their immediate liabilities, but     is the most suitable to Australian con-",20
-also as regards the actuarial reserves that   ditions. The provisions of -the (bill are,20
 must be built up to pay future claims.        not unduly harsh on the management of,20
" Tt will be noted that there is nothing        life insurance companies; indeed, 1",20
 arbitrary about his powers on any ques-      think it can be said that the better com-,20
 tion of'vital importance; if the company      panies have already voluntarily given to,20
 is not satisfied with the Commissioner's      their policy-holders substantially all the,20
"-decision, it can take the matter to the       rights conferred by the bill. The measure",20
"  High Court for decision -                   will, however, introduce improvements",20
    A considerable part of the bill sets       into the practices of some other com-,20
out certain minimum rights that a              panies that have not been so liberal in,20
" policy-owner shall have in relation to        the past, and will also have the un-",20
" his policy contract. These provisions,        doubted advantage of rendering the",20
" for the most part, follow similar provi-     minimum rights of policy-owners uni-",20
"sions in the various State acts, and in        form in all companies and in all States.",20
"-any event, are merely privileges that the        Debate (on motion by iSenator",20
better companies have freely allowed to        LECKIE) ad jou rned.,20
 their policy-holders for many years.,20
 The object of the bill is to require all         COMMONWEALTH BANK BIL L,20
-companies to maintain these minimum                               1945.,20
standards in all States.,20
                                                   fn commit!ee: Consideration resumed,20
    In recent years the Victorian Govern-     from the 18th July (vide page 4160).,20
 ment has taken an active interest in life         Clause 26 agreed to.,20
 insurance legislation of this nature. Sena-      Clause 27 (Deputy Governor to act,20
 tors will remember that a Royal Com-         when no Governor).,20
 mission on Industrial Insurance was,20
" appointed in Victoria in - 193S, and the          Senator LECKIE (Victoria-Actin g",20
 recommendations of that royal commis-        Leader of the Opposition) [3.30] -Th e,20
sion were subsequently embodied in the         clause rea'ds-,20
 legislation of that State.                       In the event of a vacancy in the office of,20
"                                               Governor, the Deputy Governor shall perform",20
    The present bill has included all the      the duties of the Governor and shall have,20
" provisions of recent Victorian legislation,   and may exercise the powers and functions",20
" with minor amendments, and thus extends       of tile Governor.",20
" to policy-owners in all States the benefits   Apparently, no provision is made to",20
 of the findings of that royal commis-        enable the Deputy Governor to perform,20
 sion. The most important of these pro-       the duties of the Governor should the,20
" visions is, perhaps, the institution of a     latter suddenly take ill , or be unable to",20
 minimum scale of surrender values and         oerform his duties for some other reason.,20
" paid-up policy values which, as in Vic-      I t is true that clause 26 provides that",20
" toria, are extended to both ordinary and      the Deputy Governor shall perform such",20
 industrial insurance policies.                duties as the Governor directs. But the,20
    I do not propose at this stage to enter    clause now before the committee only,20
 into details regarding the other pro-        gives power to the Deputy Governor to,20
" visions of the bill, sonic of which are of    act should the Governor die, or the office",20
" a technical nature, since they arc            become vacant for any other reason. The",20
 described in the memorandum which I           Minister should examine the clause,20
,20
"  to ensure that provision is made to enable   management, of the bank. I t is curious*",21
