text,pageNumbers
"             Tuesday, 30 May 1972                     Senator MURPHY (New South Wales-",13
                                                    Leader of the Opposition)- I second the,13
                                                    motion. The late Duke of Windsor became,13
   The PRESIDENT (Senator tbe Hon. Sir by birth the first person in the homeland,13
Magnus Cormack) took the chair at 2 p.m. as well as in the Empire or Commonwealth.,13
"and read prayers.                                   Some of us believe in the monarchy, some",13
                                                    of us do not. I think there is a general,13
                                                    agreement that the late Duke was a very,13
  DEATH OF HIS ROYAL HIGHNESS                       decent human being. He tried to do his,13
         THE DUKE OF WINDSOR                        best as he saw it. Both he and his wife,13
   Senator DRAKE-BROCKMAN (Western were treated miserably and shabbily.,13
Australia-Ministe r for Air)-A s honour-,13
"able senators know, His Royal Highness the            Senator BYRNE-(Queensland ) (2.5)- I",13
Duke of Windsor died on Sunday 28th May associate the Australian Democratic Labor,13
in France at the age of 77 years. As well as Party with the sentiments that have been,13
being a much loved member of the Royal expressed by the Minister for Air (Senator,13
"family, the Duke of Windsor was a signifiDrake-Brockman)               in conveying the sym-",13
cant person in our national history as the pathy of this chamber to those who survive,13
central figure in the abdication in 1936. His Royal Highness the Duke of Windsor,13
Although this event was of great moment and in presenting an address to Her Majesty,13
from which the monarchy emerged perhaps the Queen expressing our sorrow as a cham-,13
"even stronger, the Duke of Windsor may ber of this legislature.",13
best be remembered for the qualities of                The Duke of Windsor was one of the out-,13
essential humanity which he displayed standing figures of our time. He was called,13
"throughout his life. A most popular figure, to high office and that involves assuming tre-",13
"particularly in his younger days, His Royal mendous responsibility. We remember him",13
Highness sought always to identify himself in his country as one who came here when,13
with his people. During the Great War and,13
"the subsequent industrial depression he a very young man, entrusted again with high",13
constantly showed his warmth and human responsibility. Those of our older generations,13
understanding for the difficulties his will recall with a great deal of pleasure his,13
"countrymen were facing. He constantly vivacity, his elan and his identification with",13
broadened his horizons and made intensive those parts of Australia which he had the,13
tours of many countries. His warmth and opportunity of visiting during his journey,13
humanity stayed with him always as essento this land in the 1920s. He was a man,13
tial parts of his character which never left who carried out his duties with gaiety and,13
him throughout the difficult period of his with those qualities that endeared him to,13
