text,pageNumbers
"        Thursday, 10 October 1968                 action has been taken against the apparent",13
                                                  masterminds who operate such smuggling,13
                                                  rings from outside Australia? Has the,13
   The PRESIDENT (Senator the Hon. Sir             Minister sought the aid of the Minister for,13
"Alister MeMullin) took the chair at 11 a.m.,      External Affairs to have more effective",13
and read prayers.                                 deterrents imposed in near Asian countries,13
                                                  as well as enlisting the aid of Interpol?,13
         MILITAR Y FINANCIAL                          Senator SCOTT-Th e Department of,13
              REGULATIONS                         Customs and Excise is conscious of ihe,13
   Senator    POYSER-M y question is              fact that people outside Australia are en-,13
directed to the Minister representing the         deavouring to smuggle goods into Aus-,13
Minister for the Army. Does regulation            tralia. Therefore we have close relations,13
108A of the Military Financial Regulations        with people outside Australia on this sub-,13
provide for the payment of an allowance to        ject. As yet we have not approached the,13
a serviceman who is required to use his           Minister for External Affairs for his co-,13
own aircraft for the purpose of travelling        operation in the matter because he is not,13
"on duty? f f so, will the Minister advise         associated with it, but if we thought it was",13
the Senate of the names of the servicemen         desirable we would certainly contact him.,13
to whom this allowance has been paid and,13
the amounts paid to them since the regu-,13
lation came into operation?                                           WHEAT,13
                                                      Senator YOUNG- 1 direct a question to,13
   Senator MCKELLAR- 1 am not aware               Ihe Minister representing the Minister for,13
of the terms of the regulation referred to        Primary Industry. Can the Minister say,13
"by the honourable senator, but I will ask         how many wheat growers in Australia",13
"the Minister for the Army to supply an            grow 10,000 bushels of wheat or less a",13
answer lo the question.                           year?,13
                                                      Senator MCKELLAR-Th e information,13
"               COMMUNISM                          I have received is that about 27,600 wheat",13
"   Senator DEVITT- I ask the Leader of            growers in Australia grow up to 10,000",13
"the Government in the Senate: Apart from          bushels of wheat. There are 41,000 wheat",13
"shipping, which I understand is a normal          growers who grow wheat on 100 acres or",13
consequence of trade between two coun-           more. Thc total number of wheat growers,13
"tries, have there been any signs which            in Australia is about 55,000.",13
would indicate an impending southward,13
thrust of the hordes of Red China which                         CIVIL AVIATION,13
invariably undertake such expeditions on              Senator KENNELLY- I direct a ques-,13
the occasions of approaching federal elec-        tion to the Minister representing the Minister,13
tions in Australia but which quite remark-       for Civil Aviation. The Minister will recall,13
aply appear to return home contented upon         that some weeks ago I asked him whether,13
the election of Liberal-Country Parly ad-,13
                                                  the annual report of Trans-Australia Air-,13
ministrations?,13
                                                  lines could be tabled before the estimates,13
   Senator ANDERSON- I do not under-             for the Department of Civil Aviation were,13
stand the question. To some people all            debated in tbe Senate. I understood him,13
things are pure. I cannot comment on the          to say that he would contact TAA to see,13
honourable senator's question. I f there          whether this could be done. As the Senate,13
were any movement which was of concern            is approaching the debate on the estimates,13
"ro the nation, naturally such a question          for that Department, I ask the Minister",13
would bring forth a considered reply from         whether he has any information that he,13
me.                                               can convey to the Senate? I remind him,13
                                                  that Ansctt-ANA has presented its report,13
                                                  following a similar request.,13
               SMUGGLING,13
   Senator MULVIHILL - I direct a ques-      Senator SCOTT- T recall quite clearly,13
tion to the Minister for Customs and              that the honourable senator's question re-,13
Excise. In the light of recent convictions        lated to the annual reports of the Depart-,13
"of people engaged in bird smuggling, what         ment of Civil Aviation and Trans-Australia",13
