text,pageNumbers
"          Monday, 27 September 1993               been the case that it would, and it will. I have",9
                                                  always been confident of that and I remain,9
                                                  confident of it. With regard to the constitu-,9
"   The PRESIDENT (Senator the Hon.                tional validity of the legislation, I remain of",9
"J{erry Sibraa) took the chair at 2 p.m., and      the view that the original deficit reduction bill",9
"                                                  was constitutionally valid, but it is neverthe-",9
read prayers.,9
                                                  less an important-,9
    MINISTERIAL ARRANGEMENTS,9
                                                     Senator Ian Macdonald-Why did you,9
   Senator ROBERT RAY (Victoria-Acting            change it then?,9
Leader of the Government in the Senate)-by,9
leave-I inform the Senate that the Minister          Senator MCMULLAN - I thank Senator,9
"for Foreign Affairs, Senator Gareth Evans, is     Macdonald for that invitation. I am just about",9
"overseas on government business. He will          to explain that, but probably not in words he",9
"return on 2 October. All questions relating to    can understand. The situation is, as the Treas-",9
"the foreign affairs and trade portfolios should   urer made clear, that there is concern ·that",9
"be directed to the Minister for Trade, Senator    there will be constitutional challenge to the",9
Cook. I will act as Leader of the Government      deficit reduction bill.,9
in the Senate during Senator Evans's absence.        Senator Ian Macdonald-You just said,9
"I will also take questions, in a representational there wouldn't be.",9
"capacity, directed to the Prime Minister and",9
to the Special Minister of State.                    Senator MCMULLAN-There is a differ-,9
                                                  ence between saying there will be a challenge,9
"     QUESTIONS WITHOUT NOTICE                     and having it upheld, may I explain to Sena-",9
"                                                  tor Macdonald, but probably, once again, not",9
        Deficit Reduction Legislation,9
                                                  in words he could understand. The deficit,9
   Senator HILL-My question is directed to        reduction bill would have been held up and,9
the Minister representing the Treasurer. In       that could have had significant detrimental,9
view of the government's decision to split the    concern to the revenue of the Commonwealth,9
"so-called deficit reduction bill into a series of and, therefore, macro-economic implications.",9
"bills, could the minister explain why the test    Nevertheless, it is an important constitutional",9
bill does not constitute precisely the same risk  point to be resolved. So the government,9
"of unconstitutionality as did the original bill?  formed the view, and the Treasurer articulated",9
"In view of the government's humiliating           the view, that there should be an opportunity",9
"backdown on the latter, why is the govern-       to test that principle in a manner which does",9
ment deliberately prolonging doubt and            not threaten the revenue. Given the timetable,9
uncertainty by not splitting the test bill?       for the introduction of the two measures in,9
"   Senator MCMULLAN-The strangest                 the so-called test bill, it will enable those",9
irony is to find the opposition coming in here    matters to be tested in the High Court without,9
asking why we are concerned about uncertain-     in any way threatening the revenue of the,9
"ty with regard to the bUdget. The most serious    Commonwealth and, therefore, not in any way",9
concern that one could have about the pro-       exacerbating the uncertainty which has been,9
"cesses of consideration of the budget, particu-  so unnecessarily created.",9
"larly the revenue measures of the budget,            Senator HILL- Mr President, I ask a",9
relates to the tactics of the opposition in its   supplementary question. I know that this,9
absolute intransigence in refusing to recognise   government may not be particularly interested,9
"the proper processes and the conventions as       in the parliamentary process, but how can it",9
"to the way in which the Senate has dealt with     be sound parliamentary process to introduce,",9
"revenue measures in the past and the              and expect this Senate to debate and pass, a",9
government's basic thrust of revenue.             bill about which there is serious constitutional,9
"   Nevertheless, I remain as.confident today as   doubt, as advised to the government by a",9
"I was on the day the budget came down that        committee of this Senate, when that doubt can",9
its core legislation will pass. It has always     be so easily overcome by the bill being split?,9
,9
   Senator MCMULLAN-The government              years since the break-up of the Soviet Union.,10
does not share the view that the original bill  We should not forget that only a few years,10
was unconstitutional or the view that this one  ago very few people thought that fundamental,10
is. We accept that it is important that the     change was possible in the old Soviet Union.,10
potential revenue implications of the chal-       But the path to a durable and legitimate,10
lenge to the first bill created too much uncerpolitical system is strewn with the relics of,10
"tainty, but it is important that the issue is   the old Soviet era. One such remnant is the",10
